round,client_id,class_name,available,feature_name,server_normalized_mean_abs_shap,client_normalized_mean_abs_shap,client_minus_server,absolute_difference,server_rank,client_rank
10,1,BENIGN,1,Header_Length,0.0014995702629098345,0.000784983159923432,-0.0007145871029864025,0.0007145871029864025,18,18
10,1,BENIGN,1,Protocol Type,5.661100030196877e-05,5.18415158411731e-05,-4.769484460795666e-06,4.769484460795666e-06,24,24
10,1,BENIGN,1,Time_To_Live,0.15560282460347208,0.17034890843416778,0.0147460838306957,0.0147460838306957,6,4
10,1,BENIGN,1,Rate,0.00035708816266318406,0.00026953741362211315,-8.755074904107091e-05,8.755074904107091e-05,19,19
10,1,BENIGN,1,fin_flag_number,8.372747331156894e-05,7.335644400902393e-05,-1.0371029302545009e-05,1.0371029302545009e-05,23,23
10,1,BENIGN,1,syn_flag_number,0.005628538500475683,0.0028657310635705696,-0.0027628074369051136,0.0027628074369051136,16,16
10,1,BENIGN,1,rst_flag_number,3.593927613163114e-05,1.6158616848609972e-05,-1.9780659283021168e-05,1.9780659283021168e-05,26,27
10,1,BENIGN,1,psh_flag_number,5.6606723518831876e-05,5.0832543345905375e-05,-5.774180172926501e-06,5.774180172926501e-06,25,25
10,1,BENIGN,1,ack_flag_number,0.026383774867262982,0.032320609686597085,0.0059368348193341025,0.0059368348193341025,10,9
10,1,BENIGN,1,ece_flag_number,0.0,0.0,0.0,0.0,34,34
10,1,BENIGN,1,cwr_flag_number,0.0,0.0,0.0,0.0,35,35
10,1,BENIGN,1,ack_count,0.002300353777652064,0.001792807928697914,-0.0005075458489541501,0.0005075458489541501,17,17
10,1,BENIGN,1,syn_count,0.016244447332371216,0.008106621021845808,-0.008137826310525408,0.008137826310525408,12,12
10,1,BENIGN,1,fin_count,0.008515536227440914,0.006297866184247543,-0.0022176700431933713,0.0022176700431933713,14,13
10,1,BENIGN,1,rst_count,0.0061129636085170275,0.0035828732025280584,-0.002530090405988969,0.002530090405988969,15,15
10,1,BENIGN,1,HTTP,2.4077270784735506e-05,2.035720941069794e-05,-3.7200613740375643e-06,3.7200613740375643e-06,27,26
10,1,BENIGN,1,HTTPS,0.0001549465062356329,0.00014482730037794123,-1.0119205857691681e-05,1.0119205857691681e-05,22,22
10,1,BENIGN,1,DNS,4.246174514857202e-06,2.9041607314741005e-06,-1.3420137833831017e-06,1.3420137833831017e-06,29,30
10,1,BENIGN,1,Telnet,0.0,0.0,0.0,0.0,36,36
10,1,BENIGN,1,SMTP,0.0,0.0,0.0,0.0,37,37
10,1,BENIGN,1,SSH,4.4922770839119017e-08,1.0010256255231387e-06,9.561028546840196e-07,9.561028546840196e-07,33,32
10,1,BENIGN,1,IRC,0.0,0.0,0.0,0.0,38,38
10,1,BENIGN,1,TCP,0.00026875620697950535,0.0001481228021581817,-0.00012063340482132366,0.00012063340482132366,20,21
10,1,BENIGN,1,UDP,0.011870163271980374,0.004932897839450851,-0.006937265432529522,0.006937265432529522,13,14
10,1,BENIGN,1,DHCP,4.9830889492575896e-08,8.258201831338815e-09,-4.157268766123708e-08,4.157268766123708e-08,32,33
10,1,BENIGN,1,ARP,2.820018527471441e-06,4.9990095568773765e-06,2.1789910294059356e-06,2.1789910294059356e-06,30,28
10,1,BENIGN,1,ICMP,0.00016040353128702578,0.00017163844832431208,1.1234917037286298e-05,1.1234917037286298e-05,21,20
10,1,BENIGN,1,IGMP,0.0,0.0,0.0,0.0,39,39
10,1,BENIGN,1,IPv,1.0447528432439806e-05,2.367535519568182e-06,-8.079992912871624e-06,8.079992912871624e-06,28,31
