round,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f1::BENIGN,val_f1::DDOS,val_f1::DOS,val_f1::MIRAI,val_f1::RECON,val_f1::SPOOFING,val_f1::WEB,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_f1::BENIGN,test_f1::DDOS,test_f1::DOS,test_f1::MIRAI,test_f1::RECON,test_f1::SPOOFING,test_f1::WEB
1,1.0680983066558838,0.732813338101198,0.2232040782061531,0.4721237840576401,0.2232040782061531,0.22972975533002898,0.3508771929824561,0.8495948583482839,6.500471284168102e-05,0.0,0.2940127388535032,0.11355849241311797,0.0,,,,,,,,,,,,,
2,0.9040070176124573,0.7340704898980869,0.22742234326695288,0.22707737059647531,0.22742234326695288,0.221030577341536,0.3723546745245111,0.852263552147219,0.0,0.0,0.3225958147190219,0.0,0.0,,,,,,,,,,,,,
3,0.808071494102478,0.7349309404612909,0.22577647864453848,0.2664823118292007,0.22577647864453848,0.21814466935993496,0.4342900302114804,0.852441732506573,6.499837504062398e-05,0.0,0.24021592442645073,0.0,0.0,,,,,,,,,,,,,
4,0.7189537882804871,0.7408870463078848,0.25906087216687557,0.4558884896891054,0.25906087216687557,0.2279330197084533,0.5671474058812511,0.8581824936396897,6.499626271489389e-05,0.0003996003996003996,0.08826619964973731,0.08147044212617983,0.0,,,,,,,,,,,,,
5,0.706908643245697,0.7368753352404792,0.23108072902741708,0.3887539948889039,0.23108072902741708,0.20603132767618695,0.5009932043910089,0.8546022685983444,6.499415052645263e-05,0.0003996003996003996,0.0850914205344585,0.0010678056593699946,0.0,,,,,,,,,,,,,
6,0.6909449100494385,0.740998793134275,0.2561324466582072,0.38716530485748774,0.2561324466582072,0.2169634597107772,0.5740978201135739,0.8583789522577221,6.499203847528678e-05,0.0005993407252022775,0.08560311284046693,0.0,0.0,,,,,,,,,,,,,
7,0.6758983731269836,0.7467146433041302,0.29460691008767587,0.4957286835023495,0.29460691008767587,0.24136108960122796,0.6753673151112205,0.8621298659753277,6.498992656138298e-05,0.0005993407252022775,0.033432392273402674,0.11793372319688109,0.0,,,,,,,,,,,,,
8,0.675636887550354,0.7374508313963883,0.2518090574869725,0.42012920493448835,0.2518090574869725,0.23727758748767142,0.45136873975022074,0.8599291369465071,6.498781478472787e-05,0.0005993407252022775,0.23024611398963732,0.11873479318734793,0.0,,,,,,,,,,,,,
9,0.6565732359886169,0.7465134990166279,0.289248777378769,0.39960120191847576,0.289248777378769,0.22873956205946372,0.6721125849239729,0.862341592837763,6.498992656138298e-05,0.0003996003996003996,0.06519377037305324,0.0010643959552953698,0.0,,,,,,,,,,,,,
10,0.6731417179107666,0.736210441623458,0.2340343445569238,0.4048416544892696,0.2340343445569238,0.21684259769683525,0.45893491124260355,0.8565828593374432,6.499203847528678e-05,0.0003996403237086622,0.19556321343958646,0.006352567496029645,0.0,0.6736557483673096,0.7358040418601273,0.23140471723540584,0.41129534379260646,0.23140471723540584,0.21507089541046592,0.4479141835518474,0.8563947926769123,6.497936905032652e-05,0.0001998201618543311,0.18827093702661762,0.012651555086979441,0.0
