round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,128863,0.32889899611473083,0.8843810868907289,0.24467794992968264,0.34719661379463407,0.20972395708258512,0.20953077417809624
1,2,128863,2.6279876232147217,0.15066388334898304,0.4231227516012986,0.16237430372219247,0.18133832211484227,0.09743794306582547
1,3,128863,2.1362626552581787,0.686255946237477,0.22199995390679506,0.20364406494471984,0.19028567477725292,0.15444907516451298
1,4,128863,0.046611614525318146,0.9964380776483552,0.7441637418333314,0.23280407413483603,0.3189273179285706,0.19280456623906767
1,5,128863,0.19177678227424622,0.9460512327045001,0.40608435963571915,0.27794078548432155,0.17403615412959392,0.19177645458603632
2,1,128863,0.3174307644367218,0.8869885071742859,0.26000692201358616,0.2881330205039294,0.2228630760116453,0.20147982274091172
2,2,128863,2.0555310249328613,0.15139334021402576,0.4419429455119768,0.16348867209185694,0.18940411950513295,0.10710163499167984
2,3,128863,1.9130431413650513,0.6856040911665878,0.22191336066416745,0.11205864416204048,0.1902114519978578,0.13743266548782723
2,4,128863,0.06800207495689392,0.9967872857220459,0.7621387722197324,0.24774154641324428,0.3266309023798853,0.20280763213268013
2,5,128863,0.1653800755739212,0.9495355532619915,0.42264944838165214,0.2808900287967345,0.18113547787785092,0.20184469083164178
3,1,128863,0.28950780630111694,0.8953462204046158,0.2730425204514968,0.24203646857464545,0.23403644610128296,0.21262618937257685
3,2,128863,1.9841840267181396,0.15245648479392843,0.4679320605657566,0.30602484341468106,0.20054231167103853,0.11895022020301338
3,3,128863,1.5660308599472046,0.6861705842639082,0.23554144742658775,0.25611995424055645,0.2018926692227895,0.13993710917720187
3,4,128863,0.06619100272655487,0.9967096839278924,0.7211051503966476,0.28437726044071365,0.30904506445570606,0.18396565833522852
3,5,128863,0.13694393634796143,0.9435058938562659,0.391918702766465,0.2824384605365981,0.167965158328485,0.18391093781448536
4,1,128863,0.2515716850757599,0.9293746071409171,0.29841665289872915,0.33264057849834716,0.255785702484625,0.2543473050664401
4,2,128863,1.8351913690567017,0.1564684975516634,0.5762272181639329,0.30611726988486826,0.24695452207025692,0.15715318640052509
4,3,128863,1.2721531391143799,0.6873578917144565,0.2908495566296086,0.33020006613696723,0.24929961996823594,0.14939405105416095
4,4,128863,0.07235986739397049,0.9961819917276488,0.6785980829978104,0.2859643605943352,0.29082774985620446,0.15346748103666233
4,5,128863,0.16562436521053314,0.9345351264521236,0.34831456672583294,0.28330503625575254,0.1492776714539284,0.15393421881394384
5,1,128863,0.26259320974349976,0.9122168504535825,0.266144509208775,0.3399787248283257,0.2281238650360929,0.22965182434921383
