round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,client_4,4,DDOS,6,UDP,0.14133721806743446
10,client_4,4,DDOS,7,rst_count,0.12332243074966559
10,client_4,4,DDOS,8,Std,0.1210792068232281
10,client_4,4,DDOS,9,ack_flag_number,0.11298722062319592
10,client_4,4,DDOS,10,Max,0.10566930984244897
10,client_5,5,DDOS,1,Tot sum,0.5782877160424056
10,client_5,5,DDOS,2,AVG,0.5421353360749825
10,client_5,5,DDOS,3,Tot size,0.4519647246970135
10,client_5,5,DDOS,4,Variance,0.36628855089283063
10,client_5,5,DDOS,5,Std,0.15976691225838027
10,client_5,5,DDOS,6,Max,0.05385367223231782
10,client_5,5,DDOS,7,syn_flag_number,0.04373478140580128
10,client_5,5,DDOS,8,syn_count,0.031296404610963835
10,client_5,5,DDOS,9,fin_count,0.03027787216961194
10,client_5,5,DDOS,10,Number,0.019960353300358356
10,server,,DOS,1,Tot size,0.5900084683891937
10,server,,DOS,2,Tot sum,0.5798477508704968
10,server,,DOS,3,AVG,0.39638820200592373
10,server,,DOS,4,syn_flag_number,0.2228168458688721
10,server,,DOS,5,Variance,0.2062663825086871
10,server,,DOS,6,syn_count,0.17453755216812372
10,server,,DOS,7,UDP,0.12964950668122566
10,server,,DOS,8,fin_count,0.08898669103041248
10,server,,DOS,9,ack_flag_number,0.047805112527730585
10,server,,DOS,10,rst_count,0.04327729859255861
10,client_1,1,DOS,1,Tot sum,0.5642958168997237
10,client_1,1,DOS,2,Variance,0.4057241652596023
10,client_1,1,DOS,3,syn_count,0.3773639656690678
10,client_1,1,DOS,4,syn_flag_number,0.3697891599112643
10,client_1,1,DOS,5,fin_count,0.28366901289012636
10,client_1,1,DOS,6,Tot size,0.24353071982262448
10,client_1,1,DOS,7,AVG,0.17751598202669205
10,client_1,1,DOS,8,Std,0.1450222788447851
10,client_1,1,DOS,9,UDP,0.13018115525929075
10,client_1,1,DOS,10,rst_count,0.0806874706915253
10,client_2,2,DOS,1,Variance,0.8166790811699712
10,client_2,2,DOS,2,Tot sum,0.49898803823782384
10,client_2,2,DOS,3,syn_count,0.19567999993754814
10,client_2,2,DOS,4,syn_flag_number,0.12261603683044006
10,client_2,2,DOS,5,Tot size,0.08636695592309851
10,client_2,2,DOS,6,Std,0.07296841897386841
10,client_2,2,DOS,7,rst_count,0.06377414430661464
10,client_2,2,DOS,8,fin_count,0.053054225273028846
10,client_2,2,DOS,9,UDP,0.0455366619857494
10,client_2,2,DOS,10,Max,0.04313978660879416
10,client_3,3,DOS,1,Tot sum,0.7125414369270996
10,client_3,3,DOS,2,AVG,0.5453070736824573
10,client_3,3,DOS,3,Tot size,0.24183736172767517
10,client_3,3,DOS,4,fin_count,0.2362476450880201
10,client_3,3,DOS,5,UDP,0.16232696948645947
10,client_3,3,DOS,6,Variance,0.12119807699144605
10,client_3,3,DOS,7,syn_flag_number,0.12006776952852138
10,client_3,3,DOS,8,syn_count,0.08614703221816007
10,client_3,3,DOS,9,rst_count,0.07873444017855499
10,client_3,3,DOS,10,ack_flag_number,0.05400394738291363
10,server,,MIRAI,1,Tot sum,0.726450435638266
10,server,,MIRAI,2,AVG,0.5310202517836995
10,server,,MIRAI,3,Tot size,0.4317369399415516
10,server,,MIRAI,4,Variance,0.04662685315580929
10,server,,MIRAI,5,Max,0.02907858434607183
10,server,,MIRAI,6,Min,0.020366889456437907
10,server,,MIRAI,7,Std,0.020256257114476768
10,server,,MIRAI,8,syn_flag_number,0.0037835206484216296
10,server,,MIRAI,9,syn_count,0.003706372092288522
10,server,,MIRAI,10,UDP,0.0037034553997090684
10,client_1,1,MIRAI,1,Tot sum,0.7447896932531805
10,client_1,1,MIRAI,2,AVG,0.5411231484552411
10,client_1,1,MIRAI,3,Tot size,0.37032206503501763
10,client_1,1,MIRAI,4,Variance,0.11484119025240803
10,client_1,1,MIRAI,5,Max,0.03156788896112497
10,client_1,1,MIRAI,6,Std,0.030756677418135963
10,client_1,1,MIRAI,7,Min,0.01251155128361772
10,client_1,1,MIRAI,8,UDP,0.004626188501945482
10,client_1,1,MIRAI,9,syn_flag_number,0.0033700316474359867
10,client_1,1,MIRAI,10,syn_count,0.0030483761568745175
10,client_3,3,MIRAI,1,Tot sum,0.6675716466129759
10,client_3,3,MIRAI,2,AVG,0.6100072688373204
10,client_3,3,MIRAI,3,Tot size,0.4099352683120707
10,client_3,3,MIRAI,4,Variance,0.10520430205466602
10,client_3,3,MIRAI,5,Max,0.037396052637858467
10,client_3,3,MIRAI,6,Std,0.03691062657208543
10,client_3,3,MIRAI,7,Min,0.017577212293358048
10,client_3,3,MIRAI,8,UDP,0.004349692575573169
10,client_3,3,MIRAI,9,syn_flag_number,0.003406635789422765
10,client_3,3,MIRAI,10,syn_count,0.0031398515202459986
10,server,,RECON,1,Variance,0.578991556338924
10,server,,RECON,2,Tot sum,0.49097284048761825
10,server,,RECON,3,AVG,0.3383031570227999
10,server,,RECON,4,IAT,0.3380897090307753
10,server,,RECON,5,Std,0.3324008695643115
10,server,,RECON,6,Tot size,0.2637168972455619
10,server,,RECON,7,Max,0.07509608496024439
10,server,,RECON,8,Number,0.06347910484413775
10,server,,RECON,9,ack_flag_number,0.04836092723709999
