Round,client_1,client_2,client_3,client_4,client_5
1,0.191551951726772,0.1768668278073333,0.18341204283974671,0.17722283634970523,0.16634804094473876
2,0.20975497573659266,0.18169855068568488,0.20275474128766877,0.19588421947015935,0.15625140172447324
3,0.23803756511056137,0.19741652277083624,0.21140759352776406,0.21320308216033768,0.17933455010094987
4,0.27945657578537236,0.22763232854896703,0.239779190874496,0.2493783051923664,0.2233763229965159
5,0.290663194225479,0.24752086122580094,0.25850787579283196,0.26137328666525095,0.2300554264659883
6,0.2874851748045915,0.23307391677777586,0.2446307949595603,0.2544723888376385,0.23606763921657284
7,0.26601118592579603,0.2533990577268727,0.24512452493057033,0.24126727833924916,0.2425505707626422
8,0.31308542861008026,0.2498882666650874,0.25154474043690556,0.26786644914374513,0.25625120143449337
9,0.2833007055801317,0.2767996637749954,0.25815085924479947,0.2594628330077839,0.21782437223018744
10,0.2557871183685809,0.2606187521460957,0.24401811424851558,0.25353689094001963,0.21983539083203482
11,0.286064958276768,0.25070863686851663,0.24301479078773358,0.256844553344458,0.2582582143129173
12,0.314563534974877,0.24963711763230903,0.25467170849089327,0.2680580259604434,0.25552508248294253
13,0.294685084602061,0.26738856858762167,0.261678824701784,0.2653419305562698,0.24530195025383295
14,0.3020253121355231,0.2889684821777518,0.2717008543270575,0.27240976231175934,0.24278797955236678
15,0.3149039192966662,0.2566374921886829,0.2598229300915931,0.2669430705902759,0.25220552664898765
16,0.26662617719096243,0.27047367248744414,0.25507106925655554,0.25024407983291946,0.2282638772081461
17,0.27514251088310115,0.2824203255471934,0.2631685996903582,0.2586569901102794,0.21967989809383212
18,0.2789160924143035,0.27895155735787175,0.2597443195026416,0.2628688629531561,0.22735388919701005
19,0.29520755852216063,0.255149814165755,0.258280813924275,0.2684549323117749,0.25104468041249256
20,0.3147747022229607,0.27468815828872295,0.2714263165594587,0.28187352129485244,0.25136310401246575
21,0.2964785187841044,0.2718930028254707,0.27148078779448165,0.27642390052019894,0.24571911436938076
22,0.3210743450772928,0.2674906021525547,0.2814271984426973,0.2943498314066778,0.2692002093850426
23,0.3053976204923517,0.2902672574292686,0.28114631994452616,0.2856171899315276,0.2468199309861845
24,0.29530576575372663,0.2844394887660251,0.2718874553139595,0.27640578733670207,0.23725952656250882
25,0.2965350324425599,0.2736818868734933,0.27549380094751535,0.281631596241065,0.22987249852275002
26,0.30956219514457195,0.2997550914288244,0.28265728465197626,0.2865022928550577,0.25614016940811357
27,0.2960568360815862,0.28544990172079615,0.2705197992722698,0.2763515612369717,0.23605736228474797
28,0.29115911153873414,0.2927893717978404,0.27196045918370004,0.2753927934648629,0.23366580561241865
29,0.28766760298683486,0.28168492864292427,0.26835269275521423,0.2696710317647724,0.23208064467015016
30,0.3256630387410657,0.27540283938877225,0.28429903649202093,0.29598128790408135,0.2727164853947466
