round,client_id,num_examples,size_weight,shap_weight,performance_weight,final_weight,local_f1
1,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.21609338549845047
1,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.24401877274867467
1,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2449238527850089
1,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.23964621640291234
1,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.19066090077232314
2,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2182330140139488
2,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.26816063060660084
2,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.25053115224594885
2,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.24757568383619755
2,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.21219932910831563
3,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2191492344302995
3,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2556795597285702
3,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2446929395301349
3,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.24998431123297676
3,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.22701870674199381
4,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2425968755448269
4,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.27817511996921435
4,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.26297157032692436
4,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2612409977889142
4,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.230336540960383
5,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2474237751978131
5,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.28569230007036117
5,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.28129397475300205
5,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2713068170774507
5,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.24758074466201083
6,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.25900312500536254
6,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2906506583882626
6,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.28607927944674744
6,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.28100952803858664
6,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.25492526289907597
7,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2874108984700256
7,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2880928201378154
7,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.31064876193321694
7,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.29972027778528704
7,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.29301117271268734
8,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2980247011679149
8,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.3221004031715889
8,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.3152950913332379
8,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.302564067487294
8,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.32245069427243667
9,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.30408997360648043
9,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.3350707757519513
9,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.3224940155950349
9,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.31338838235090577
9,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.3248532826396483
10,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.31082794891494464
10,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.35072065592581114
10,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.3295358501121158
10,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.310977538720855
10,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.32963360270368336
