,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,252,1,0,0,1,5,0
true_DDOS,7,88306,0,0,0,0,0
true_DOS,0,1788,0,0,0,0,0
true_MIRAI,27,35895,60,14,0,26,0
true_RECON,0,0,0,0,0,0,0
true_SPOOFING,1658,237,0,0,20,42,0
true_WEB,474,11,0,0,26,13,0
