Round,client_1,client_2,client_3,client_4,client_5
1,0.11560052501689728,0.12394534523625433,0.12283763565847397,0.11363946568801321,0.1145930567009491
2,0.24913187363001688,0.2666894864635958,0.2504793048511188,0.24768414003302974,0.250003737791553
3,0.1683611220687027,0.17849032925301714,0.17855391360582354,0.1672566406733762,0.16729518623327705
4,0.3541832759210064,0.37336955545971645,0.35993957574435653,0.35190536005445755,0.35260895493638816
5,0.3561201818809008,0.37444844946330635,0.3721501873909704,0.3529248633671096,0.3521317138968974
6,0.3500692144554748,0.37463792804780527,0.3698335465904015,0.3528803243275751,0.35255825339026264
7,0.3866782310807982,0.4035490429173217,0.40125992524145543,0.381766086967456,0.3840421770843504
8,0.20717611336561428,0.2240964845175847,0.21827470163778484,0.21335723864497882,0.2169893409040603
9,0.20495911068775083,0.2231451642924003,0.2162371924083242,0.210143265770519,0.21420463732675826
10,0.3215464208719882,0.3443011858473654,0.33875576211882014,0.32417582692863023,0.3244591951479968
11,0.22319640904702265,0.23839699184291488,0.22787687883799262,0.2227053294869727,0.22286927973009946
12,0.3180955086907265,0.33826904475466013,0.3276932216122946,0.3167482915802641,0.3171353506958721
13,0.40221471946870874,0.4312433787272936,0.42452488839222674,0.4030391032715753,0.4029728669445534
14,0.4060884815831607,0.435553857191443,0.4249695438156631,0.40364024940429355,0.4040952577094632
15,0.4026166958734435,0.4253554715587848,0.4348402034005804,0.39899011967672254,0.4014201037297942
16,0.4031032808777414,0.42512380133556005,0.4358604407135829,0.3994940923368419,0.4003728778182518
17,0.26413645594579777,0.28433314997360093,0.27382923480053484,0.2627253385525746,0.2665249295713433
18,0.25276638239502786,0.2710028071723195,0.25650972861822874,0.25157466884597524,0.2505471215915418
19,0.4003830350685043,0.4271369468185368,0.4308852000787499,0.39963087059558106,0.40114080736845603
20,0.2695241205730568,0.28984362085632953,0.27976484822827485,0.26699551120932075,0.26969068477670427
21,0.40312417270431594,0.42333174888024877,0.4297242431863355,0.3985350932846887,0.39990696407566406
22,0.27381261838703513,0.2932359180803098,0.29297239102802175,0.27299265070728496,0.2705441543899156
23,0.3066324719932609,0.33107108873125374,0.32668976322048526,0.30603432925506346,0.30554016024217123
24,0.41000634262388036,0.43115203388390033,0.43776302550237867,0.40704414011928636,0.4093177146532709
25,0.39848568253596733,0.4190952826681758,0.42791401023261627,0.3962040339673829,0.39719755851842764
26,0.41108987681975795,0.43498381968939676,0.41768468534435876,0.4053158341871925,0.40871080435434326
27,0.398072420823501,0.42039254134455467,0.42387341797109424,0.39358281359567154,0.3937308032286274
28,0.41344443317952867,0.4424246239604332,0.42869607493912504,0.4129170347948146,0.4136634848235715
29,0.3208048661562667,0.3379206029176526,0.34548527610938856,0.3185593403951174,0.31896604203371043
30,0.24990501389658068,0.26963106725435965,0.25420896182328057,0.2495590856672884,0.25028844152070157
