feature,client_2,client_3,client_4,client_5,client_1,server
SMTP,0.006484855891584626,0.006141023387928262,0.005276497623898577,0.005326399392692049,0.01451252655000246,0.03979404236586238
IRC,0.014983203605187225,0.0035360151248886654,0.021184967579943623,0.018500667989987372,0.026966292135919643,0.033464113486043126
ack_flag_number,0.002856173027323336,0.011738377656939422,0.003049875258448679,0.004787597071200632,0.01279312120570328,0.019876390635371752
rst_flag_number,0.01023441104298217,0.0032987895906824646,0.018087965085043182,0.003539872365121186,0.014921701697835141,0.01916487977263151
UDP,0.0029215789829718005,0.0013726201951811319,0.0037145390828036647,0.0027763073141057843,0.009167731100627073,0.014581376547188942
ece_flag_number,0.012040253397391183,0.003775969387167786,0.0010968720994854382,0.0039871212358799065,0.009552418210982173,0.014162279906146637
DHCP,0.007088519344538116,0.0020724833184932365,0.002538682593787164,0.00507530085362966,0.0073398227404786335,0.013409462232917151
syn_flag_number,0.005922690382218962,0.001087617460753825,0.0034975033009234254,0.004889990413228351,0.0057378846168647385,0.012008156825287336
cwr_flag_number,0.018415492119956526,0.00043147056319364763,0.006504692567556997,0.0013369477218645963,0.014755695412997972,0.010992974772324486
DNS,0.009774575701893598,0.000412186482692027,0.0018058399314743146,0.0019544375064817314,0.004696741149154835,0.0101462149960728
fin_count,0.011808719664691521,0.001791546158032562,0.010642279815251234,0.0016596153288178546,0.02620833315979009,0.008978407019503256
rst_count,0.005928997520886099,0.002934422872731154,0.008237084727100967,0.012586515726055693,0.009275862372487682,0.008570539504275691
syn_count,0.006929174487161899,0.0049716798805467385,0.00614654820135042,0.004112875560728475,0.03028731374139578,0.008488237305333221
Telnet,0.003819107057138297,0.0010243203991492028,0.007287070670845615,0.0028924092331441965,0.020180122656073107,0.007900410007532022
TCP,0.0012111544749834756,0.0011306679376349897,0.0026406329676029678,0.0023850014426255155,0.007776619789728337,0.007849366092955478
SSH,0.011544525843929473,0.0008736264207624242,0.008188641964231632,0.0026193729908176463,0.010025794750694457,0.00663496954235327
ack_count,0.004238534981754368,0.00604447582297705,0.003875553679228938,0.004574507234905994,0.0037064378911127105,0.0052943139378370625
psh_flag_number,0.0028083441614366544,0.000547962391066966,0.0015807369923324128,0.0006127499132296125,0.0010897066843961291,0.0052858502934429565
IPv,0.004726864944239813,0.0001575031456913516,0.0015031687931167568,0.0006140300252160575,0.0016564725024859172,0.00413036680152807
Protocol Type,0.0019478574430903451,0.0010225414919419612,0.0016789496526537766,0.0008623786430617499,0.007880912372886828,0.0033328972072364984
ARP,0.0017556376896090801,0.001252909396189717,0.001809138848673868,0.0015211736866976243,0.0036549768158925895,0.0032956116026638727
LLC,0.0006816798702996593,0.00022517259219699922,0.0007079573054454163,0.00035682778188176375,0.0004408727102403162,0.0026296176806229065
Max,0.0011190084090734345,0.0009612862121242442,0.00239598654127513,0.00035976372137467644,0.004211767369271854,0.0019544208783658003
fin_flag_number,0.0018576027161331461,0.000629529808915739,0.00473855842149735,0.0020432356751718056,0.0005059244427622414,0.0019380278120500623
HTTP,0.0019951473492862315,0.0004882415229703041,0.004299195488920842,0.002608992157287277,0.0016279470890936507,0.0015872776063663456
Tot sum,0.0004862354411525296,0.00014110706994783053,0.00047230876507493136,0.00017002897124784958,0.0006718305641697158,0.0015865448750109104
IGMP,0.0006262622439010214,0.0006290450221693658,0.0005726521499811555,0.004897861183609332,0.0012621373551065002,0.001427837609713805
AVG,0.00021139568878409575,0.00018116973791420634,0.00024299392273930315,0.00012496891284490477,0.0006545403284362386,0.001279386067055256
Header_Length,0.00047753279427530587,0.00032644960482427023,0.0019204737364828413,0.00019985469034697326,0.0023161886957049392,0.00101311092014036
Time_To_Live,0.0005469666784473966,0.00011986015945019612,0.0009551200477417543,0.000168079277256679,0.0003723749937798212,0.0010119586088925307
Min,0.0006696469594729943,7.007141321686979e-05,0.0003619240741287351,9.331678510152173e-05,0.0010732623357828698,0.0006830466181535077
ICMP,0.0010786818053731258,6.36813337795538e-05,0.00019048052465460338,0.0003408762065520072,0.0013272567916755463,0.000418878419091372
HTTPS,0.00021251991736623562,0.00020366499757106676,0.00013495068690807602,0.00018680858157034814,0.0005309851760057939,0.0002976064951899387
Rate,0.0009158658186110467,6.806659938259984e-05,0.00020066630713316125,0.00011691601392060156,0.0002432714116676244,0.000191801398038733
