,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,418,0,0,0,0,27,2,0
true_BRUTEFORCE,19,0,0,0,0,12,0,0
true_DDOS,14,0,9262,137,39,2,0,0
true_DOS,349,0,72154,8423,8034,50,6,0
true_MIRAI,0,0,9,0,626,0,1,0
true_RECON,45,0,0,0,0,13,2,0
true_SPOOFING,2553,0,0,0,0,527,383,0
true_WEB,61,0,0,0,0,25,0,0
