round,client_id,num_examples,size_weight,shap_consensus_alignment,shap_weight,final_weight,local_accuracy,local_precision,local_recall,local_f1
1,1,1225117,0.33828624021722503,0.9419128973759329,0.1937275343901179,0.26600688730367145,0.9380860650385269,0.38079845364960796,0.45017472522374813,0.3794824856649736
1,2,119203,0.10552105942330561,0.9959598550399114,0.20484361941103543,0.15518233941717052,0.7897385993758599,0.4238912435446085,0.4241559093780948,0.3958980662603815
1,3,706868,0.2569595191291867,0.9966819954694148,0.2049921453366076,0.23097583223289714,0.9154472096786971,0.418283533952689,0.39916303445372536,0.34496690197860036
1,4,412772,0.19635893363995005,0.9634898136349296,0.1981653574608526,0.19726214555040134,0.874768637407576,0.3562128504621378,0.3936926783719036,0.31727943689969246
1,5,113298,0.10287424759033272,0.9640051225436174,0.19827134340138644,0.15057279549585958,0.7537864077669902,0.4927758723707593,0.4243856048359523,0.4120391614312998
2,1,1225117,0.33828624021722503,0.9682197674729833,0.1996802923323415,0.26898326627478325,0.9724304557920856,0.4041050302631629,0.47149499793863214,0.4308961313459721
2,2,119203,0.10552105942330561,0.9871109821892443,0.20357631202103402,0.15454868572216982,0.7951746585685044,0.45888558756643305,0.45067739040721794,0.42513089300306384
2,3,706868,0.2569595191291867,0.9928231255864134,0.2047543528974023,0.2308569360132945,0.9177389965934427,0.36874595159173784,0.3937186474131772,0.3370151771787751
2,4,412772,0.19635893363995005,0.9150641755828873,0.18871777691560357,0.1925383552777768,0.8915236498599711,0.41309710884485473,0.4172554991089441,0.3355051614574205
2,5,113298,0.10287424759033272,0.9856318590108971,0.20327126583361857,0.15307275671197565,0.8267608120035305,0.5165645920615026,0.42190329677457883,0.4220431257371801
3,1,1225117,0.33828624021722503,0.9141995136211025,0.1896165616507035,0.2639514009339643,0.9705563536633146,0.4020539119260201,0.4713550444252689,0.42171093913184293
3,2,119203,0.10552105942330561,0.9954738553838597,0.20647388984423545,0.15599747463377053,0.8021542901244925,0.425346924009278,0.4240946115822585,0.4043168101840501
3,3,706868,0.2569595191291867,0.9942407079554808,0.20621811944412724,0.23158881928665698,0.9424846365395715,0.36599740899194066,0.4038085326587633,0.3689134962296181
3,4,412772,0.19635893363995005,0.9452133126746715,0.19604921650628343,0.19620407507311674,0.860329673524367,0.4056635437616227,0.42541662336455127,0.334170494316807
3,5,113298,0.10287424759033272,0.9721788594739045,0.20164221255465026,0.15225823007249148,0.8265842894969109,0.46638744875693605,0.43752398321353536,0.4405670331557194
4,1,1225117,0.33828624021722503,0.9707091788624721,0.20185310368475798,0.2700696719509915,0.9698347916938749,0.4026260803946364,0.471437327290626,0.4177242813930687
4,2,119203,0.10552105942330561,0.9877669521318262,0.2054001644845795,0.15546061195394256,0.8054092144558908,0.46562001017363436,0.45191053067498776,0.4315312357014834
4,3,706868,0.2569595191291867,0.9925072742206505,0.20638588579733755,0.2316727024632621,0.93431908464333,0.39236986981482624,0.40472530841486254,0.37374633494114684
4,4,412772,0.19635893363995005,0.8690889913826584,0.18072180021458287,0.18854036692726645,0.8977740738228368,0.3737897792827946,0.43502919484807356,0.36443837696423015
4,5,113298,0.10287424759033272,0.9889157296313922,0.20563904581874218,0.15425664670453745,0.7707678729037952,0.44821860786723255,0.45929505782693225,0.43974185853638237
5,1,1225117,0.33828624021722503,0.942427128144714,0.19313751099960413,0.2657118756084146,0.9775303643724697,0.41608855625044117,0.47802598820424275,0.44140369103457583
5,2,119203,0.10552105942330561,0.9929228808136589,0.2034859227709534,0.15450349109712952,0.8074225697124258,0.46930571648870467,0.48518751831006146,0.4565444126886734
5,3,706868,0.2569595191291867,0.9970414726171858,0.20432997165919212,0.2306447453941894,0.9513518713430437,0.4362914601949041,0.40255565767549195,0.3797363449616932
5,4,412772,0.19635893363995005,0.9692086613108182,0.19862601881308087,0.19749247622651545,0.9220005232913085,0.42456456366922113,0.413805478069486,0.38260614939117465
5,5,113298,0.10287424759033272,0.9779653193952907,0.20042057575716948,0.1516474116737511,0.8361518093556929,0.4606115748941949,0.4384677732980309,0.4413186602835656
6,1,1225117,0.33828624021722503,0.9060871023153033,0.18938898914282348,0.2638376146800243,0.9788363588872927,0.4220690897163871,0.4823820385509287,0.4462280632431234
6,2,119203,0.10552105942330561,0.9944821518823251,0.20786519197139264,0.15669312569734914,0.8104426025972283,0.47723537179797487,0.49966893948028823,0.4640093120139326
6,3,706868,0.2569595191291867,0.9987937972018198,0.20876640571399518,0.23286296242159096,0.9423601444108693,0.41559513609818666,0.3918890165216435,0.3426145475646339
6,4,412772,0.19635893363995005,0.9041362399178889,0.18898122276312448,0.19267007820153728,0.9188607754401946,0.42377239230100305,0.37703342357527503,0.36375141949923173
6,5,113298,0.10287424759033272,0.9807656567995666,0.2049981904086641,0.15393621899949844,0.8389055604589585,0.5323507639526992,0.4540148401900117,0.44097099552369257
7,1,1225117,0.33828624021722503,0.9306924850796269,0.19287258701927146,0.2655794136182482,0.975793391667755,0.3871493200042256,0.4415946074300797,0.39329876095651223
7,2,119203,0.10552105942330561,0.9642127793990255,0.19981918429675638,0.15267012186003098,0.8210127176940372,0.5019789268511569,0.4614297411883057,0.44622447583439695
7,3,706868,0.2569595191291867,0.9952394264762443,0.2062490091682929,0.2316042641487398,0.9445444153962811,0.41636771092,0.4045767311905855,0.3749409035906243
7,4,412772,0.19635893363995005,0.9717637379001743,0.20138401148075058,0.19887147256035032,0.9215256848817265,0.43318981546582236,0.37185865920757255,0.3579378259437684
7,5,113298,0.10287424759033272,0.9635180325353899,0.19967520803492864,0.15127472781263068,0.8493909973521624,0.5035520429717665,0.45160060342952435,0.44553441600775356
8,1,1225117,0.33828624021722503,0.9006295547651976,0.1861107719468127,0.2621985060820189,0.9782388663967612,0.41974365321917706,0.48449554239150067,0.4452075877590898
8,2,119203,0.10552105942330561,0.9750470370987149,0.201488787258602,0.1535049233409538,0.8154088788966813,0.4783336347266985,0.5008777105733907,0.46807772553598825
8,3,706868,0.2569595191291867,0.9948207508261879,0.20557493023115272,0.2312672246801697,0.946491019590534,0.4309931870135077,0.43131876517392675,0.4221796564322584
8,4,412772,0.19635893363995005,0.9795620442740156,0.20242179180669245,0.19939036272332125,0.9233378233019681,0.4122558611697237,0.39636110403702784,0.3856348401406286
8,5,113298,0.10287424759033272,0.9891530097400482,0.20440371875674007,0.1536389831735364,0.8222418358340688,0.4598994191265103,0.48099196859017634,0.4617561992817696
9,1,1225117,0.33828624021722503,0.7418277483260023,0.1582938871592991,0.24829006368826206,0.9790453180096643,0.42355945145051355,0.4843322836125084,0.44793328090321555
9,2,119203,0.10552105942330561,0.9931997812031053,0.21193256041874883,0.15872680992102722,0.8162477769202375,0.4814344538225179,0.49827752515563917,0.46877733016797907
9,3,706868,0.2569595191291867,0.9985691634529521,0.2130782986172597,0.2350189088732232,0.9424450254077117,0.40185780578231034,0.40814020411289664,0.388883840453646
9,4,412772,0.19635893363995005,0.9747135103097382,0.20798789309483942,0.20217341336739475,0.8677332764819319,0.40896681080885666,0.4188529274263581,0.3288009524511407
9,5,113298,0.10287424759033272,0.9780852200479794,0.20870736070985307,0.1557908041500929,0.8389761694616064,0.48673529366622575,0.46164261915016397,0.44392726670059107
10,1,1225117,0.33828624021722503,0.8838606370457952,0.18344747155772265,0.2608668558874739,0.9797342301162335,0.42992687326238155,0.48511798928962896,0.45035916579936097
10,2,119203,0.10552105942330561,0.9923970821858857,0.20597448045288339,0.15574776993809453,0.8240998624207241,0.4984224521013117,0.48503142341609284,0.48108961086038654
10,3,706868,0.2569595191291867,0.9941297022374498,0.2063340900500389,0.23164680458961281,0.9320272977285845,0.4302150283609637,0.4357571055044248,0.4264336774559768
10,4,412772,0.19635893363995005,0.9798277998220442,0.20336569466438092,0.19986231415216552,0.9287064045041815,0.43623711314017566,0.4208890573113496,0.3996049743754929
