,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,3001,0,0,1,14,37,0
true_DDOS,3136,75609,1950,338,14,7,0
true_DOS,845,15891,2782,1860,4,1,0
true_MIRAI,113,380,1,15628,0,29,0
true_RECON,5724,0,0,0,451,69,0
true_SPOOFING,793,0,0,3,7,161,0
true_WEB,12,0,0,0,0,2,0
