Round,client_1,client_2,client_3,client_4,client_5
1,0.28370228051123547,0.1284397525303686,0.1349625848289353,0.589297369175496,0.20844617007623958
2,0.4819814551833598,0.4119833569138293,0.6916815724420684,0.8191849506834776,0.4028733944555015
3,0.402932085874196,0.3647246942209646,0.6376389251763571,0.7853069091929413,0.3088735902204531
4,0.5126054632027399,0.4329713936491725,0.7073644579322172,0.8569363368528922,0.4485845106420003
5,0.5295965249352602,0.4341936726134166,0.7035525989642998,0.8533801794548038,0.4611569708636497
6,0.8637874864255284,0.5486274476973436,0.7152762425387382,0.8505193941722937,0.44986785865770496
7,0.8610057639294962,0.5554923021540574,0.7211045682014591,0.8530263936416149,0.4723373247631788
8,0.7578230724250271,0.5086103692789391,0.6562426727227659,0.7931145961046963,0.3888326970972408
9,0.7564113273744884,0.5104437877253054,0.655512457208701,0.7907417912541707,0.39141026895929176
10,0.815378832177763,0.5546969836499259,0.7006853307072372,0.8426690089727402,0.4081372964860191
11,0.781446829838777,0.5133069343401786,0.6585405068633559,0.8029230027875882,0.39195406049137005
12,0.8203491771781806,0.5586819479443109,0.6983540004421488,0.83503211521218,0.4191001337727169
13,0.8553337231643138,0.5730395398873159,0.7324128598321175,0.864170646757065,0.4646807399915169
14,0.8772784228552335,0.5737009100118042,0.7324061606072177,0.8653661988154275,0.4686830456676129
15,0.8574053963745719,0.5740274091871845,0.7320979962618325,0.8623041216047237,0.4666927686602064
16,0.8455851641466878,0.5758189687649122,0.7326607311534056,0.8592664434156191,0.46965099459471216
17,0.7824408988388606,0.5223651935135497,0.6647841844698569,0.8109807796707352,0.40947502365493166
18,0.8074764013031492,0.5216619645204229,0.6602019146384763,0.8087848677268041,0.41197646470249166
19,0.8738618327625094,0.5750738809031469,0.7296125838240516,0.8634142770874887,0.4663991212328842
20,0.8110684153370645,0.5218293999949769,0.6647640867951577,0.8175685155025284,0.41185683056543443
21,0.8581572132653914,0.5772589138460765,0.7304901822859096,0.8582294849976516,0.47526292320575986
22,0.8153203575306992,0.5259064538003667,0.6646234030722645,0.8162204695591707,0.4225695237473762
23,0.8184028067830591,0.5455968656079163,0.6780888451206195,0.8349772174135817,0.41714248425723516
24,0.864631192047448,0.5773761186782643,0.7326406334787066,0.8646891259660487,0.4693899746593146
25,0.8523264556010358,0.5765975437215883,0.7290900442818766,0.8586869666526372,0.47097784593298314
26,0.874471639796174,0.5781798089561235,0.7303160024385179,0.8634752746414869,0.4696836220866369
27,0.8761506975190042,0.5776775025324615,0.727703304727643,0.8596385284950073,0.4742949742786605
28,0.8674129145434801,0.5786318847374193,0.7326205358040074,0.8655308922112224,0.4740774576658292
29,0.8254615320357531,0.5566559787022076,0.6831266622451783,0.8312868653966976,0.43751291504888684
30,0.772876117283435,0.5212350040603102,0.6617829317148006,0.8034231827303725,0.41409725167759687
