Round,client_1,client_2,client_3,client_4,client_5
1,0.11207710480208943,0.08139389067230982,0.08596880730842583,0.09223475584739677,0.09816840717719484
2,0.28363450522882744,0.2650700550327534,0.290624583871835,0.29484381919282643,0.21925159812491216
3,0.15102853920926465,0.12142379998051228,0.15714546957190972,0.1672459708714951,0.1242931452998545
4,0.3560006159928836,0.3604454500896249,0.38004064107373425,0.35942450386568614,0.34216187057072783
5,0.3534355165360002,0.36022054589495406,0.3983744530629892,0.3915158730624268,0.3535938899059543
6,0.37190341648949643,0.3749727809215583,0.4024380168616827,0.3910100017462263,0.3208950507209404
7,0.3769038298736849,0.3728880173573075,0.43645769432751375,0.42288164008366064,0.34948259451589103
8,0.200072141554262,0.16325452166441187,0.18848114077192749,0.16069416077862025,0.14909724637237007
9,0.19629716152214616,0.16405391933309751,0.18475848519605848,0.15771948882797332,0.14390556694676818
10,0.3006324661425889,0.3338547321444403,0.35109699602461575,0.33201529262962964,0.28121018892354027
11,0.2321984069448386,0.21145109517194877,0.21963200071820296,0.19317045470498437,0.17727352927627388
12,0.2814202537473598,0.3115728616952976,0.3253755290737666,0.3084088026774847,0.2748209433322726
13,0.3496473747665983,0.3905836653187217,0.4168680176078351,0.3959155216863085,0.3518083452820027
14,0.38579206031331986,0.41436618390265784,0.4469372175111816,0.4221938331447609,0.36344394623171256
15,0.3481731164720695,0.39338555375030526,0.40559932910417895,0.38304419452766447,0.30458551794079325
16,0.3519566787915053,0.38402151744636276,0.4099829272745646,0.37543950289586225,0.31181713673045924
17,0.24770983806209845,0.23543768193192385,0.2541382846322954,0.24142355092658607,0.20313968311274766
18,0.24861661316536976,0.23407205047892465,0.2551710388392301,0.25658901449349214,0.20318661586735823
19,0.3828258562808587,0.4107405468128235,0.42947364540203803,0.407998527518651,0.359392726827632
20,0.2739908156812864,0.26701847896219877,0.2935901051073675,0.280449453755903,0.2046487505866707
21,0.38000892066600134,0.384322571482778,0.4081064054844746,0.39776485055232963,0.35171030737825515
22,0.27991016633363563,0.2724549892406363,0.2979242394292488,0.28077530234777875,0.22076346927645818
23,0.2853782729114911,0.3018590312478161,0.3153749671955546,0.28788312146836137,0.2611214134812371
24,0.35518032161431345,0.3922658988864378,0.4087253946539388,0.3780294552265762,0.3078249343417452
25,0.36313277036189673,0.3821545112495386,0.4150770763441494,0.38392447493099324,0.3374254049683297
26,0.38441128260369484,0.42450048192864265,0.40388149450069255,0.3957121920365795,0.34330939229618074
27,0.37339110496706984,0.3859483481828344,0.404870509681431,0.3789145552234397,0.32841970838196793
28,0.36100115630869695,0.40123481041926284,0.4132559795771097,0.4030482952419483,0.3396401107637358
29,0.2922649256903332,0.3243915217333236,0.3358616488381782,0.30954959710095936,0.28480338207751216
30,0.24845633508840548,0.23765329282207145,0.2649573030021972,0.2352461187997093,0.22035055541614418
