round,client_id,num_examples,size_weight,consensus_alignment,shap_stability,shap_quality,validation_f1,utility_score,utility_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,478837,0.18579326780371536,0.9939870105044317,1.0,0.9957909073531022,0.18938783950556856,0.1885906885428938,0.1825275486402301,0.18514012397101828,0.9083678722381592,0.7608219864672959,0.26208397754675955,0.23051330780886617,0.26208397754675955,0.21937092161406727,1,1
1,2,477793,0.185388185966708,0.996162570837418,1.0,0.9973137995861925,0.20440472767326198,0.20385565560920185,0.197301751121883,0.18777089899774296,1.4019036293029785,0.5385980627715594,0.30848838677164786,0.2550324522831215,0.30848838677164786,0.25839088939539206,1,1
1,3,597080,0.23167266593901967,0.9783505985235288,1.0,0.9848454189664702,0.23788580245478588,0.23428074278475855,0.22674867992959336,0.23068786873713437,1.2535251379013062,0.5787929336575758,0.3198673947332684,0.29617558729969984,0.3198673947332684,0.29805520261609114,1,1
1,4,655763,0.2544422228749403,0.9849508660146346,1.0,0.989465606210244,0.2636543611730928,0.26087692230810894,0.2524897994360768,0.2540517381871676,0.7910417318344116,0.8028864042551893,0.3187615480160107,0.2978652721914737,0.3187615480160107,0.2759303176166668,1,1
1,5,367784,0.1427036574156167,0.9902361047427413,1.0,0.9931652733199188,0.14661573940343098,0.14561366089761052,0.1409322208722169,0.1423493701069367,1.7741596698760986,0.4457676705058349,0.24530612240597158,0.18054689484594244,0.24530612240597158,0.17639131440818975,1,1
2,1,478837,0.18579326780371536,0.9939870105044317,1.0,0.9957909073531022,0.2685546041400218,0.2674242329304455,0.2003743249931814,0.18870947924160855,0.5711016058921814,0.7949210592264639,0.33551828815852963,0.298853923407083,0.33551828815852963,0.2956073521033049,1,0
2,2,477793,0.185388185966708,0.996162570837418,1.0,0.9973137995861925,0.2526392660379375,0.25196062633696237,0.18878782926250023,0.18606811462586648,0.9143102765083313,0.5971669917705464,0.3631197619596275,0.31219249969781704,0.3631197619596275,0.30987871260097505,1,0
2,3,597080,0.23167266593901967,0.9783505985235288,1.0,0.9848454189664702,0.26711324023825955,0.2630652509939401,0.19710824826702358,0.22475978240462047,0.8847770094871521,0.7247288488721855,0.3581698090321023,0.3332911356313078,0.3581698090321023,0.33800854968859617,1,0
2,4,655763,0.2544422228749403,0.9849508660146346,1.0,0.989465606210244,0.3278932399076853,0.32443908339749883,0.2430941340835354,0.25217260511665934,0.6293728947639465,0.7682336938288775,0.3820260360749566,0.3336790276514731,0.3820260360749566,0.3197376380235691,1,0
2,5,367784,0.1427036574156167,0.9902361047427413,1.0,0.9931652733199188,0.22930126829393113,0.22773405679774614,0.1706354633937594,0.14829001861124524,1.08180570602417,0.5691430933037511,0.32185714545776356,0.3194526990932218,0.32185714545776356,0.279761838858133,1,0
3,1,478837,0.18579326780371536,0.9939870105044317,1.0,0.9957909073531022,0.3083513899584363,0.30705351039030154,0.20110770763595914,0.18885615577016407,0.4539845287799835,0.847030323281263,0.38321801687474105,0.33073327682318626,0.38321801687474105,0.3424666798961583,1,0
3,2,477793,0.185388185966708,0.996162570837418,1.0,0.9973137995861925,0.2869912696089505,0.2862203535417678,0.18746282726542246,0.18580311422645088,0.812682569026947,0.5669532603872782,0.41286048811236753,0.3313022359941549,0.41286048811236753,0.33371538848776755,1,0
3,3,597080,0.23167266593901967,0.9783505985235288,1.0,0.9848454189664702,0.2960604131065861,0.291573741585342,0.1909690812605664,0.22353194900332896,0.6371107697486877,0.7649107998204607,0.37464603728615375,0.37061341601252523,0.37464603728615375,0.3576694196761495,1,0
3,4,655763,0.2544422228749403,0.9849508660146346,1.0,0.989465606210244,0.33982539042762067,0.33624553594509854,0.22022731103379412,0.247599240506711,0.5471204519271851,0.744011565136238,0.4016746506806853,0.348745919306299,0.4016746506806853,0.3330624150877503,1,0
3,5,367784,0.1427036574156167,0.9902361047427413,1.0,0.9931652733199188,0.3078219872389068,0.30571810809000943,0.20023307280425778,0.1542095404933449,0.9126372337341309,0.5969199647623087,0.3900400730994554,0.3557269143433151,0.3900400730994554,0.35116363505617165,1,0
4,1,478837,0.18579326780371536,0.9939870105044317,1.0,0.9957909073531022,0.3226655358563432,0.32130740672196295,0.2034924019894818,0.18933309464086864,0.39854928851127625,0.8503800852059142,0.4011272336761771,0.33926449207491893,0.4011272336761771,0.3507600732521378,1,0
4,2,477793,0.185388185966708,0.996162570837418,1.0,0.9973137995861925,0.30047659809202837,0.29966945772989406,0.18978852177257732,0.18626825312788187,0.7431914806365967,0.5805657644685179,0.41887548823862714,0.35290691119746714,0.41887548823862714,0.3490165353848758,1,0
4,3,597080,0.23167266593901967,0.9783505985235288,1.0,0.9848454189664702,0.30938869812352965,0.30470004202695833,0.192974522657101,0.22393303728263594,0.5634034872055054,0.7748457503466849,0.39316272968627236,0.38225931436540983,0.39316272968627236,0.37748083482516115,1,0
4,4,655763,0.2544422228749403,0.9849508660146346,1.0,0.989465606210244,0.34340558000509297,0.33978801039571976,0.21519665266379828,0.2465931088327119,0.5159673094749451,0.737228637131651,0.4100906094843149,0.34361684895764744,0.4100906094843149,0.33759399857731576,1,0
4,5,367784,0.1427036574156167,0.9902361047427413,1.0,0.9931652733199188,0.31565764568186205,0.3135002119491486,0.19854790091704164,0.1538725061159017,0.8068771958351135,0.6226848075521768,0.41132768948778076,0.3581999247290919,0.41132768948778076,0.3641773258286428,1,0
5,1,478837,0.18579326780371536,0.9759064754318555,0.9359103758831777,0.9639076455672522,0.3294195733456507,0.3175300453473749,0.19608009355151612,0.1878506329532755,0.3700448274612427,0.8861665692089216,0.4073267872127648,0.35078295211785604,0.4073267872127648,0.3662593673855374,5,1
5,2,477793,0.185388185966708,0.9761003599768726,0.943686504200379,0.9663762032439245,0.3302952516699965,0.31918947125834773,0.1971048167001851,0.18773151211340344,0.6860990524291992,0.6658239081114116,0.4420949133578152,0.37503012823107895,0.4420949133578152,0.388816089751833,5,1
