round,client_id,num_test_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,119710,1.7545483112335205,0.4114693843455016,0.2616840746906084,0.15307223250839813,0.2616840746906084,0.156464824968817
1,2,119449,2.426170825958252,0.35215866185568734,0.27268985837057974,0.16637383223960994,0.27268985837057974,0.1741445401268073
1,3,149271,1.857333779335022,0.5174280335765152,0.2719951107426113,0.2130906251969506,0.2719951107426113,0.2295202303079779
1,4,163941,1.2467443943023682,0.7226563214815086,0.25836211051303176,0.17071974585553254,0.25836211051303176,0.1864578938371671
1,5,91947,1.984729528427124,0.31709571818547644,0.2529342590069797,0.14285569627243347,0.2529342590069797,0.139465282223262
2,1,119710,0.676782488822937,0.7613900258959151,0.3478741903066002,0.2825347896159646,0.3478741903066002,0.27432336531338597
2,2,119449,1.4111465215682983,0.5213940677611365,0.36661668083847365,0.2607300669512984,0.36661668083847365,0.2747447559720419
2,3,149271,1.041011929512024,0.6540185300560725,0.3668410346910811,0.3235788770863544,0.3668410346910811,0.3308966041290634
2,4,163941,0.7101753950119019,0.8024960199096016,0.3431718301403291,0.26243770234557307,0.3431718301403291,0.2784307574747062
2,5,91947,1.2107343673706055,0.3783918996813382,0.3480921007961452,0.23410279003838405,0.3480921007961452,0.22804717268413172
3,1,119710,0.5389335751533508,0.783267897418762,0.3887688101568576,0.3214297386949129,0.3887688101568576,0.309360617041144
3,2,119449,1.1980741024017334,0.5104186724041223,0.41264465102070863,0.28746238827694814,0.41264465102070863,0.29863965794060243
3,3,149271,0.7273526787757874,0.7468563887158256,0.4196675611831591,0.3702279713447935,0.4196675611831591,0.3729532281125759
3,4,163941,0.6061466336250305,0.7630976997822387,0.3857901204324189,0.29799970470589177,0.3857901204324189,0.3138141861601144
3,5,91947,1.0171524286270142,0.5000054379153208,0.3872304890859734,0.2822096333221271,0.3872304890859734,0.2755447660816277
4,1,119710,0.4881509840488434,0.8050204661264723,0.40632307220192776,0.3375679219524141,0.40632307220192776,0.32754658757393096
4,2,119449,1.0497912168502808,0.5145124697569674,0.42981811211977605,0.30192048270711586,0.42981811211977605,0.31389942734498155
4,3,149271,0.6052132248878479,0.7589685873344454,0.4348727729474373,0.38593469225655047,0.4348727729474373,0.39058148923289476
4,4,163941,0.5509324073791504,0.7698623285206263,0.40309109422764394,0.324346594611651,0.40309109422764394,0.3328360695209649
4,5,91947,0.9339575171470642,0.5127954147498015,0.40505071975312607,0.30527622354811507,0.40505071975312607,0.28925844326115596
5,1,119710,0.4570204019546509,0.8100158716899173,0.41339153649247273,0.3263313271142182,0.41339153649247273,0.33138447533000115
5,2,119449,0.9837676286697388,0.5264338755452118,0.43526398325970606,0.3123872037109634,0.43526398325970606,0.32011022940273265
5,3,149271,0.5516583919525146,0.7641336897320979,0.442747370880593,0.3856158638099759,0.442747370880593,0.3943662571829355
5,4,163941,0.5289084911346436,0.7805125014486919,0.4103061776714739,0.32089386452200197,0.4103061776714739,0.33646674686654565
5,5,91947,0.8694000244140625,0.5221051257789814,0.41259995603149896,0.2909024221745957,0.41259995603149896,0.2901533503769905
6,1,119710,0.4387580156326294,0.820616489850472,0.41819206645791684,0.3277263658007486,0.41819206645791684,0.33125966120792283
6,2,119449,0.9521536827087402,0.5116911820107326,0.4453557699994255,0.36230621171634464,0.4453557699994255,0.3270485591887695
6,3,149271,0.5313366055488586,0.78893422031071,0.4505163710516562,0.39838138586655203,0.4505163710516562,0.40053206485780124
6,4,163941,0.521690309047699,0.7432429959558622,0.4193433378644947,0.35523114127088246,0.4193433378644947,0.3417006200105555
6,5,91947,0.8331918716430664,0.5873383579670898,0.4223563667339997,0.32888676205262485,0.4223563667339997,0.30507105633173964
7,1,119710,0.42200860381126404,0.828234901010776,0.4198168482797103,0.33372505455980706,0.4198168482797103,0.34469295987128795
7,2,119449,0.9353652596473694,0.5395524449765172,0.4481439240717136,0.3698309106186084,0.4481439240717136,0.3411613234175939
7,3,149271,0.5245823264122009,0.7591628648565361,0.45104810984944615,0.3968446090873183,0.45104810984944615,0.4033294874266298
7,4,163941,0.511203944683075,0.7839039654509854,0.4222079245423005,0.3686016227699539,0.4222079245423005,0.3565084597473645
7,5,91947,0.8243144750595093,0.5348515992908959,0.4253661823585822,0.33214488325760066,0.4253661823585822,0.3031922038519706
8,1,119710,0.41465431451797485,0.8269066911703283,0.4328931239773458,0.3573883781825873,0.4328931239773458,0.3448786059812666
8,2,119449,0.9184240698814392,0.522021950790714,0.45488097723055365,0.3577695177373192,0.45488097723055365,0.34080571604847154
8,3,149271,0.516800582408905,0.7853769318889804,0.4493288322917385,0.39924562658201945,0.4493288322917385,0.4019411309134687
