round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.0002,0.029411764705882353,5.955003989852673e-06,0.029411764705882353,1.1907597046915931e-05,3.5422677993774414,0.0002812875582819297,0.029411764705882353,8.372577322865863e-06,0.029411764705882353,1.6740389198830335e-05
1,0.4898,0.24570310324152597,0.16269882693662485,0.24570310324152597,0.1823692982599004,1.8049167394638062,0.491011583933082,0.24895920171598943,0.17463962030526906,0.24895920171598943,0.18514907843568448
2,0.6462,0.3359626530949039,0.27213108890531007,0.3359626530949039,0.2877890400883023,0.9808920621871948,0.6477171667807917,0.33436255515068497,0.2768500197586798,0.33436255515068497,0.28673552103395944
3,0.681,0.3869378946798715,0.3269584097697957,0.3869378946798715,0.33262917780009144,0.7885435223579407,0.6792924055200552,0.37514131038601173,0.31927136356080016,0.37514131038601173,0.325334291821281
4,0.6884,0.38956971847033145,0.333238925042244,0.38956971847033145,0.33654077398234566,0.6971620917320251,0.6903364937932054,0.39146531446971505,0.3387925980805229,0.39146531446971505,0.3407340069283054
5,0.6988,0.3999969505337072,0.326700512487293,0.3999969505337072,0.34064660845805983,0.6517699360847473,0.6988489940418181,0.39860070921036883,0.3376018094053782,0.39860070921036883,0.34269013973606754
6,0.7034,0.402916866119194,0.33024045351651443,0.402916866119194,0.3433504028028731,0.6308250427246094,0.7036621367057533,0.4067591631266571,0.4073299633743339,0.4067591631266571,0.3519899544988705
7,0.7052,0.3989791681585828,0.3301968151278412,0.3989791681585828,0.3470133771033272,0.6190937757492065,0.7068074430392695,0.41051228872398715,0.4339783926445577,0.41051228872398715,0.36279376044423906
8,0.7052,0.402344148027021,0.3344216764260429,0.402344148027021,0.34654448455575243,0.6098067164421082,0.7074921935599355,0.41708460352308785,0.43870418334220257,0.41708460352308785,0.3658879594697692
9,0.7068,0.4056851115332292,0.34351709662618685,0.4056851115332292,0.3579803444525058,0.5974002480506897,0.7105124832008819,0.42000506281548683,0.439684138117114,0.42000506281548683,0.3762914301622307
10,0.7068,0.4062729426180534,0.34598574943571764,0.4062729426180534,0.3550939899718397,0.5889137983322144,0.7110352802789008,0.4246426344636721,0.4217948999094968,0.4246426344636721,0.3770236962726647
