,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,2290,0,0,0,0,0,319,1
true_BRUTEFORCE,79,0,0,0,0,2,29,0
true_DDOS,172,0,142091,923,664,22,78,1
true_DOS,17,0,4141,227,447,1,3,0
true_MIRAI,27,0,222,4,23109,0,30,0
true_RECON,90,0,0,0,0,10,29,0
true_SPOOFING,1173,0,0,1,0,5,506,0
true_WEB,3,0,0,0,0,0,2,0
