,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,5,0,0,0,0,2,0,0
true_BRUTEFORCE,3,0,0,0,0,5,0,0
true_DDOS,30,0,5832,101,32,9,0,0
true_DOS,185,0,11626,1613,1308,6,1,0
true_MIRAI,19,0,103,0,7396,0,8,0
true_RECON,63,0,0,0,0,82,2,0
true_SPOOFING,859,0,1,0,0,297,141,0
true_WEB,32,0,0,0,0,38,2,0
