round,client_id,class,feature,class_shap_value
1,3,BENIGN,Tot size,0.0029887820193835067
1,3,BENIGN,IAT,0.06011625899018327
1,3,BENIGN,Number,0.004445497130927833
1,3,BENIGN,Variance,0.25895827198401095
1,4,BENIGN,Header_Length,0.00015667831575569836
1,4,BENIGN,Protocol Type,1.3072260264834767e-05
1,4,BENIGN,Time_To_Live,0.07024392851485288
1,4,BENIGN,Rate,7.102825553033654e-05
1,4,BENIGN,fin_flag_number,2.2134296037368274e-06
1,4,BENIGN,syn_flag_number,0.0029233612390271446
1,4,BENIGN,rst_flag_number,3.314760223194213e-06
1,4,BENIGN,psh_flag_number,7.273059399270921e-06
1,4,BENIGN,ack_flag_number,0.007399445853661746
1,4,BENIGN,ece_flag_number,0.0
1,4,BENIGN,cwr_flag_number,0.0
1,4,BENIGN,ack_count,0.00024240317823291945
1,4,BENIGN,syn_count,0.0007931797108085448
1,4,BENIGN,fin_count,0.00017369872865060642
1,4,BENIGN,rst_count,0.00017750187456613275
1,4,BENIGN,HTTP,1.0986729014772489e-05
1,4,BENIGN,HTTPS,2.9423112505000405e-05
1,4,BENIGN,DNS,3.807462208849088e-08
1,4,BENIGN,Telnet,0.0
1,4,BENIGN,SMTP,0.0
1,4,BENIGN,SSH,0.0
1,4,BENIGN,IRC,0.0
1,4,BENIGN,TCP,2.1890844019267774e-05
1,4,BENIGN,UDP,0.0007876033348566125
1,4,BENIGN,DHCP,0.0
1,4,BENIGN,ARP,2.31501600718104e-06
1,4,BENIGN,ICMP,1.9081722878766526e-05
1,4,BENIGN,IGMP,0.0
1,4,BENIGN,IPv,2.255840766268724e-06
1,4,BENIGN,LLC,2.9789719514922153e-06
1,4,BENIGN,Tot sum,0.0653705912642181
1,4,BENIGN,Min,0.01189158030037447
1,4,BENIGN,Max,0.0007344222916799481
1,4,BENIGN,AVG,0.029567670298274607
1,4,BENIGN,Std,0.004689047140755065
1,4,BENIGN,Tot size,0.05217766517307609
1,4,BENIGN,IAT,0.008148193468514364
1,4,BENIGN,Number,0.013674568636270123
1,4,BENIGN,Variance,0.14340073788189328
1,5,BENIGN,Header_Length,6.230152084185647e-05
1,5,BENIGN,Protocol Type,4.173409234198289e-06
1,5,BENIGN,Time_To_Live,0.004272363265954482
1,5,BENIGN,Rate,7.737331175121654e-05
1,5,BENIGN,fin_flag_number,3.885982326323756e-06
1,5,BENIGN,syn_flag_number,0.0006066717000521749
1,5,BENIGN,rst_flag_number,1.3042307994926007e-06
1,5,BENIGN,psh_flag_number,7.823080541413673e-06
1,5,BENIGN,ack_flag_number,0.0004665984332859807
1,5,BENIGN,ece_flag_number,0.0
1,5,BENIGN,cwr_flag_number,0.0
1,5,BENIGN,ack_count,0.00017563994060765253
1,5,BENIGN,syn_count,0.0006386062634646805
1,5,BENIGN,fin_count,0.0002426880990810787
1,5,BENIGN,rst_count,0.0002572369713561784
1,5,BENIGN,HTTP,1.300218630717609e-06
1,5,BENIGN,HTTPS,1.068387052498565e-05
1,5,BENIGN,DNS,6.738205980846152e-07
1,5,BENIGN,Telnet,0.0
1,5,BENIGN,SMTP,0.0
1,5,BENIGN,SSH,0.0
1,5,BENIGN,IRC,0.0
1,5,BENIGN,TCP,2.8560227427476548e-06
1,5,BENIGN,UDP,0.00038100510942058464
1,5,BENIGN,DHCP,0.0
1,5,BENIGN,ARP,1.0084905134981336e-07
1,5,BENIGN,ICMP,1.17458128845227e-05
1,5,BENIGN,IGMP,0.0
1,5,BENIGN,IPv,6.42147537657789e-08
1,5,BENIGN,LLC,1.0736189983012734e-07
1,5,BENIGN,Tot sum,0.060299464222043755
1,5,BENIGN,Min,0.0012298302064209566
1,5,BENIGN,Max,0.0019085130013991147
1,5,BENIGN,AVG,0.01673863115720451
1,5,BENIGN,Std,0.01151560030411929
1,5,BENIGN,Tot size,0.01779439258389175
1,5,BENIGN,IAT,0.021231840786640532
1,5,BENIGN,Number,0.003910396134597249
1,5,BENIGN,Variance,0.11459066299721599
1,1,DDOS,Header_Length,0.0026921155251329763
1,1,DDOS,Protocol Type,0.0002677615462744143
1,1,DDOS,Time_To_Live,0.0008411527280031805
1,1,DDOS,Rate,0.00195323159750842
1,1,DDOS,fin_flag_number,0.00011263195865467424
1,1,DDOS,syn_flag_number,0.02334335525520146
1,1,DDOS,rst_flag_number,4.5075316847942304e-05
1,1,DDOS,psh_flag_number,8.186799677787349e-05
1,1,DDOS,ack_flag_number,0.011270706943469122
1,1,DDOS,ece_flag_number,0.0
1,1,DDOS,cwr_flag_number,0.0
1,1,DDOS,ack_count,0.01750095613533631
1,1,DDOS,syn_count,0.014562680351082236
1,1,DDOS,fin_count,0.015859794267453254
1,1,DDOS,rst_count,0.008076653478201478
1,1,DDOS,HTTP,0.00022255958274399745
1,1,DDOS,HTTPS,2.3661477973746516e-05
1,1,DDOS,DNS,0.0
1,1,DDOS,Telnet,0.0
1,1,DDOS,SMTP,0.0
1,1,DDOS,SSH,0.0
1,1,DDOS,IRC,0.0
1,1,DDOS,TCP,0.00246455371088814
1,1,DDOS,UDP,0.01380286212079227
1,1,DDOS,DHCP,0.0
1,1,DDOS,ARP,4.5797762396659895e-06
1,1,DDOS,ICMP,0.0018454649260092992
1,1,DDOS,IGMP,0.0
1,1,DDOS,IPv,6.327271901263032e-06
1,1,DDOS,LLC,4.5769498044023745e-06
1,1,DDOS,Tot sum,0.10261329244822263
1,1,DDOS,Min,0.004411275452002883
1,1,DDOS,Max,0.016202985867857934
1,1,DDOS,AVG,0.07064984850585461
1,1,DDOS,Std,0.026589070539921524
1,1,DDOS,Tot size,0.061374318599700925
1,1,DDOS,IAT,0.00209633864578791
1,1,DDOS,Number,2.8282032531024013e-06
1,1,DDOS,Variance,0.13035097271203994
1,2,DDOS,Header_Length,0.009702359590308785
1,2,DDOS,Protocol Type,0.000634448588765224
1,2,DDOS,Time_To_Live,0.001190755463755977
1,2,DDOS,Rate,0.0028697980859988094
1,2,DDOS,fin_flag_number,0.0004982394468868278
1,2,DDOS,syn_flag_number,0.02617826587811578
1,2,DDOS,rst_flag_number,0.0001251345928984904
1,2,DDOS,psh_flag_number,7.130982274645703e-05
1,2,DDOS,ack_flag_number,0.009760221496981103
1,2,DDOS,ece_flag_number,0.0
1,2,DDOS,cwr_flag_number,0.0
1,2,DDOS,ack_count,0.008600410562212345
1,2,DDOS,syn_count,0.01245315958512947
1,2,DDOS,fin_count,0.07688873382649035
1,2,DDOS,rst_count,0.044443313036390465
1,2,DDOS,HTTP,1.8472334045327442e-05
1,2,DDOS,HTTPS,6.356404579235252e-05
1,2,DDOS,DNS,1.9438222807366403e-06
1,2,DDOS,Telnet,0.0
1,2,DDOS,SMTP,0.0
1,2,DDOS,SSH,0.0
1,2,DDOS,IRC,0.0
1,2,DDOS,TCP,0.009423407057340683
1,2,DDOS,UDP,0.029120578569381904
1,2,DDOS,DHCP,0.0
1,2,DDOS,ARP,1.610467608159638e-06
1,2,DDOS,ICMP,0.006581041040240621
1,2,DDOS,IGMP,0.0
1,2,DDOS,IPv,5.280925380546364e-07
1,2,DDOS,LLC,7.248693219263913e-06
1,2,DDOS,Tot sum,0.02184723309474066
1,2,DDOS,Min,1.714208291758723e-07
1,2,DDOS,Max,0.0031334525439888237
1,2,DDOS,AVG,0.005235480482224375
1,2,DDOS,Std,0.006892625615000725
1,2,DDOS,Tot size,0.010323010897263885
1,2,DDOS,IAT,0.0025626030936109602
1,2,DDOS,Number,9.730244846650748e-06
1,2,DDOS,Variance,0.07371853981167079
1,3,DDOS,Header_Length,0.0029162239574361593
1,3,DDOS,Protocol Type,0.0003771642893354965
1,3,DDOS,Time_To_Live,0.001518720286549069
1,3,DDOS,Rate,0.0007821101515219197
1,3,DDOS,fin_flag_number,0.00045185833851064673
1,3,DDOS,syn_flag_number,0.05451385713458876
1,3,DDOS,rst_flag_number,0.00013860316348655033
1,3,DDOS,psh_flag_number,9.16587996329099e-05
1,3,DDOS,ack_flag_number,0.018049387658174966
1,3,DDOS,ece_flag_number,0.0
1,3,DDOS,cwr_flag_number,0.0
1,3,DDOS,ack_count,0.01454469804884866
1,3,DDOS,syn_count,0.01380752724071499
1,3,DDOS,fin_count,0.034335723519325255
1,3,DDOS,rst_count,0.013194876327179372
1,3,DDOS,HTTP,2.505048184957559e-05
1,3,DDOS,HTTPS,1.3668402850441907e-06
1,3,DDOS,DNS,7.39739803279349e-07
1,3,DDOS,Telnet,0.0
1,3,DDOS,SMTP,0.0
1,3,DDOS,SSH,0.0
1,3,DDOS,IRC,0.0
1,3,DDOS,TCP,0.0023487532627768813
1,3,DDOS,UDP,0.024734454695135355
1,3,DDOS,DHCP,0.0
1,3,DDOS,ARP,2.722603119309497e-06
1,3,DDOS,ICMP,0.001605130049301806
1,3,DDOS,IGMP,0.0
1,3,DDOS,IPv,2.6995088376224887e-06
1,3,DDOS,LLC,3.727962939592544e-06
1,3,DDOS,Tot sum,0.04655829791445285
1,3,DDOS,Min,0.0013137965652276762
1,3,DDOS,Max,0.013618119288003072
1,3,DDOS,AVG,0.014996343769598752
1,3,DDOS,Std,0.020155225053895266
1,3,DDOS,Tot size,0.016639911895617844
1,3,DDOS,IAT,0.00013952025483376929
1,3,DDOS,Number,0.0
1,3,DDOS,Variance,0.07863630409119651
1,4,DDOS,Header_Length,0.017763431498315184
1,4,DDOS,Protocol Type,0.0018800870104314527
1,4,DDOS,Time_To_Live,0.0010940340188653863
1,4,DDOS,Rate,0.002673792098357808
1,4,DDOS,fin_flag_number,0.00042007462827768903
1,4,DDOS,syn_flag_number,0.019094241154380142
1,4,DDOS,rst_flag_number,0.00017926168061421777
1,4,DDOS,psh_flag_number,0.00021574671554844827
1,4,DDOS,ack_flag_number,0.026840305421501398
1,4,DDOS,ece_flag_number,0.0
1,4,DDOS,cwr_flag_number,0.0
1,4,DDOS,ack_count,0.03913714463542419
1,4,DDOS,syn_count,0.012573620124021545
1,4,DDOS,fin_count,0.08154836553148925
1,4,DDOS,rst_count,0.020398886769544333
1,4,DDOS,HTTP,0.00035995744956380805
1,4,DDOS,HTTPS,0.003150094831289607
1,4,DDOS,DNS,4.436203479762924e-06
1,4,DDOS,Telnet,0.0
1,4,DDOS,SMTP,0.0
1,4,DDOS,SSH,0.0
1,4,DDOS,IRC,0.0
1,4,DDOS,TCP,0.012145486142253503
1,4,DDOS,UDP,0.04726440771482885
1,4,DDOS,DHCP,0.0
1,4,DDOS,ARP,5.081421127783869e-06
1,4,DDOS,ICMP,0.006756899708392439
1,4,DDOS,IGMP,0.0
1,4,DDOS,IPv,4.4197819853764034e-06
1,4,DDOS,LLC,1.3241140308650756e-05
1,4,DDOS,Tot sum,0.07253186937887221
1,4,DDOS,Min,0.0008901802080799826
1,4,DDOS,Max,0.009839942604594398
1,4,DDOS,AVG,0.014917191647691652
1,4,DDOS,Std,0.01755854778457433
1,4,DDOS,Tot size,0.02184945410117507
1,4,DDOS,IAT,0.0074561217537848275
1,4,DDOS,Number,0.0
1,4,DDOS,Variance,0.08278649934509304
1,5,DDOS,Header_Length,0.010041160024093188
1,5,DDOS,Protocol Type,0.001229298543034929
1,5,DDOS,Time_To_Live,0.001406475845942623
1,5,DDOS,Rate,0.0011255306400016706
1,5,DDOS,fin_flag_number,0.00010731098707310594
1,5,DDOS,syn_flag_number,0.05126996621111175
1,5,DDOS,rst_flag_number,6.608381031583121e-05
1,5,DDOS,psh_flag_number,0.00013918369625223192
1,5,DDOS,ack_flag_number,0.008084970058553154
1,5,DDOS,ece_flag_number,0.0
1,5,DDOS,cwr_flag_number,0.0
1,5,DDOS,ack_count,0.00596171252473141
1,5,DDOS,syn_count,0.021477702783886343
1,5,DDOS,fin_count,0.01869788779586088
1,5,DDOS,rst_count,0.019339446251979097
1,5,DDOS,HTTP,3.05862408822577e-07
1,5,DDOS,HTTPS,0.0026299367009206876
