round,client_id,num_examples,size_weight,shap_consensus_alignment,shap_weight,final_weight,local_accuracy,local_precision,local_recall,local_f1
1,1,441948,0.2054686770470902,0.9668096802596535,0.1958988063887792,0.20068374171793474,0.8988568790898477,0.5039969892263767,0.47914937035220734,0.45423000786109824
1,2,96524,0.09602353581739213,0.99192268418414,0.20098730270205814,0.14850541925972516,0.6587518647439085,0.39292725767860304,0.4989695624293134,0.42524234405205813
1,3,219983,0.14496214225881038,0.9848361969605547,0.19955141059533363,0.17225677642707202,0.8976107353262055,0.425989125167958,0.45584796934967536,0.42355605996375495
1,4,322215,0.1754417356941594,0.9962928818010737,0.20187280945102912,0.1886572725725943,0.7753680760731931,0.44346476459943623,0.4903005218810209,0.40478938591898456
1,5,1496588,0.3781039091825479,0.9953890469937409,0.20168967086279987,0.28989679002267393,0.728561959438511,0.422115700505335,0.5090199591249965,0.40765927493044557
2,1,441948,0.2054686770470902,0.990819703633575,0.20094596123330963,0.20320731914019996,0.8822304886547738,0.4709792865318422,0.49687085839717465,0.443264305092474
2,2,96524,0.09602353581739213,0.9582172503341836,0.19433392950565528,0.14517873266152373,0.6885048897729157,0.4080815874614087,0.5038791732147144,0.4409955064360745
2,3,219983,0.14496214225881038,0.9935269084515073,0.20149500347823054,0.17322857286852048,0.9065932067786748,0.4341548001280848,0.47132045919833365,0.4410370892613128
2,4,322215,0.1754417356941594,0.9914078122433739,0.20106523424480938,0.18825348496948446,0.7838096183926311,0.44200556460829477,0.45738488746577133,0.36071417175900095
2,5,1496588,0.3781039091825479,0.9968052245215997,0.20215987153799508,0.29013189036027154,0.7466858034788373,0.46038600879746083,0.5230335181173624,0.4212550131348888
3,1,441948,0.2054686770470902,0.996818491954133,0.20039094842515165,0.20292981273612093,0.9262175640573099,0.5413047190365053,0.49044578268335876,0.4776955656718166
3,2,96524,0.09602353581739213,0.993935529616925,0.19981138498236825,0.14791746039988019,0.7081882976960053,0.4167891415895046,0.5196536081923799,0.44775317825639405
3,3,219983,0.14496214225881038,0.9981377775161715,0.2006561650991544,0.1728091536789824,0.9121754309404321,0.43717869353288824,0.4840319352345844,0.4539329477417923
3,4,322215,0.1754417356941594,0.9978260701577433,0.20059350240409937,0.1880176190491294,0.7884648807011446,0.4962539064354385,0.5334661496320552,0.47802732076221643
3,5,1496588,0.3781039091825479,0.9876509821827473,0.19854799908922643,0.28832595413588713,0.7496204710435442,0.4751696702974572,0.5282580718899964,0.45402909152650395
4,1,441948,0.2054686770470902,0.988970576124282,0.20057905976989865,0.20302386840849443,0.9174201489768027,0.5035121140075158,0.5047974608523824,0.4459040692629776
4,2,96524,0.09602353581739213,0.9576343732902645,0.19422357634809845,0.1451235560827453,0.7089341952594066,0.419442581572948,0.5170124718265449,0.4491228593745124
4,3,219983,0.14496214225881038,0.9960791613005849,0.20202079460547367,0.17349146843214203,0.9353043857735108,0.45835650537476935,0.48908356414902193,0.47132930913165655
4,4,322215,0.1754417356941594,0.9915826824672657,0.2011088367389445,0.18827528621655196,0.796173995084043,0.47141768914914745,0.4741994031836575,0.38940784893593827
4,5,1496588,0.3781039091825479,0.996310592407178,0.20206773253758473,0.2900858208600663,0.7502726193912569,0.4703682258244153,0.5368871091408496,0.4142895396923837
5,1,441948,0.2054686770470902,0.9993449196716722,0.20365684187184477,0.2045627594594675,0.9215744838759311,0.5147800787224157,0.46826911852963005,0.4258995494405163
5,2,96524,0.09602353581739213,0.9456419801471222,0.19271270151798398,0.14436811866768806,0.7336316923586939,0.4488704443823815,0.5302903831036876,0.4764749673573247
