round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1,personalized_loss,personalized_accuracy,personalized_balanced_accuracy,personalized_precision,personalized_recall,personalized_f1
1,1,110487,0.5162810683250427,0.8510865531691512,0.4585621295289782,0.5252211996231345,0.4585621295289782,0.3660328719411136,,,,,,
1,2,24132,0.6697855591773987,0.6548980606663352,0.451290758997855,0.43097236901787384,0.451290758997855,0.31905747132769535,,,,,,
1,3,54996,0.5177596807479858,0.8557895119645065,0.45626471509937067,0.4459012795172864,0.45626471509937067,0.36966753434948174,,,,,,
1,4,80554,0.5481881499290466,0.78297787819351,0.4526664570023472,0.5112247131156329,0.4526664570023472,0.3557444471510281,,,,,,
1,5,374148,0.5930850505828857,0.7183895143098453,0.4577338949905336,0.501983029268606,0.4577338949905336,0.31105310181640206,,,,,,
2,1,110487,0.4791486859321594,0.8462534053780083,0.4705743387037966,0.5375999259335065,0.4705743387037966,0.37713921524235083,,,,,,
2,2,24132,0.6392064690589905,0.6658793303497431,0.4603703458876215,0.43559356533752663,0.4603703458876215,0.3329345478785803,,,,,,
2,3,54996,0.4809255599975586,0.8497708924285402,0.47454392471420404,0.45801093278161004,0.47454392471420404,0.38091914111672914,,,,,,
2,4,80554,0.5179031491279602,0.7860813863991857,0.46217206283095946,0.5368466488401648,0.46217206283095946,0.37039408440947325,,,,,,
2,5,374148,0.5661150813102722,0.7239995937436522,0.46870875753242097,0.5122956828427867,0.46870875753242097,0.3286137782063586,,,,,,
3,1,110487,0.48815128207206726,0.8629884058758044,0.48808903011204724,0.5246704375520824,0.48808903011204724,0.40822972969231974,,,,,,
3,2,24132,0.6166300177574158,0.6863500745897564,0.46968570254403935,0.44161324080380954,0.46968570254403935,0.3505090517044698,,,,,,
3,3,54996,0.48604121804237366,0.8673176230998618,0.4939519575381728,0.4515678666320739,0.4939519575381728,0.41072597260602955,,,,,,
3,4,80554,0.5170093774795532,0.8055217617995382,0.47835893805556085,0.4962915775547844,0.47835893805556085,0.4074381847090673,,,,,,
3,5,374148,0.5485171675682068,0.7459641639137453,0.4854749622939189,0.471612256796424,0.4854749622939189,0.36237931267569695,,,,,,
4,1,110487,0.47177475690841675,0.8618208477015395,0.4880538612289848,0.5230839735120671,0.4880538612289848,0.39925868389701674,,,,,,
4,2,24132,0.5966331958770752,0.6892922260898392,0.4737059567834668,0.4197174365453154,0.4737059567834668,0.35572432573688084,,,,,,
4,3,54996,0.47251129150390625,0.8651901956505927,0.49583467426909456,0.47230989823928404,0.49583467426909456,0.3966810618779371,,,,,,
4,4,80554,0.4941845238208771,0.8069742036397944,0.47874509259145803,0.4911444701294566,0.47874509259145803,0.4071508141457171,,,,,,
4,5,374148,0.5393868088722229,0.7465949303484183,0.48535677632977897,0.46681755151363896,0.48535677632977897,0.3550182148746921,,,,,,
5,1,110487,0.4410156011581421,0.8843483848778589,0.5150155556550479,0.5117162216374684,0.5150155556550479,0.4612349342140809,,,,,,
5,2,24132,0.5838491320610046,0.6937261727167247,0.4713596316180701,0.45027345619660636,0.4713596316180701,0.3722367510023995,,,,,,
5,3,54996,0.4389767348766327,0.8877372899847261,0.5291999728468314,0.46259749227375163,0.5291999728468314,0.4543059682689297,,,,,,
5,4,80554,0.4783211648464203,0.8140874444472032,0.5154618016093079,0.512561783826538,0.5154618016093079,0.4631063447377578,,,,,,
5,5,374148,0.5151136517524719,0.7540171269123448,0.5157185567677628,0.45039870982527214,0.5157185567677628,0.416430486249653,,,,,,
6,1,110487,0.4453195631504059,0.8895526170499697,0.534114491078182,0.5078096262297096,0.534114491078182,0.4868568895895712,,,,,,
6,2,24132,0.5725515484809875,0.6967926404773744,0.49238896694742823,0.44371741638014894,0.49238896694742823,0.38804545185161926,,,,,,
6,3,54996,0.4434563219547272,0.8901010982616918,0.5494393654201312,0.47356715510297404,0.5494393654201312,0.4722180597931846,,,,,,
6,4,80554,0.47477731108665466,0.8147329741539837,0.5312255908632955,0.4937649958375277,0.5312255908632955,0.4871000506662751,,,,,,
6,5,374148,0.5091645121574402,0.7581144359985887,0.5367606604115146,0.4478572495556992,0.5367606604115146,0.44655078881541854,,,,,,
7,1,110487,0.4310103952884674,0.8924398345506711,0.541543134922703,0.5239023626712573,0.541543134922703,0.5044045866521408,,,,,,
7,2,24132,0.5632895827293396,0.694886457815349,0.5519829867854935,0.46992766423593696,0.5519829867854935,0.3958522332210218,,,,,,
7,3,54996,0.4303586483001709,0.8896465197468907,0.5524022670208676,0.4733247995311431,0.5524022670208676,0.48556971408783073,,,,,,
7,4,80554,0.46891549229621887,0.8140005462174442,0.5307640547208535,0.528173161437881,0.5307640547208535,0.48596047597281444,,,,,,
7,5,374148,0.4976913034915924,0.7605974106503309,0.5423079928963573,0.4850821407453115,0.5423079928963573,0.46899153638953855,,,,,,
8,1,110487,0.431681364774704,0.8883579063600242,0.5031623976162555,0.5178479010062571,0.5031623976162555,0.4337190479818437,,,,,,
8,2,24132,0.5590311884880066,0.6982429968506547,0.4822120316029271,0.43896377331839875,0.4822120316029271,0.3806969556347446,,,,,,
8,3,54996,0.4288766086101532,0.8909920721507019,0.5107368524163413,0.4787704076299944,0.5107368524163413,0.41507661529593126,,,,,,
8,4,80554,0.4595281779766083,0.817600615736028,0.4967885978172932,0.5212331497740327,0.4967885978172932,0.45269602996679364,,,,,,
