round,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,test_loss
0,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462,2.095327854156494
1,0.7581016449132845,0.7595948082714539,0.4553800748575455,0.4561360013532721,0.5347065198402566,0.5393506934086275,0.4553800748575455,0.4561360013532721,0.3567330491507151,0.35919842458596835,0.5685825943946838
2,0.7601075004469873,0.762896908541321,0.46545471036737923,0.4670393541937012,0.5448793564810844,0.549825055385179,0.46545471036737923,0.4670393541937012,0.37258138291123377,0.37663414547051305,0.5386103391647339
3,0.7810656177364563,0.7812344602937807,0.4832663770284332,0.48295854133202915,0.5196725081015352,0.5199881924561731,0.4832663770284332,0.48295854133202915,0.4096657279453583,0.4110292627742731,0.5299912691116333
4,0.7807639013052029,0.781558524279656,0.4808808149716514,0.4831958726522586,0.5114093634853439,0.5209682122569151,0.4808808149716514,0.4831958726522586,0.40136407864835283,0.4062545478631464,0.5176573395729065
5,0.7922011889862328,0.7927834302731636,0.5117102986581943,0.5132432996941584,0.5025624241901524,0.5106883174644385,0.5117102986581943,0.5132432996941584,0.4629010091462045,0.4676875716818559,0.49319496750831604
6,0.7957435633828,0.7966610234834643,0.5326456143798017,0.5340761055802062,0.5040660642909113,0.5110365182947357,0.5326456143798017,0.5340761055802062,0.49387487567839244,0.4972569517067922,0.4900963306427002
7,0.7972465581977471,0.7986445185694251,0.5368736654262242,0.5412586202452045,0.5281886219250062,0.5363135062358106,0.5368736654262242,0.5412586202452045,0.5082584361174247,0.5141886469296871,0.4788814187049866
8,0.7944584748793134,0.7947725126692257,0.5003008354329727,0.49979400066733287,0.5282770957103128,0.5313250151094913,0.5003008354329727,0.49979400066733287,0.4388530667832749,0.43949485843174385,0.47782987356185913
9,0.806057795458609,0.806142688725367,0.5363463753233823,0.5388325032745666,0.5358221936997515,0.5376028145582886,0.5363463753233823,0.5388325032745666,0.5109019031159214,0.5138376955689659,0.469161719083786
10,0.7978444037189344,0.7987618520815524,0.5478671726548582,0.5495568949708274,0.5245932665347958,0.5279655436823015,0.5478671726548582,0.5495568949708274,0.5177349633642326,0.5201466334847612,0.47114720940589905
