round,client_id,class_name,available,feature_name,server_normalized_mean_abs_shap,client_normalized_mean_abs_shap,client_minus_server,absolute_difference,server_rank,client_rank
10,1,BENIGN,1,Header_Length,0.0016935468802740364,0.0008813407510010698,-0.0008122061292729666,0.0008122061292729666,18,18
10,1,BENIGN,1,Protocol Type,0.00030739582572268805,0.00014226113583093222,-0.00016513468989175583,0.00016513468989175583,20,21
10,1,BENIGN,1,Time_To_Live,0.14318952855288275,0.10084783347392169,-0.04234169507896106,0.04234169507896106,5,6
10,1,BENIGN,1,Rate,0.00015303937479248226,0.0008402169053780032,0.000687177530585521,0.000687177530585521,23,19
10,1,BENIGN,1,fin_flag_number,0.00013750510768452374,9.978666491502938e-05,-3.771844276949436e-05,3.771844276949436e-05,25,25
10,1,BENIGN,1,syn_flag_number,0.02771895267796458,0.01137123623506777,-0.016347716442896808,0.016347716442896808,11,11
10,1,BENIGN,1,rst_flag_number,0.00024012247547979286,0.00013218246452684565,-0.00010794001095294721,0.00010794001095294721,22,23
10,1,BENIGN,1,psh_flag_number,0.0002761369901838493,0.00014270661782850506,-0.00013343037235534426,0.00013343037235534426,21,20
10,1,BENIGN,1,ack_flag_number,0.04933628570353449,0.032515046126027444,-0.016821239577507044,0.016821239577507044,9,9
10,1,BENIGN,1,ece_flag_number,0.0,0.0,0.0,0.0,34,33
10,1,BENIGN,1,cwr_flag_number,0.0,0.0,0.0,0.0,35,34
10,1,BENIGN,1,ack_count,0.0044205198905246925,0.0023690895047887503,-0.0020514303857359422,0.0020514303857359422,17,17
10,1,BENIGN,1,syn_count,0.015526607740697865,0.010736293563832818,-0.004790314176865047,0.004790314176865047,14,13
10,1,BENIGN,1,fin_count,0.004860762541696445,0.0037027834621735233,-0.0011579790795229216,0.0011579790795229216,16,16
10,1,BENIGN,1,rst_count,0.010297007230475906,0.005119209917374778,-0.005177797313101128,0.005177797313101128,15,15
10,1,BENIGN,1,HTTP,4.13739680061662e-05,1.673842422311286e-05,-2.4635543783053343e-05,2.4635543783053343e-05,27,27
10,1,BENIGN,1,HTTPS,0.00010365507575090736,9.98405510192682e-05,-3.814524731639163e-06,3.814524731639163e-06,26,24
10,1,BENIGN,1,DNS,5.101568252761622e-06,4.8259527226161295e-06,-2.756155301454929e-07,2.756155301454929e-07,31,31
10,1,BENIGN,1,Telnet,0.0,0.0,0.0,0.0,36,35
10,1,BENIGN,1,SMTP,0.0,0.0,0.0,0.0,37,36
10,1,BENIGN,1,SSH,9.759599136956794e-08,0.0,-9.759599136956794e-08,9.759599136956794e-08,32,37
10,1,BENIGN,1,IRC,0.0,0.0,0.0,0.0,38,38
10,1,BENIGN,1,TCP,0.00033183276647737284,0.00013979009635979055,-0.0001920426701175823,0.0001920426701175823,19,22
10,1,BENIGN,1,UDP,0.02975456579473504,0.011320474729237496,-0.018434091065497545,0.018434091065497545,10,12
10,1,BENIGN,1,DHCP,2.2810729738110196e-08,1.349991990733687e-06,1.3271812609955769e-06,1.3271812609955769e-06,33,32
10,1,BENIGN,1,ARP,1.5464527268844996e-05,7.4920290412090784e-06,-7.972498227635917e-06,7.972498227635917e-06,29,28
10,1,BENIGN,1,ICMP,0.0001468911119312153,8.370904453946892e-05,-6.318206739174636e-05,6.318206739174636e-05,24,26
10,1,BENIGN,1,IGMP,0.0,0.0,0.0,0.0,39,39
10,1,BENIGN,1,IPv,2.0772440922980504e-05,6.298028667625953e-06,-1.4474412255354551e-05,1.4474412255354551e-05,28,29
10,1,BENIGN,1,LLC,8.963162344578802e-06,5.249841654805741e-06,-3.713320689773061e-06,3.713320689773061e-06,30,30
10,1,BENIGN,1,Tot sum,0.40233889339006146,0.30538004762903914,-0.09695884576102232,0.09695884576102232,3,3
10,1,BENIGN,1,Min,0.01909437787114912,0.008312888297355738,-0.010781489573793383,0.010781489573793383,13,14
10,1,BENIGN,1,Max,0.0860611729646913,0.06745332712742623,-0.018607845837265075,0.018607845837265075,8,7
10,1,BENIGN,1,AVG,0.26563538433814826,0.1500995387229613,-0.11553584561518696,0.11553584561518696,4,4
10,1,BENIGN,1,Std,0.4933438841384684,0.40856496404805476,-0.08477892009041366,0.08477892009041366,2,2
10,1,BENIGN,1,Tot size,0.10654671892431133,0.1418704119176303,0.03532369299331897,0.03532369299331897,6,5
10,1,BENIGN,1,IAT,0.0910285470892369,0.05167825026553347,-0.039350296823703425,0.039350296823703425,7,8
10,1,BENIGN,1,Number,0.023157153261654545,0.016213379700498527,-0.006943773561156018,0.006943773561156018,12,10
10,1,BENIGN,1,Variance,0.6864712338217185,0.8233836794404231,0.13691244561870464,0.13691244561870464,1,1
10,2,BENIGN,1,Header_Length,0.0016935468802740364,0.0011108499429845823,-0.0005826969372894541,0.0005826969372894541,18,16
10,2,BENIGN,1,Protocol Type,0.00030739582572268805,0.00017228952184691963,-0.00013510630387576842,0.00013510630387576842,20,19
10,2,BENIGN,1,Time_To_Live,0.14318952855288275,0.13341822825251073,-0.009771300300372016,0.009771300300372016,5,5
10,2,BENIGN,1,Rate,0.00015303937479248226,0.00014963944527519535,-3.399929517286911e-06,3.399929517286911e-06,23,20
10,2,BENIGN,1,fin_flag_number,0.00013750510768452374,1.9274512062888865e-05,-0.00011823059562163487,0.00011823059562163487,25,27
10,2,BENIGN,1,syn_flag_number,0.02771895267796458,0.029502326793005643,0.0017833741150410642,0.0017833741150410642,11,10
10,2,BENIGN,1,rst_flag_number,0.00024012247547979286,3.0297710117834474e-05,-0.00020982476536195838,0.00020982476536195838,22,25
10,2,BENIGN,1,psh_flag_number,0.0002761369901838493,0.000254930410551403,-2.120657963244633e-05,2.120657963244633e-05,21,18
10,2,BENIGN,1,ack_flag_number,0.04933628570353449,0.05296771436139447,0.003631428657859981,0.003631428657859981,9,9
10,2,BENIGN,1,ece_flag_number,0.0,1.1354674495304741e-08,1.1354674495304741e-08,1.1354674495304741e-08,34,34
10,2,BENIGN,1,cwr_flag_number,0.0,0.0,0.0,0.0,35,35
10,2,BENIGN,1,ack_count,0.0044205198905246925,0.006541530097959189,0.0021210102074344962,0.0021210102074344962,17,14
10,2,BENIGN,1,syn_count,0.015526607740697865,0.016439154204172846,0.0009125464634749808,0.0009125464634749808,14,12
10,2,BENIGN,1,fin_count,0.004860762541696445,8.937876251311497e-05,-0.0047713837791833295,0.0047713837791833295,16,22
10,2,BENIGN,1,rst_count,0.010297007230475906,0.0006022493347921404,-0.009694757895683765,0.009694757895683765,15,17
10,2,BENIGN,1,HTTP,4.13739680061662e-05,3.458061785202421e-05,-6.79335015414199e-06,6.79335015414199e-06,27,24
10,2,BENIGN,1,HTTPS,0.00010365507575090736,7.800510617625854e-05,-2.5649969574648824e-05,2.5649969574648824e-05,26,23
10,2,BENIGN,1,DNS,5.101568252761622e-06,4.011746705479091e-07,-4.700393582213713e-06,4.700393582213713e-06,31,33
10,2,BENIGN,1,Telnet,0.0,0.0,0.0,0.0,36,36
10,2,BENIGN,1,SMTP,0.0,0.0,0.0,0.0,37,37
10,2,BENIGN,1,SSH,9.759599136956794e-08,3.7371559690974044e-06,3.6395599777278366e-06,3.6395599777278366e-06,32,31
10,2,BENIGN,1,IRC,0.0,0.0,0.0,0.0,38,38
10,2,BENIGN,1,TCP,0.00033183276647737284,0.00013056203138754027,-0.00020127073508983257,0.00020127073508983257,19,21
10,2,BENIGN,1,UDP,0.02975456579473504,0.01571283881455258,-0.014041726980182457,0.014041726980182457,10,13
10,2,BENIGN,1,DHCP,2.2810729738110196e-08,7.000698029247847e-07,6.772590731866745e-07,6.772590731866745e-07,33,32
10,2,BENIGN,1,ARP,1.5464527268844996e-05,1.8578540164296458e-05,3.114012895451462e-06,3.114012895451462e-06,29,28
10,2,BENIGN,1,ICMP,0.0001468911119312153,2.0944382407012514e-05,-0.00012594672952420278,0.00012594672952420278,24,26
10,2,BENIGN,1,IGMP,0.0,0.0,0.0,0.0,39,39
10,2,BENIGN,1,IPv,2.0772440922980504e-05,1.6932425857506634e-05,-3.84001506547387e-06,3.84001506547387e-06,28,29
10,2,BENIGN,1,LLC,8.963162344578802e-06,1.3871815443844552e-05,4.90865309926575e-06,4.90865309926575e-06,30,30
10,2,BENIGN,1,Tot sum,0.40233889339006146,0.31700629301247496,-0.0853326003775865,0.0853326003775865,3,3
10,2,BENIGN,1,Min,0.01909437787114912,0.0054267419716562855,-0.013667635899492835,0.013667635899492835,13,15
10,2,BENIGN,1,Max,0.0860611729646913,0.057512103771566396,-0.028549069193124908,0.028549069193124908,8,8
10,2,BENIGN,1,AVG,0.26563538433814826,0.10229508216046397,-0.1633403021776843,0.1633403021776843,4,6
10,2,BENIGN,1,Std,0.4933438841384684,0.39926517178112914,-0.09407871235733928,0.09407871235733928,2,2
10,2,BENIGN,1,Tot size,0.10654671892431133,0.13820798341982465,0.03166126449551332,0.03166126449551332,6,4
10,2,BENIGN,1,IAT,0.0910285470892369,0.06508595572511607,-0.02594259136412083,0.02594259136412083,7,7
10,2,BENIGN,1,Number,0.023157153261654545,0.021038376181154964,-0.0021187770804995815,0.0021187770804995815,12,11
10,2,BENIGN,1,Variance,0.6864712338217185,0.824908871774976,0.13843763795325748,0.13843763795325748,1,1
10,3,BENIGN,1,Header_Length,0.0016935468802740364,0.002203954191924545,0.0005104073116505086,0.0005104073116505086,18,18
10,3,BENIGN,1,Protocol Type,0.00030739582572268805,0.00035503754263609355,4.76417169134055e-05,4.76417169134055e-05,20,22
10,3,BENIGN,1,Time_To_Live,0.14318952855288275,0.2591862657007072,0.11599673714782444,0.11599673714782444,5,4
10,3,BENIGN,1,Rate,0.00015303937479248226,0.0003636552374600096,0.00021061586266752735,0.00021061586266752735,23,20
10,3,BENIGN,1,fin_flag_number,0.00013750510768452374,0.00018143818915506286,4.3933081470539124e-05,4.3933081470539124e-05,25,24
10,3,BENIGN,1,syn_flag_number,0.02771895267796458,0.04951024042650109,0.02179128774853651,0.02179128774853651,11,10
10,3,BENIGN,1,rst_flag_number,0.00024012247547979286,0.00035797262145656743,0.00011785014597677458,0.00011785014597677458,22,21
10,3,BENIGN,1,psh_flag_number,0.0002761369901838493,0.0002963647854411685,2.0227795257319193e-05,2.0227795257319193e-05,21,23
