,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,6786,0,0,0,59,117,0
true_DDOS,87,81483,3873,281,38,8,0
true_DOS,60,9748,3047,1129,6,2,0
true_MIRAI,17,194,8,17470,0,24,0
true_RECON,3,0,0,0,1,0,0
true_SPOOFING,3277,0,0,0,66,708,3
true_WEB,339,0,0,0,11,16,2
