round,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f1::BENIGN,val_f1::DDOS,val_f1::DOS,val_f1::MIRAI,val_f1::RECON,val_f1::SPOOFING,val_f1::WEB,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_f1::BENIGN,test_f1::DDOS,test_f1::DOS,test_f1::MIRAI,test_f1::RECON,test_f1::SPOOFING,test_f1::WEB
1,0.510638952255249,0.7766236813874486,0.46372984644657833,0.5665021813171643,0.46372984644657833,0.3959576507810264,0.441830624465355,0.8839370724633435,0.2096684864308885,0.8456048738033072,0.13547486033519554,0.25518763796909494,0.0,,,,,,,,,,,,,
2,0.4889817237854004,0.7977829429644198,0.47519333593535296,0.5720071989000549,0.47519333593535296,0.42540327613314294,0.5652203715127836,0.897721827294116,0.19577673167451243,0.848589571903754,0.21347217702570778,0.25704225352112675,0.0,,,,,,,,,,,,,
3,0.4707469940185547,0.8024930716967638,0.45893041834676296,0.5797016492943737,0.45893041834676296,0.4021791464083741,0.6119730679156908,0.9004708067540869,0.1988467963571698,0.8501531690900461,0.17762938230383973,0.07618080243778567,0.0,,,,,,,,,,,,,
4,0.44973182678222656,0.8054040765242267,0.4879186191079,0.6261565734722698,0.4879186191079,0.4563396312851312,0.6535634387983381,0.9007897598630845,0.17168357447752092,0.8515398902855168,0.28658722884204096,0.2688638334778838,0.06134969325153374,,,,,,,,,,,,,
5,0.4508005380630493,0.806035446093331,0.4869323938832429,0.6393462406925634,0.4869323938832429,0.45562551716075234,0.6524148851939826,0.9007000836081398,0.21605555263296333,0.8546148507980569,0.2334303265438086,0.2696629213483146,0.0625,,,,,,,,,,,,,
6,0.4481336176395416,0.806147192919721,0.4976854224697639,0.6362068224874313,0.4976854224697639,0.4737687626107654,0.6643486698471739,0.8975447381771862,0.3056546102903719,0.8673639799595676,0.2684690348946872,0.27429062768701634,0.03870967741935484,,,,,,,,,,,,,
7,0.4360702931880951,0.8151316377614876,0.5011400602654191,0.6664427334430767,0.5011400602654191,0.4857714645847822,0.6609869795852756,0.8983093395618909,0.35347438904958206,0.934325246398787,0.24189926211100418,0.27218934911242604,0.0392156862745098,,,,,,,,,,,,,
8,0.42300328612327576,0.8210262828535669,0.5024388348880112,0.6835033417350773,0.5024388348880112,0.4948373556715695,0.6716259298618491,0.8996074841137395,0.3525414129973099,0.9742728754135598,0.24659312134977288,0.26793861468270425,0.05128205128205128,,,,,,,,,,,,,
9,0.41365066170692444,0.8232947434292867,0.5038964363487709,0.6911953784100751,0.5038964363487709,0.4991597404563827,0.6749342969776609,0.9012140529312753,0.3341525756979945,0.9779936558287073,0.2699309478970496,0.2729995721009842,0.06289308176100629,,,,,,,,,,,,,
10,0.4158084988594055,0.8226019131056678,0.5071412705878487,0.656355678400115,0.5071412705878487,0.5007394539553003,0.6746513535684988,0.8996153287850196,0.38761576421280336,0.9782468658639314,0.23840627041149576,0.2681610626816106,0.05847953216374269,0.415630578994751,0.8220665225140661,0.5069628381073533,0.6405051568544649,0.5069628381073533,0.5001660177678694,0.6774246665568912,0.899251808793968,0.38377598412769987,0.9799156955120258,0.2446877012234385,0.2706517227065172,0.045454545454545456
