round,class_name,available_clients,mean_cosine_similarity,minimum_cosine_similarity,maximum_cosine_similarity,best_aligned_client,worst_aligned_client,mean_absolute_difference,mean_top5_jaccard
10,BENIGN,5,0.9646415951010592,0.9097629834332123,0.9879014082964873,3,5,0.016127703831422594,0.8666666666666666
10,DDOS,5,0.7649742265187389,0.6869029472787975,0.9597513070188118,1,2,0.045919855414197144,0.4523809523809524
10,DOS,5,0.9267406187925232,0.8142228764835009,0.9799591602006112,5,4,0.02321632744336098,0.7999999999999999
10,MIRAI,5,0.9994020365275536,0.9990034595776554,0.9996673393544571,2,3,0.0021674528151563698,0.7333333333333333
10,RECON,5,0.9310594821920459,0.792992610943222,0.9938206395379807,2,4,0.021104383280140127,0.7523809523809524
10,SPOOFING,5,0.9706946759902173,0.9597929780655433,0.9908072880333809,3,4,0.015836224334253322,0.9333333333333332
10,WEB,5,0.9041346717423243,0.7745298383321926,0.9946163069561829,2,5,0.024040266944990264,0.7999999999999999
