round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1,personalized_loss,personalized_accuracy,personalized_balanced_accuracy,personalized_precision,personalized_recall,personalized_f1
1,1,306280,0.37616148591041565,0.9304688520308215,0.44889898101017944,0.38497464036208834,0.44889898101017944,0.35650086912355006,,,,,,
1,2,29801,0.8156912326812744,0.45414583403241504,0.38686707824470024,0.3907286596021596,0.38686707824470024,0.2141979818753073,,,,,,
1,3,176718,0.37454667687416077,0.9170316549530891,0.39192958167409675,0.3941760829127596,0.39192958167409675,0.317449340072982,,,,,,
1,4,103193,1.140018105506897,0.12640392274669793,0.38693024378750146,0.27392491712067235,0.38693024378750146,0.0792375283736387,,,,,,
1,5,28325,0.601052463054657,0.8463548102383054,0.3973716434403695,0.4432124497295926,0.3973716434403695,0.3899732437846961,,,,,,
2,1,306280,0.3543299436569214,0.9341974663706413,0.45357340715656796,0.386918822923533,0.45357340715656796,0.36365171181966616,,,,,,
2,2,29801,0.8019802570343018,0.45565585047481627,0.39013716246549685,0.3890839730630535,0.39013716246549685,0.21492664236422068,,,,,,
2,3,176718,0.36181047558784485,0.9204778234248916,0.39571696000512613,0.3982747880406269,0.39571696000512613,0.32057118975945287,,,,,,
2,4,103193,1.1124991178512573,0.12579341622009244,0.39265491889392473,0.275264758935241,0.39265491889392473,0.08062801888160126,,,,,,
2,5,28325,0.5546234250068665,0.848261253309797,0.4002059062098855,0.44891895939045706,0.4002059062098855,0.39229640320654524,,,,,,
3,1,306280,0.38342151045799255,0.9571111401332114,0.4650054325112179,0.4051037229482435,0.4650054325112179,0.39885960853739494,,,,,,
3,2,29801,0.7367380857467651,0.4827354786752122,0.4154490543582431,0.39728476166908516,0.4154490543582431,0.23923469509992729,,,,,,
3,3,176718,0.3861754536628723,0.9402098258241944,0.4213547461892736,0.4198133916402905,0.4213547461892736,0.3637365578275692,,,,,,
3,4,103193,0.9912287592887878,0.1588867461940248,0.41678730494738603,0.27915999359616706,0.41678730494738603,0.10090269416442385,,,,,,
3,5,28325,0.5765739679336548,0.8559576345984113,0.4216639099063006,0.4507725519889695,0.4216639099063006,0.4160915871023374,,,,,,
4,1,306280,0.3499482572078705,0.9549105393757347,0.4574502750991522,0.41085849739056624,0.4574502750991522,0.382605509233285,,,,,,
4,2,29801,0.7593335509300232,0.485789067480957,0.40060149985712645,0.3978289776502535,0.40060149985712645,0.23857068949247823,,,,,,
4,3,176718,0.35100945830345154,0.9417546599667267,0.4124069592886277,0.42540059820452736,0.4124069592886277,0.37021407650690474,,,,,,
4,4,103193,1.0482555627822876,0.16569922378455904,0.4082009132823211,0.2796245958748056,0.4082009132823211,0.10462770663623606,,,,,,
4,5,28325,0.5117567181587219,0.8701853486319506,0.4180145608168717,0.4736105280507062,0.4180145608168717,0.42067185650157213,,,,,,
5,1,306280,0.35506367683410645,0.9602096121196291,0.47643024145575336,0.41410404132441,0.47643024145575336,0.42219474411772556,,,,,,
5,2,29801,0.7228080630302429,0.49830542599241634,0.43338049822809266,0.3982045194678505,0.43338049822809266,0.24879213589404076,,,,,,
5,3,176718,0.3679956793785095,0.9420149616903768,0.43098468334320467,0.4322788769398408,0.43098468334320467,0.37520302571230957,,,,,,
5,4,103193,0.9570303559303284,0.18446018625294353,0.4163867328759047,0.2816856963885984,0.4163867328759047,0.11106829126588241,,,,,,
5,5,28325,0.5213719606399536,0.8520388349514563,0.4362119490453572,0.4570548037346149,0.4362119490453572,0.42586356485555826,,,,,,
