,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,6039,0,0,0,0,526,75,0
true_BRUTEFORCE,24,0,0,0,0,9,0,0
true_DDOS,10,0,15132,1099,62,7,0,0
true_DOS,7,0,1268,573,201,2,0,0
true_MIRAI,1,0,19,0,1984,0,6,0
true_RECON,508,0,0,0,0,338,2,0
true_SPOOFING,175,0,0,0,0,48,42,0
true_WEB,109,0,0,0,0,51,8,0
