round,client_id,num_test_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,306280,0.3117407560348511,0.9234262766096383,0.44630420179300706,0.38752565106529435,0.44630420179300706,0.34162318199192027
1,2,29801,1.130661964416504,0.447971544579041,0.372958319612371,0.2854044920620512,0.372958319612371,0.20201607184134157
1,3,176718,0.3353163003921509,0.9124537398567208,0.38471635106984836,0.29337138639845095,0.38471635106984836,0.3011541808387622
1,4,103193,1.7190231084823608,0.11705251325186786,0.37660953828127974,0.15326830433174338,0.37660953828127974,0.06088115440535381
1,5,28325,0.5190657377243042,0.8526390114739629,0.38576913117330225,0.44243396801139817,0.38576913117330225,0.37453169141618714
2,1,306280,0.27066126465797424,0.9315005876975316,0.45054440750219243,0.39054098331256737,0.45054440750219243,0.3489504552146401
2,2,29801,1.0850273370742798,0.45122646891043927,0.3748359391400264,0.2838464000692658,0.3748359391400264,0.20161324020911853
2,3,176718,0.30139487981796265,0.9204212360936633,0.3884632635126841,0.2976299498100381,0.3884632635126841,0.30742268997070943
2,4,103193,1.6459656953811646,0.1167521052784588,0.3800956585879692,0.15488647830169258,0.3800956585879692,0.06280045709812855
2,5,28325,0.49532487988471985,0.857793468667255,0.3892454165694876,0.5068174900669808,0.3892454165694876,0.3784828812229968
3,1,306280,0.2382771223783493,0.9598308737103304,0.4542185596411401,0.40749090502837276,0.4542185596411401,0.3728823294331245
3,2,29801,1.0011154413223267,0.4594141136203483,0.3812474953419286,0.3822081888104877,0.3812474953419286,0.20594641412538894
3,3,176718,0.2685154378414154,0.9445161217306669,0.3935661922721627,0.40594742021818697,0.3935661922721627,0.3363200489188659
3,4,103193,1.5164958238601685,0.1206089560338395,0.385149920341482,0.2742702653912126,0.385149920341482,0.06820324863999168
3,5,28325,0.4541114270687103,0.873927625772286,0.39533830945129794,0.49447706639124034,0.39533830945129794,0.38778433851190924
4,1,306280,0.22001929581165314,0.9667754995429019,0.4545397671076518,0.41482902959453305,0.4545397671076518,0.3812943799076183
4,2,29801,0.9943540692329407,0.45864232743867656,0.3830017649873284,0.39807967653114806,0.3830017649873284,0.20702108365751543
4,3,176718,0.24998213350772858,0.9509557600244457,0.39585781794026287,0.436498077423555,0.39585781794026287,0.3485625903637377
4,4,103193,1.5131977796554565,0.11560861686354694,0.3886454429703583,0.2788423764820128,0.3886454429703583,0.07290487847148701
4,5,28325,0.4194755554199219,0.8777052074139453,0.3988506418025215,0.5214044131256277,0.3988506418025215,0.3932216172017225
5,1,306280,0.21421773731708527,0.9676407209089721,0.45620371102613033,0.4177175394376805,0.45620371102613033,0.3864000180199882
5,2,29801,0.9678806066513062,0.4643468339988591,0.388748867266312,0.4025460037726674,0.388748867266312,0.21578343403655137
5,3,176718,0.2439434975385666,0.9518837922565896,0.4016182179152148,0.4541807180270543,0.4016182179152148,0.3608263192601183
5,4,103193,1.469916820526123,0.1248049770817788,0.39486866661723663,0.2813837992743634,0.39486866661723663,0.08437218353171355
5,5,28325,0.40583211183547974,0.8783406884377758,0.4053525263107304,0.521829156967283,0.4053525263107304,0.4038640141815668
6,1,306280,0.20403866469860077,0.9696095076400679,0.46142382876732807,0.42264260790075686,0.46142382876732807,0.39636242178391745
6,2,29801,0.968953549861908,0.4641454984732056,0.393205720680619,0.403511263879876,0.393205720680619,0.217237059830649
6,3,176718,0.2347196787595749,0.9527156260256454,0.40726301098830575,0.4572271583939426,0.40726301098830575,0.36499720357162063
