round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.3150630126025205,0.2028588202662252,0.16146404477460113,0.2028588202662252,0.1335577484141669,1.8096367120742798,0.30556550003693667,0.20151584406404519,0.16276429322593655,0.20151584406404519,0.1319839935924617
1,0.7723544708941789,0.39085902080506935,0.3943923989226649,0.39085902080506935,0.30932933503412774,0.587383508682251,0.7669496581939685,0.38873827145824363,0.37706990874265706,0.38873827145824363,0.3072287887413173
2,0.7785557111422284,0.39633226443174374,0.4140017132298983,0.39633226443174374,0.319054710309875,0.5444040894508362,0.7732544593895794,0.3921808259241584,0.4446810895549317,0.3921808259241584,0.3142009988613734
3,0.8005601120224045,0.40154712684569266,0.43141786088911216,0.40154712684569266,0.3389059362534761,0.4943179190158844,0.7947515868551004,0.39760776511788215,0.4772281167433409,0.39760776511788215,0.3342075976115998
4,0.8027605521104221,0.4026328951970723,0.5664745512700649,0.4026328951970723,0.34622002203361874,0.4784025251865387,0.7990845394568609,0.39967360234881055,0.5176707286234382,0.39967360234881055,0.34288335041888907
5,0.8055611122224445,0.41005261739394894,0.5637133418407232,0.41005261739394894,0.3625345953243231,0.4654535949230194,0.8016814697375225,0.40701944667960743,0.5296528468096214,0.40701944667960743,0.35782926390493763
6,0.8059611922384476,0.4163890357143798,0.5688893093260665,0.4163890357143798,0.37069732324218174,0.45960670709609985,0.8025764730618206,0.41144314329838627,0.5289357035596651,0.41144314329838627,0.36496610816486663
7,0.8059611922384476,0.41795584643726563,0.5686482530339005,0.41795584643726563,0.37280084388945267,0.4590315818786621,0.8030736971308751,0.41507226586840507,0.528891857962416,0.41507226586840507,0.37030693849519725
8,0.8075615123024605,0.4252837714550608,0.5675195810331346,0.4252837714550608,0.3848899214195144,0.4491555392742157,0.8052330702307688,0.430613965137963,0.5322795835709919,0.430613965137963,0.38983142297688794
9,0.8085617123424685,0.4267662447047891,0.56711306406322,0.4267662447047891,0.38733344677773984,0.44897904992103577,0.8057445007017963,0.43053482949719624,0.5316168932925673,0.43053482949719624,0.3901756632289841
10,0.8095619123824765,0.4292667053546073,0.5353579057699878,0.4292667053546073,0.3947307337978615,0.4474382698535919,0.8066082499417537,0.43484836751708356,0.5376877556843034,0.43484836751708356,0.40100803606854735
11,0.8109621924384877,0.4368542562873507,0.5440682374659159,0.4368542562873507,0.40542389674565593,0.4435528516769409,0.8071338868147542,0.43777276240430396,0.5345783297708219,0.43777276240430396,0.4049075045791879
12,0.8087617523504701,0.43438774444240386,0.542751887711876,0.43438774444240386,0.4014655711626034,0.4501684308052063,0.805914977525472,0.4350317202679407,0.5329448707779552,0.4350317202679407,0.40124885694635054
13,0.8099619923984797,0.43775052145485316,0.5475448218310781,0.43775052145485316,0.4051560860897519,0.44043442606925964,0.8064406143984725,0.4358114874601216,0.5328441554918719,0.4358114874601216,0.40207023265495556
14,0.8097619523904781,0.4377159337404093,0.5450858241095464,0.4377159337404093,0.4053908861563813,0.43606311082839966,0.8068355523733215,0.43593653907819896,0.5347215874969855,0.43593653907819896,0.4031469629950029
