round,source,client_id,class_id,class_name,available,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,client_1,1,0,BENIGN,1,0,Header_Length,0.00089389423834165,18
10,client_1,1,0,BENIGN,1,1,Protocol Type,0.00014573238048485142,21
10,client_1,1,0,BENIGN,1,2,Time_To_Live,0.0983088334886942,6
10,client_1,1,0,BENIGN,1,3,Rate,0.0008367019912643785,19
10,client_1,1,0,BENIGN,1,4,fin_flag_number,9.96745080120374e-05,25
10,client_1,1,0,BENIGN,1,5,syn_flag_number,0.011481925311694782,12
10,client_1,1,0,BENIGN,1,6,rst_flag_number,0.00013394493859324955,23
10,client_1,1,0,BENIGN,1,7,psh_flag_number,0.0001488987821673112,20
10,client_1,1,0,BENIGN,1,8,ack_flag_number,0.033128383349985684,9
10,client_1,1,0,BENIGN,1,9,ece_flag_number,0.0,33
10,client_1,1,0,BENIGN,1,10,cwr_flag_number,0.0,34
10,client_1,1,0,BENIGN,1,11,ack_count,0.0023904270076250127,17
10,client_1,1,0,BENIGN,1,12,syn_count,0.010614196044476516,13
10,client_1,1,0,BENIGN,1,13,fin_count,0.003670909152931822,16
10,client_1,1,0,BENIGN,1,14,rst_count,0.005062113986210912,15
10,client_1,1,0,BENIGN,1,15,HTTP,1.6948362535337455e-05,27
10,client_1,1,0,BENIGN,1,16,HTTPS,0.00010130990603537223,24
10,client_1,1,0,BENIGN,1,17,DNS,5.286431122629304e-06,31
10,client_1,1,0,BENIGN,1,18,Telnet,0.0,35
10,client_1,1,0,BENIGN,1,19,SMTP,0.0,36
10,client_1,1,0,BENIGN,1,20,SSH,0.0,37
10,client_1,1,0,BENIGN,1,21,IRC,0.0,38
10,client_1,1,0,BENIGN,1,22,TCP,0.0001450047938362932,22
10,client_1,1,0,BENIGN,1,23,UDP,0.011603117620545266,11
10,client_1,1,0,BENIGN,1,24,DHCP,1.343254125788058e-06,32
10,client_1,1,0,BENIGN,1,25,ARP,7.626047664984286e-06,28
10,client_1,1,0,BENIGN,1,26,ICMP,8.468207507924054e-05,26
10,client_1,1,0,BENIGN,1,27,IGMP,0.0,39
10,client_1,1,0,BENIGN,1,28,IPv,6.435098010384274e-06,29
10,client_1,1,0,BENIGN,1,29,LLC,5.360973062627063e-06,30
10,client_1,1,0,BENIGN,1,30,Tot sum,0.3025834594727485,3
10,client_1,1,0,BENIGN,1,31,Min,0.008665536321398574,14
10,client_1,1,0,BENIGN,1,32,Max,0.06859134099339122,7
10,client_1,1,0,BENIGN,1,33,AVG,0.15260798747376456,4
10,client_1,1,0,BENIGN,1,34,Std,0.41784826502796835,2
10,client_1,1,0,BENIGN,1,35,Tot size,0.14148721082161175,5
10,client_1,1,0,BENIGN,1,36,IAT,0.049715157743980595,8
10,client_1,1,0,BENIGN,1,37,Number,0.01578927193755285,10
10,client_1,1,0,BENIGN,1,38,Variance,0.8196644548537335,1
10,client_2,2,0,BENIGN,1,0,Header_Length,0.001094090608667445,16
10,client_2,2,0,BENIGN,1,1,Protocol Type,0.00017428778282182076,19
10,client_2,2,0,BENIGN,1,2,Time_To_Live,0.1285018743080242,5
10,client_2,2,0,BENIGN,1,3,Rate,0.00014505378469083284,20
10,client_2,2,0,BENIGN,1,4,fin_flag_number,1.907525758290357e-05,27
10,client_2,2,0,BENIGN,1,5,syn_flag_number,0.029461182763439616,10
10,client_2,2,0,BENIGN,1,6,rst_flag_number,3.0957218907134385e-05,25
