round,client_id,num_examples,fedavg_weight,final_weight,warmup,server_f1_source_round,client_score,raw_shap_weight,importance::BENIGN,previous_server_f1::BENIGN,similarity::BENIGN,client_validation_f1::BENIGN,gain::BENIGN,peer_count::BENIGN,comparable::BENIGN,importance::DDOS,previous_server_f1::DDOS,similarity::DDOS,client_validation_f1::DDOS,gain::DDOS,peer_count::DDOS,comparable::DDOS,importance::DOS,previous_server_f1::DOS,similarity::DOS,client_validation_f1::DOS,gain::DOS,peer_count::DOS,comparable::DOS,importance::MIRAI,previous_server_f1::MIRAI,similarity::MIRAI,client_validation_f1::MIRAI,gain::MIRAI,peer_count::MIRAI,comparable::MIRAI,importance::RECON,previous_server_f1::RECON,similarity::RECON,client_validation_f1::RECON,gain::RECON,peer_count::RECON,comparable::RECON,importance::SPOOFING,previous_server_f1::SPOOFING,similarity::SPOOFING,client_validation_f1::SPOOFING,gain::SPOOFING,peer_count::SPOOFING,comparable::SPOOFING,importance::WEB,previous_server_f1::WEB,similarity::WEB,client_validation_f1::WEB,gain::WEB,peer_count::WEB,comparable::WEB
1,1,515452,0.2,0.20293501400475566,0,0,0.5516511229933956,0.20451540616116254,0.14285714285714285,0.05,0.9038014753314747,0.3200522534291313,0.2700522534291313,4,1,0.14285714285714285,0.05,0.6684113067682369,0.7242018537590114,0.6742018537590113,4,1,0.14285714285714285,0.05,0.8553653730465669,0.46208615165539335,0.41208615165539336,4,1,0.14285714285714285,0.05,0.994657075424034,0.9376797698945349,0.8876797698945349,4,1,0.14285714285714285,0.05,0.9378306764848805,0.0,0.0,4,1,0.14285714285714285,0.05,0.963552866134439,0.4813050382560993,0.43130503825609934,4,1,0.14285714285714285,0.05,0.7348775835526148,0.08040201005025126,0.030402010050251255,4,1
1,2,515452,0.2,0.21084735383600384,0,0,0.5661052016771118,0.21668823667077514,0.14285714285714285,0.05,0.8789210898295133,0.35782279716866,0.30782279716866,4,1,0.14285714285714285,0.05,0.916322038203683,0.6032741205154998,0.5532741205154997,4,1,0.14285714285714285,0.05,0.805733824231026,0.7297464440321583,0.6797464440321582,4,1,0.14285714285714285,0.05,0.9950310881830926,0.9467253176930597,0.8967253176930596,4,1,0.14285714285714285,0.05,0.984537528812251,0.0206794682422452,0.0,4,1,0.14285714285714285,0.05,0.6901148684048182,0.5053981106612686,0.4553981106612686,4,1,0.14285714285714285,0.05,0.7154276225879519,0.012987012987012988,0.0,4,1
1,3,515452,0.2,0.22529194247265505,0,0,0.5905127362126366,0.23891068072716165,0.14285714285714285,0.05,0.9373060955352989,0.5241679210570329,0.4741679210570329,4,1,0.14285714285714285,0.05,0.681242945887663,0.718906972071529,0.6689069720715289,4,1,0.14285714285714285,0.05,0.7529668432494987,0.4208966283808818,0.37089662838088183,4,1,0.14285714285714285,0.05,0.9288912922632013,0.9366298607777245,0.8866298607777244,4,1,0.14285714285714285,0.05,0.9903698622197769,0.5365205843293492,0.48652058432934925,4,1,0.14285714285714285,0.05,0.8118146369606762,0.29581151832460734,0.24581151832460735,4,1,0.14285714285714285,0.05,0.8658607039827783,0.0,0.0,4,1
1,4,515452,0.2,0.20596721902665427,0,0,0.55728947994568,0.20918033696408347,0.14285714285714285,0.05,0.9011498917102382,0.5072490365204625,0.4572490365204625,4,1,0.14285714285714285,0.05,0.94519404347848,0.689833641404806,0.6398336414048059,4,1,0.14285714285714285,0.05,0.9361495400726507,0.2138200782268579,0.1638200782268579,4,1,0.14285714285714285,0.05,0.9744419513923654,0.9296251511487303,0.8796251511487303,4,1,0.14285714285714285,0.05,0.9371153759774983,0.5948696205215179,0.5448696205215179,4,1,0.14285714285714285,0.05,0.8992049421285112,0.0,0.0,4,1,0.14285714285714285,0.05,0.7275712223872475,0.0,0.0,4,1
1,5,515452,0.2,0.1549584706599313,0,0,0.43972666407349,0.13070533947681737,0.14285714285714285,0.05,0.8390972685234925,0.0,0.0,4,1,0.14285714285714285,0.05,0.8450897762220246,0.434318107489371,0.384318107489371,4,1,0.14285714285714285,0.05,0.8165776535124833,0.0,0.0,4,1,0.14285714285714285,0.05,0.9914892237536476,0.8850682995760716,0.8350682995760715,4,1,0.14285714285714285,0.05,0.9324183762100987,0.5194238323876037,0.4694238323876037,4,1,0.14285714285714285,0.05,0.835720550670582,0.0010712372790573112,0.0,4,1,0.14285714285714285,0.05,0.8075533586335651,0.0,0.0,4,1
2,1,515452,0.2,0.19648863080124973,0,1,0.39140566178558267,0.1714570307585681,0.0730071177052204,0.43828501775398804,0.9052280122751555,0.542513598625823,0.10422858087183501,4,1,0.03635219184816494,0.8802199881990136,0.8101352922676306,0.7209791547140945,0.0,4,1,0.12223349426542666,0.2617770691404551,0.888934901503895,0.32597350461661984,0.06419643547616471,4,1,0.03782724773230584,0.8458962202601018,0.9894261338492325,0.9417661097852028,0.095869889525101,4,1,0.2850448144021331,0.11225577264653641,0.8589091640456834,0.0,0.0,4,1,0.12555587525074885,0.25485008818342153,0.905605075032907,0.288496213487198,0.033646125303776475,4,1,0.3199792587960002,0.0,0.9526028717199657,0.11830985915492957,0.11830985915492957,4,1
2,2,515452,0.2,0.20457855054527307,0,1,0.40978976549487733,0.18454052748754038,0.0730071177052204,0.43828501775398804,0.9228377842844129,0.5300741554517989,0.09178913769781089,4,1,0.03635219184816494,0.8802199881990136,0.9212169811702152,0.6113566814008841,0.0,4,1,0.12223349426542666,0.2617770691404551,0.8104410315954602,0.7614399023794997,0.49966283323904453,4,1,0.03782724773230584,0.8458962202601018,0.980206103761325,0.9834834834834835,0.13758726322338166,4,1,0.2850448144021331,0.11225577264653641,0.842114404914335,0.005967180507210343,0.0,4,1,0.12555587525074885,0.25485008818342153,0.8382389496940372,0.2841369157158631,0.02928682753244155,4,1,0.3199792587960002,0.0,0.953024757879098,0.0625,0.0625,4,1
2,3,515452,0.2,0.22853276224250532,0,1,0.4911577087181924,0.25553026929049627,0.0730071177052204,0.43828501775398804,0.8440478918795941,0.5396432986049797,0.10135828085099169,4,1,0.03635219184816494,0.8802199881990136,0.6978674378629222,0.7340578224318228,0.0,4,1,0.12223349426542666,0.2617770691404551,0.8479874967488601,0.4656084656084656,0.20383139646801046,4,1,0.03782724773230584,0.8458962202601018,0.9847117828966768,0.9417661097852028,0.095869889525101,4,1,0.2850448144021331,0.11225577264653641,0.9937313439741082,0.5890274314214464,0.47677165877491,4,1,0.12555587525074885,0.25485008818342153,0.7957770242372437,0.29700390794615716,0.042153819762735634,4,1,0.3199792587960002,0.0,0.9428375362244047,0.0,0.0,4,1
2,4,515452,0.2,0.20521999587724332,0,1,0.43649953102027705,0.20534842337736073,0.0730071177052204,0.43828501775398804,0.977861226772458,0.519514472455649,0.08122945470166093,4,1,0.03635219184816494,0.8802199881990136,0.8805540745671265,0.6963838166845686,0.0,4,1,0.12223349426542666,0.2617770691404551,0.9193009306680897,0.13887619917770672,0.0,4,1,0.03782724773230584,0.8458962202601018,0.983078283966734,0.9381591562799616,0.0922629360198598,4,1,0.2850448144021331,0.11225577264653641,0.9581284338969903,0.5966029723991507,0.4843471997526143,4,1,0.12555587525074885,0.25485008818342153,0.9837616559922444,0.0,0.0,4,1,0.3199792587960002,0.0,0.721354169774428,0.0,0.0,4,1
2,5,515452,0.2,0.16518006053372863,0,1,0.4078630275650821,0.1831237490860346,0.0730071177052204,0.43828501775398804,0.8790898224481141,0.1673577082548059,0.0,4,1,0.03635219184816494,0.8802199881990136,0.779724573139577,0.4547426092911768,0.0,4,1,0.12223349426542666,0.2617770691404551,0.8928195371795152,0.0,0.0,4,1,0.03782724773230584,0.8458962202601018,0.997960383357297,0.9319875030040855,0.0860912827439837,4,1,0.2850448144021331,0.11225577264653641,0.9596934394486069,0.5363984674329502,0.42414269478641375,4,1,0.12555587525074885,0.25485008818342153,0.8283498061427433,0.0,0.0,4,1,0.3199792587960002,0.0,0.932258860126676,0.0,0.0,4,1
3,1,515452,0.2,0.20014955739077955,0,2,0.43908130200807816,0.21337187605079364,0.06650185314092402,0.5603155174758602,0.9136443252723062,0.5441550190597204,0.0,4,1,0.04155040435463702,0.8967907974547078,0.8519528222378596,0.734906037584966,0.0,4,1,0.15810470969788434,0.23567938189167753,0.9620864717403783,0.44169996367598985,0.20602058178431232,4,1,0.043890506161713014,0.848976772299456,0.996851655331842,0.9422985216976634,0.09332174939820737,4,1,0.17593406179219842,0.21179537308569565,0.8613039500414601,0.0,0.0,4,1,0.14139826229503819,0.26352530541012215,0.9949564297231326,0.39791218913110227,0.13438688372098012,4,1,0.372620202557605,0.0,0.9268237237252526,0.12260536398467432,0.12260536398467432,4,1
3,2,515452,0.2,0.20623146843434012,0,2,0.44158608913480657,0.21552042591102039,0.06650185314092402,0.5603155174758602,0.9194221335148421,0.5317352220103514,0.0,4,1,0.04155040435463702,0.8967907974547078,0.8765796695361225,0.6049425687434737,0.0,4,1,0.15810470969788434,0.23567938189167753,0.896360413815639,0.7245313773431132,0.4888519954514357,4,1,0.043890506161713014,0.848976772299456,0.9757042483384851,0.9469387755102041,0.0979620032107481,4,1,0.17593406179219842,0.21179537308569565,0.9442577455965351,0.18721872187218722,0.0,4,1,0.14139826229503819,0.26352530541012215,0.8776815705116942,0.2939189189189189,0.03039361350879677,4,1,0.372620202557605,0.0,0.9585552738440308,0.0,0.0,4,1
3,3,515452,0.2,0.22784832847987574,0,2,0.46888432427500815,0.24038664056472828,0.06650185314092402,0.5603155174758602,0.9070478501729562,0.5304964539007092,0.0,4,1,0.04155040435463702,0.8967907974547078,0.7342315397693405,0.7400122925629994,0.0,4,1,0.15810470969788434,0.23567938189167753,0.8973152440879457,0.483983286908078,0.24830390501640048,4,1,0.043890506161713014,0.848976772299456,0.9973767266371387,0.9425232530407822,0.09354648074132621,4,1,0.17593406179219842,0.21179537308569565,0.9592718993661712,0.6120033812341504,0.4002080081484548,4,1,0.14139826229503819,0.26352530541012215,0.9719496482904669,0.25518763796909494,0.0,4,1,0.372620202557605,0.0,0.9615904242929385,0.0,0.0,4,1
3,4,515452,0.2,0.19741493289194195,0,2,0.3793203028301698,0.16800479886088018,0.06650185314092402,0.5603155174758602,0.9688983780389294,0.5210368144252442,0.0,4,1,0.04155040435463702,0.8967907974547078,0.8930308775314757,0.693215859030837,0.0,4,1,0.15810470969788434,0.23567938189167753,0.8068447650212451,0.06711409395973154,0.0,4,1,0.043890506161713014,0.848976772299456,0.9824534156469634,0.9420186113099499,0.0930418390104939,4,1,0.17593406179219842,0.21179537308569565,0.9569628188017504,0.6030405405405406,0.39124516745484494,4,1,0.14139826229503819,0.26352530541012215,0.9565842248202168,0.0,0.0,4,1,0.372620202557605,0.0,0.7266557572680611,0.0,0.0,4,1
3,5,515452,0.2,0.16835571280306266,0,2,0.3713241517298257,0.1627162586125775,0.06650185314092402,0.5603155174758602,0.8348977586662492,0.12478485370051635,0.0,4,1,0.04155040435463702,0.8967907974547078,0.8561685505702389,0.6821917808219178,0.0,4,1,0.15810470969788434,0.23567938189167753,0.9560849501453431,0.0,0.0,4,1,0.043890506161713014,0.848976772299456,0.9947558485087802,0.9342643871899832,0.08528761489052716,4,1,0.17593406179219842,0.21179537308569565,0.9210807808432733,0.5142485361093039,0.30245316302360825,4,1,0.14139826229503819,0.26352530541012215,0.9342506726256896,0.0010712372790573112,0.0,4,1,0.372620202557605,0.0,0.910445971278005,0.0,0.0,4,1
4,1,515452,0.2,0.20112426563941088,0,3,0.450688569971202,0.20522859213264205,0.05102019630558076,0.6101245302483236,0.9327095703535373,0.3312602291325696,0.0,4,1,0.034582833759469814,0.9001192187032895,0.6638235880702819,0.7291504286827748,0.0,4,1,0.13841464592128758,0.22489436068652513,0.9304157733663884,0.3971201212580523,0.17222576057152716,4,1,0.036610452250757146,0.8502673796791443,0.9957110708057385,0.9422709923664122,0.09200361268726787,4,1,0.17287942822047223,0.1800600200066689,0.9458650659066294,0.0,0.0,4,1,0.2552057105012354,0.12197483059051308,0.8942713928093555,0.4953201604516417,0.3733453298611286,4,1,0.31128673304119714,0.0,0.9459394026708173,0.09454545454545454,0.09454545454545454,4,1
4,2,515452,0.2,0.21462149876586287,0,3,0.5026218024320639,0.25261267108628094,0.05102019630558076,0.6101245302483236,0.8307635097209249,0.36167922497308935,0.0,4,1,0.034582833759469814,0.9001192187032895,0.9469547990474949,0.6353257219610476,0.0,4,1,0.13841464592128758,0.22489436068652513,0.7947215263530472,0.7745176848874598,0.5496233242009346,4,1,0.036610452250757146,0.8502673796791443,0.9878955761321115,0.9857677902621723,0.13550041058302797,4,1,0.17287942822047223,0.1800600200066689,0.9684672092354807,0.17545454545454545,0.0,4,1,0.2552057105012354,0.12197483059051308,0.8926607449578878,0.5240087000167308,0.40203386942621777,4,1,0.31128673304119714,0.0,0.9562983596572212,0.08139534883720931,0.08139534883720931,4,1
4,3,515452,0.2,0.2248206267064084,0,3,0.4762437365627306,0.227316906515361,0.05102019630558076,0.6101245302483236,0.9023432327977599,0.5331429736895779,0.0,4,1,0.034582833759469814,0.9001192187032895,0.783485554558246,0.7379394930498774,0.0,4,1,0.13841464592128758,0.22489436068652513,0.8929970845302728,0.48717948717948717,0.26228512649296204,4,1,0.036610452250757146,0.8502673796791443,0.9959495255670909,0.9424958243855882,0.09222844470644387,4,1,0.17287942822047223,0.1800600200066689,0.9885676605804689,0.6138740661686233,0.4338140461619544,4,1,0.2552057105012354,0.12197483059051308,0.8775995287405022,0.2921154674709177,0.17014063688040465,4,1,0.31128673304119714,0.0,0.9480587011153618,0.0,0.0,4,1
4,4,515452,0.2,0.18959362342338187,0,3,0.38198311281269287,0.15591369435396152,0.05102019630558076,0.6101245302483236,0.9379763456122806,0.5009896635144051,0.0,4,1,0.034582833759469814,0.9001192187032895,0.8413639739936396,0.6930797675647121,0.0,4,1,0.13841464592128758,0.22489436068652513,0.8942574486408138,0.07269249163079866,0.0,4,1,0.036610452250757146,0.8502673796791443,0.9704579313493453,0.9416826003824091,0.0914152207032648,4,1,0.17287942822047223,0.1800600200066689,0.9610685063104748,0.5940845581564145,0.4140245381497456,4,1,0.2552057105012354,0.12197483059051308,0.9724378093238556,0.0,0.0,4,1,0.31128673304119714,0.0,0.786399215891134,0.0,0.0,4,1
4,5,515452,0.2,0.169839985464936,0,3,0.3867704907668089,0.15892813591175456,0.05102019630558076,0.6101245302483236,0.8982164118046683,0.0,0.0,4,1,0.034582833759469814,0.9001192187032895,0.7158459548233242,0.6832362015769626,0.0,4,1,0.13841464592128758,0.22489436068652513,0.8557300002012301,0.0,0.0,4,1,0.036610452250757146,0.8502673796791443,0.9951673174320896,0.9255218216318786,0.07525444195273423,4,1,0.17287942822047223,0.1800600200066689,0.9772518575006357,0.5054746876207652,0.3254146676140963,4,1,0.2552057105012354,0.12197483059051308,0.9771556986617174,0.0926208651399491,0.0,4,1,0.31128673304119714,0.0,0.8929856102331843,0.06504065040650407,0.06504065040650407,4,1
5,1,515452,0.2,0.20406635015393101,0,4,0.45958545894744435,0.2168172523402224,0.05928005785133096,0.6524720893141945,0.9383730956177199,0.37634691195795006,0.0,4,1,0.04295736740077329,0.9003946363861199,0.8637172438291769,0.7375713121434393,0.0,4,1,0.1887428393915649,0.20492742042881876,0.9340266779921269,0.4835012156998958,0.27857379527107706,4,1,0.04540478175999796,0.8518614494255852,0.9990657881866509,0.9433691756272401,0.09150772620165493,4,1,0.13975456687957266,0.2767607818802358,0.9118556255856697,0.0,0.0,4,1,0.13707455470751784,0.2821718683197948,0.9309374848266186,0.5244816170064471,0.24230974868665234,4,1,0.3867858320092423,0.0625,0.9517534141449616,0.12992125984251968,0.06742125984251968,4,1
5,2,515452,0.2,0.21531588734457854,0,4,0.4700169732190855,0.22605558055627958,0.05928005785133096,0.6524720893141945,0.8971252520400093,0.5390051267839823,0.0,4,1,0.04295736740077329,0.9003946363861199,0.8941017644132079,0.6258503401360545,0.0,4,1,0.1887428393915649,0.20492742042881876,0.8713382629783463,0.7460446247464503,0.5411172043176316,4,1,0.04540478175999796,0.8518614494255852,0.9965164250257861,0.9555285540704739,0.10366710464488871,4,1,0.13975456687957266,0.2767607818802358,0.9318172509183053,0.18983355825461087,0.0,4,1,0.13707455470751784,0.2821718683197948,0.8632485573339203,0.3200656544932294,0.037893786173434585,4,1,0.3867858320092423,0.0625,0.9824490906674161,0.06172839506172839,0.0,4,1
5,3,515452,0.2,0.225550909025682,0,4,0.48698449273889105,0.24193061708305702,0.05928005785133096,0.6524720893141945,0.9565960227426713,0.5228299046663322,0.0,4,1,0.04295736740077329,0.9003946363861199,0.6608853304717814,0.7382741116751269,0.0,4,1,0.1887428393915649,0.20492742042881876,0.9251388887162941,0.47829131652661067,0.2733638960977919,4,1,0.04540478175999796,0.8518614494255852,0.9982317811600849,0.9435946462715105,0.09173319684592529,4,1,0.13975456687957266,0.2767607818802358,0.9327180869450187,0.624871107444834,0.3481103255645982,4,1,0.13707455470751784,0.2821718683197948,0.9145807873272982,0.5094217024041585,0.22724983408436372,4,1,0.3867858320092423,0.0625,0.9924120863313224,0.0,0.0,4,1
5,4,515452,0.2,0.18533296099154492,0,4,0.38693777311376915,0.1621406389496287,0.05928005785133096,0.6524720893141945,0.795239895845049,0.5341107871720117,0.0,4,1,0.04295736740077329,0.9003946363861199,0.9047909572449933,0.6953748006379585,0.0,4,1,0.1887428393915649,0.20492742042881876,0.8864236287155145,0.11105926271581895,0.0,4,1,0.04540478175999796,0.8518614494255852,0.9911703042170102,0.9423858474778867,0.0905243980523015,4,1,0.13975456687957266,0.2767607818802358,0.8992926150564813,0.6071866067782768,0.33042582489804107,4,1,0.13707455470751784,0.2821718683197948,0.9567242857213247,0.0,0.0,4,1,0.3867858320092423,0.0625,0.9071929661850783,0.0,0.0,4,1
