,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,6806,0,0,0,33,122,1
true_DDOS,144,82542,2732,306,37,9,0
true_DOS,103,10311,2327,1243,6,2,0
true_MIRAI,22,220,4,17443,0,24,0
true_RECON,3,0,0,0,1,0,0
true_SPOOFING,3292,0,0,0,52,707,3
true_WEB,347,0,0,0,4,16,1
