round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,BENIGN,1,Variance,0.6975711734524678
10,server,,BENIGN,2,Std,0.49494520870528436
10,server,,BENIGN,3,Tot sum,0.3934440417390601
10,server,,BENIGN,4,AVG,0.25200271694952114
10,server,,BENIGN,5,Time_To_Live,0.1390889735030692
10,server,,BENIGN,6,Tot size,0.10371016046720058
10,server,,BENIGN,7,IAT,0.08643754699386622
10,server,,BENIGN,8,Max,0.0852028727154772
10,server,,BENIGN,9,ack_flag_number,0.049058857761195625
10,server,,BENIGN,10,UDP,0.029590509490379172
10,client_1,1,BENIGN,1,Variance,0.8196644548537335
10,client_1,1,BENIGN,2,Std,0.41784826502796835
10,client_1,1,BENIGN,3,Tot sum,0.3025834594727485
10,client_1,1,BENIGN,4,AVG,0.15260798747376456
10,client_1,1,BENIGN,5,Tot size,0.14148721082161175
10,client_1,1,BENIGN,6,Time_To_Live,0.0983088334886942
10,client_1,1,BENIGN,7,Max,0.06859134099339122
10,client_1,1,BENIGN,8,IAT,0.049715157743980595
10,client_1,1,BENIGN,9,ack_flag_number,0.033128383349985684
10,client_1,1,BENIGN,10,Number,0.01578927193755285
10,client_2,2,BENIGN,1,Variance,0.8266262385353024
10,client_2,2,BENIGN,2,Std,0.40408979436337017
10,client_2,2,BENIGN,3,Tot sum,0.30955694761192387
10,client_2,2,BENIGN,4,Tot size,0.13715246051080923
10,client_2,2,BENIGN,5,Time_To_Live,0.1285018743080242
10,client_2,2,BENIGN,6,AVG,0.10131283627117256
10,client_2,2,BENIGN,7,IAT,0.06345781044136899
10,client_2,2,BENIGN,8,Max,0.05774261464889186
10,client_2,2,BENIGN,9,ack_flag_number,0.05265842406244377
10,client_2,2,BENIGN,10,syn_flag_number,0.029461182763439616
10,client_3,3,BENIGN,1,Variance,0.7317361957937326
10,client_3,3,BENIGN,2,Std,0.43738898615417604
10,client_3,3,BENIGN,3,Tot sum,0.3526882721062163
10,client_3,3,BENIGN,4,Time_To_Live,0.25038125040879566
10,client_3,3,BENIGN,5,AVG,0.2362131633532574
10,client_3,3,BENIGN,6,Tot size,0.09883642344271035
10,client_3,3,BENIGN,7,Max,0.07710003684173489
10,client_3,3,BENIGN,8,IAT,0.0720326257774411
10,client_3,3,BENIGN,9,ack_flag_number,0.05684503570871665
10,client_3,3,BENIGN,10,syn_flag_number,0.05006582400803447
10,client_4,4,BENIGN,1,Variance,0.5731823684144425
10,client_4,4,BENIGN,2,Std,0.5591573746485948
10,client_4,4,BENIGN,3,Tot sum,0.3815495115934907
10,client_4,4,BENIGN,4,AVG,0.3592590996792412
10,client_4,4,BENIGN,5,Time_To_Live,0.18097635160505077
10,client_4,4,BENIGN,6,Tot size,0.14205256754520168
10,client_4,4,BENIGN,7,Max,0.10028552322067409
10,client_4,4,BENIGN,8,IAT,0.09268783081374202
10,client_4,4,BENIGN,9,syn_flag_number,0.07143550184728352
10,client_4,4,BENIGN,10,ack_flag_number,0.06146641679635666
10,client_5,5,BENIGN,1,Std,0.6007277596853797
10,client_5,5,BENIGN,2,Tot sum,0.46646562285710247
10,client_5,5,BENIGN,3,AVG,0.39164211318311604
10,client_5,5,BENIGN,4,Time_To_Live,0.33226725150956865
10,client_5,5,BENIGN,5,Variance,0.30541649541295407
10,client_5,5,BENIGN,6,Tot size,0.1529135212746729
10,client_5,5,BENIGN,7,IAT,0.13734573067436565
10,client_5,5,BENIGN,8,Max,0.10987384149995436
10,client_5,5,BENIGN,9,ack_flag_number,0.08256653702873215
10,client_5,5,BENIGN,10,Number,0.04156049990774252
10,server,,DDOS,1,Tot sum,0.6850995946522994
10,server,,DDOS,2,AVG,0.37433115617476115
10,server,,DDOS,3,Tot size,0.36075937370430955
10,server,,DDOS,4,UDP,0.32699173615942045
10,server,,DDOS,5,fin_count,0.202794688442861
10,server,,DDOS,6,Variance,0.1776809501663089
10,server,,DDOS,7,syn_flag_number,0.17433438221924266
10,server,,DDOS,8,rst_count,0.13706484284844328
10,server,,DDOS,9,ack_flag_number,0.12128990896685611
10,server,,DDOS,10,ack_count,0.06318280503171085
10,client_1,1,DDOS,1,Tot sum,0.6611106712560967
