round,feature_name,server_mean_across_classes,client_1_mean_available_classes,client_2_mean_available_classes,client_3_mean_available_classes,client_4_mean_available_classes,client_5_mean_available_classes,mean_across_clients,client_mean_minus_server,absolute_client_server_difference
10,Tot sum,0.5765105483892243,0.6065609077754671,0.5352759717678875,0.5198578358966836,0.41699854548997484,0.46975341718147806,0.5096893356222982,-0.0668212127669261,0.0668212127669261
10,Variance,0.35809077721176197,0.340251005331021,0.4682089860943316,0.47595842794723786,0.48288003283349473,0.3769581199121073,0.42885131442363855,0.07076053721187658,0.07076053721187658
10,AVG,0.33439391036128935,0.31101407735734476,0.2698292186892104,0.34021531832193774,0.3699442410920068,0.3595736379482077,0.3301152986817415,-0.00427861167954785,0.00427861167954785
10,Tot size,0.30124644276802537,0.31378174477757387,0.2578011238047242,0.3276567125609818,0.29372424061170016,0.3050700683710434,0.2996067780252047,-0.001639664742820679,0.001639664742820679
10,Std,0.18490245930520383,0.19167554668771017,0.19246138010025196,0.16197974747840946,0.15771785074081374,0.18293882604265374,0.1773546702099678,-0.007547789095236013,0.007547789095236013
10,IAT,0.1614804996363858,0.13346743426076463,0.1517675932900924,0.13020787031871497,0.08897391289337757,0.09743013974347699,0.1203693901012853,-0.0411111095351005,0.0411111095351005
10,UDP,0.1211571466160734,0.04309509344551394,0.09415059698900707,0.0828774985487049,0.12487547551213814,0.11597372803055658,0.09219447850518411,-0.02896266811088928,0.02896266811088928
10,syn_flag_number,0.07242431562172198,0.11338587212355514,0.0909736400324687,0.06826622929817645,0.11963968656833919,0.08715875330418825,0.09588483626534554,0.023460520643623556,0.023460520643623556
10,ack_flag_number,0.046228786147929184,0.038452791674088035,0.08238713406260521,0.03083681663457178,0.04946151008597971,0.0502620174528869,0.050280053982026326,0.004051267834097143,0.004051267834097143
10,Max,0.04592532383075619,0.048080589584773806,0.04781968421570513,0.04509348699896961,0.05483600832710545,0.05538805043939066,0.05024356391318894,0.004318240082432749,0.004318240082432749
10,fin_count,0.04575521996524706,0.053757506219365724,0.02533924496621798,0.03696146406498573,0.09192128560872292,0.1222212300649272,0.06604014618484391,0.02028492621959685,0.02028492621959685
10,Time_To_Live,0.04553452439005814,0.0416995063827986,0.04884265251424885,0.06213579781510422,0.041030722892218784,0.06847050972948832,0.05243583786677175,0.006901313476713612,0.006901313476713612
10,Min,0.03766180432985786,0.018291515816217508,0.017742665579632676,0.04673604172215022,0.04494716923443357,0.02355121610556695,0.030253721691600188,-0.007408082638257676,0.007408082638257676
10,rst_count,0.03545631016027861,0.02716452147527536,0.028531541474891252,0.03007200796024941,0.049171726153604725,0.06285351265172526,0.039558661943149206,0.004102351782870599,0.004102351782870599
10,syn_count,0.027217253524616493,0.03454146210208754,0.04263326137884854,0.03021169250710912,0.048259151055007186,0.024329222838771588,0.035994957976364796,0.008777704451748303,0.008777704451748303
10,Number,0.01801013357186243,0.031778392552795624,0.018744465277523298,0.025451121943705645,0.018588730166314394,0.026473582874489154,0.02420725856296562,0.006197124991103191,0.006197124991103191
10,ack_count,0.01676866797232995,0.011263605716651377,0.03364631196964706,0.014135774120572124,0.024365427246778926,0.019634689613090235,0.020609161733347946,0.0038404937610179955,0.0038404937610179955
