round,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f1::BENIGN,val_f1::DDOS,val_f1::DOS,val_f1::MIRAI,val_f1::RECON,val_f1::SPOOFING,val_f1::WEB,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_f1::BENIGN,test_f1::DDOS,test_f1::DOS,test_f1::MIRAI,test_f1::RECON,test_f1::SPOOFING,test_f1::WEB
1,0.5172494053840637,0.7728410513141427,0.4663738596646125,0.562506254396063,0.4663738596646125,0.3990405937405024,0.43828501775398804,0.8802199881990136,0.2617770691404551,0.8458962202601018,0.11225577264653641,0.25485008818342153,0.0,,,,,,,,,,,,,
2,0.49181726574897766,0.7973862417307348,0.4791647407102945,0.5684716607801522,0.4791647407102945,0.4310118782310742,0.5603155174758602,0.8967907974547078,0.23567938189167753,0.848976772299456,0.21179537308569565,0.26352530541012215,0.0,,,,,,,,,,,,,
3,0.47232240438461304,0.8026774539603075,0.46395511437751724,0.5647977832526568,0.46395511437751724,0.4124914771306378,0.6101245302483236,0.9001192187032895,0.22489436068652513,0.8502673796791443,0.1800600200066689,0.12197483059051308,0.0,,,,,,,,,,,,,
4,0.45273128151893616,0.8055940461290899,0.4909920246472588,0.6354453435505977,0.4909920246472588,0.46158403510782126,0.6524720893141945,0.9003946363861199,0.20492742042881876,0.8518614494255852,0.2767607818802358,0.2821718683197948,0.0625,,,,,,,,,,,,,
5,0.4526391327381134,0.8059572233148579,0.4881596894613169,0.6319913649697829,0.4881596894613169,0.45705964419501244,0.6521980198019802,0.9001812653913094,0.25074807010485556,0.8550479413423576,0.2076215505913272,0.2707275803722504,0.06289308176100629,,,,,,,,,,,,,
6,0.4490078389644623,0.8042474968710889,0.5022968900709953,0.6296745045194513,0.5022968900709953,0.4792654672072607,0.6641344755131727,0.893864271368329,0.36309823677581865,0.8798644853563946,0.242152466367713,0.27303465765004226,0.03870967741935484,,,,,,,,,,,,,
7,0.43636608123779297,0.817629179331307,0.5085954539384416,0.6769349210138914,0.5085954539384416,0.4978422536779344,0.6615186615186616,0.8959919906066306,0.41640207219251335,0.9695181907571289,0.23436988543371523,0.26787928896238117,0.0392156862745098,,,,,,,,,,,,,
8,0.4236469864845276,0.8204228499910603,0.5073204233845053,0.6803403512544005,0.5073204233845053,0.500328854766034,0.6726112565445026,0.8978983574541267,0.3936172554198305,0.9774190353570368,0.24094025465230168,0.2685337726523888,0.05128205128205128,,,,,,,,,,,,,
9,0.41495779156684875,0.8229092168782407,0.5063288768352063,0.6806768521840194,0.5063288768352063,0.5012012074010982,0.6744338693797177,0.9002412353561472,0.36908194586550086,0.9782468658639314,0.25047679593134137,0.27303465765004226,0.06289308176100629,,,,,,,,,,,,,
10,0.4172297716140747,0.8215514929376005,0.5100136065341527,0.6550917721344457,0.5100136065341527,0.5032839546616794,0.6744281380667377,0.8981887463111202,0.41135087455089175,0.97829749281538,0.2325886990801577,0.26931020239570425,0.058823529411764705,0.4170415699481964,0.8208037904311727,0.5102812715500148,0.641986196448784,0.5102812715500148,0.503364186904869,0.6774724370577587,0.8976391773688676,0.4069612356408381,0.9801685671789787,0.24114397140071497,0.2741869081926719,0.04597701149425287
