client_id,available_classes,mean_cosine_similarity,minimum_cosine_similarity,mean_pearson_correlation,mean_spearman_rank_correlation,mean_absolute_difference,mean_top5_jaccard,top1_match_rate
1,7,0.9593691492966218,0.8875846974872308,0.9517234087524358,0.9855986119144013,0.01694879297662211,0.727891156462585,0.8571428571428571
2,7,0.9314804075598785,0.700462614459141,0.9143871985179225,0.966685945633314,0.01885351694412232,0.7023809523809523,0.7142857142857143
3,7,0.9382098472652919,0.7108529833984405,0.924564944084526,0.9842105263157895,0.016996916192706435,0.8095238095238094,0.7142857142857143
4,7,0.8821447160604617,0.7830501910040174,0.8567390890886086,0.9736552920763447,0.027922440578545565,0.7755102040816327,0.2857142857142857
5,7,0.9009698174575475,0.7206670747821196,0.8782139067531289,0.967322151532678,0.02567542319694189,0.75,0.5714285714285714
