round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,128863,0.5044281482696533,0.8213839503969331,0.45886870255965817,0.5000434855754212,0.45886870255965817,0.4285945435878172
1,2,128863,0.7197800278663635,0.48826272863428605,0.4639389668259125,0.40203306445403875,0.4639389668259125,0.27973860671802625
1,3,128863,0.5531985759735107,0.7550964978310298,0.46812270493194724,0.5584298353060095,0.46812270493194724,0.39773258543615725
1,4,128863,0.4266708791255951,0.8855295934442005,0.470490539141304,0.39029358475814924,0.470490539141304,0.323036587272156
1,5,128863,0.3826988935470581,0.9154528452697827,0.45228980535427904,0.2305496149854174,0.45228980535427904,0.22079624665012285
2,1,128863,0.48164254426956177,0.8449438551019299,0.49808077534920453,0.5219109344538567,0.49808077534920453,0.4438658626074564
2,2,128863,0.6978936791419983,0.4869667786719229,0.47987744303655405,0.4175459664653004,0.47987744303655405,0.3029362292248452
2,3,128863,0.5300092697143555,0.7789590495332253,0.4816625803448643,0.568502690951309,0.4816625803448643,0.42454384673779616
2,4,128863,0.3962154984474182,0.9228560564320247,0.48348929094455545,0.39639500266419414,0.48348929094455545,0.3608359178059154
2,5,128863,0.3536017835140228,0.953384602252004,0.46043690034921386,0.20951652572235474,0.46043690034921386,0.22791870899928116
3,1,128863,0.46227940917015076,0.8493283564716017,0.4875179233033587,0.5194984368467402,0.4875179233033587,0.42867864900853814
3,2,128863,0.6836702227592468,0.4850344939975012,0.4656540548581515,0.4212288765200968,0.4656540548581515,0.29122284212332467
3,3,128863,0.5014868974685669,0.7831961074940053,0.4674165448023601,0.5694224858539568,0.4674165448023601,0.4059402574535886
3,4,128863,0.3755456209182739,0.9331227737985303,0.4526507259391272,0.39556773383995697,0.4526507259391272,0.3526977975429347
3,5,128863,0.3391837179660797,0.9643186950482295,0.4630703856574606,0.21784927146066813,0.4630703856574606,0.23879337864187583
4,1,128863,0.43578416109085083,0.8537982198148422,0.4989957694609476,0.5600101680660019,0.4989957694609476,0.45179921940476714
4,2,128863,0.6705415844917297,0.47998261719810964,0.4931862149320808,0.49914365765084556,0.4931862149320808,0.33295208178675256
4,3,128863,0.48805850744247437,0.7886592738024103,0.48899134616089934,0.5768424744817855,0.48899134616089934,0.4417312619795128
4,4,128863,0.35526108741760254,0.9394317996632082,0.4889435018587514,0.4182298471812675,0.4889435018587514,0.38636063444101404
4,5,128863,0.3152235150337219,0.9693938523858672,0.460101172005757,0.22633192295345098,0.460101172005757,0.2526029108286949
5,1,128863,0.4365948438644409,0.8522772246494339,0.5025909195115827,0.55869917105532,0.5025909195115827,0.4563208703484493
5,2,128863,0.643273651599884,0.4973731792679047,0.48900673819995905,0.49213037431976486,0.48900673819995905,0.33683788699906386
5,3,128863,0.4875684380531311,0.7868821927162956,0.4857387577378834,0.5600854778132469,0.4857387577378834,0.4334848916235562
5,4,128863,0.36757010221481323,0.9314388148653997,0.48586464042054395,0.4151408272104396,0.48586464042054395,0.37405644636909485
