,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,759,346,0,0,495,0,0
true_DDOS,0,18993,0,0,2,0,0
true_DOS,7,108254,3,3,0,1,0
true_MIRAI,0,0,0,0,0,0,0
true_RECON,0,0,0,0,0,0,0
true_SPOOFING,0,0,0,0,0,0,0
true_WEB,0,0,0,0,0,0,0
