round,feature_name,server_mean_across_classes,client_1_mean_available_classes,client_2_mean_available_classes,client_3_mean_available_classes,client_4_mean_available_classes,client_5_mean_available_classes,mean_across_clients,client_mean_minus_server,absolute_client_server_difference
10,Tot sum,0.5679598888241896,0.5248722425459726,0.45478467336463774,0.7103921282757114,0.6138546789897837,0.4931150288144355,0.5594037503981083,-0.008556138426081272,0.008556138426081272
10,Tot size,0.42738395724931094,0.27624923871652723,0.12939002085919696,0.24157543665306935,0.09194382736868649,0.29125174988320396,0.20608205469613677,-0.22130190255317417,0.22130190255317417
10,AVG,0.39986524225230696,0.264168324048416,0.1399418490874154,0.30533513682119023,0.11049334076250449,0.2462273408994953,0.21323319832380433,-0.18663204392850263,0.18663204392850263
10,Variance,0.38352964492445685,0.475392295547294,0.7231370578331978,0.319974018743104,0.5518305494941498,0.6001172693750554,0.5340902381985602,0.15056059327410332,0.15056059327410332
10,Std,0.17767778492654557,0.12068347484501973,0.14934328381307746,0.08047479794581824,0.1529245768481495,0.18536033694866005,0.137757294080145,-0.039920490846400564,0.039920490846400564
10,IAT,0.11471192374387128,0.13272573428400838,0.019758680581813796,0.14261277474200248,0.03763735294852787,0.0671524094268686,0.07997739039664423,-0.03473453334722705,0.03473453334722705
10,syn_flag_number,0.06083180068380555,0.1384065811317963,0.1275993691722052,0.037854070354146147,0.13199318935061152,0.026626899633968266,0.09249602192854549,0.031664221244739936,0.031664221244739936
10,Time_To_Live,0.05618976260289817,0.05812730856123705,0.025184464214358982,0.07906698674946729,0.2240197786322372,0.02536795660232857,0.08235329895192581,0.026163536349027634,0.026163536349027634
10,Max,0.051280776245539984,0.03908353621861701,0.048170152366863055,0.02808392073079331,0.06010222401018075,0.039822073844203144,0.043052381434131454,-0.00822839481140853,0.00822839481140853
10,syn_count,0.04569625059001669,0.10986242557122704,0.13315637346869288,0.024095935810191493,0.07370936708149085,0.019802374503738354,0.07212529528706811,0.026429044697051422,0.026429044697051422
