round,client_id,num_examples,fedavg_weight,final_weight,warmup,server_f1_source_round,client_score,raw_shap_weight,importance::BENIGN,previous_server_f1::BENIGN,similarity::BENIGN,client_validation_f1::BENIGN,gain::BENIGN,peer_count::BENIGN,comparable::BENIGN,importance::DDOS,previous_server_f1::DDOS,similarity::DDOS,client_validation_f1::DDOS,gain::DDOS,peer_count::DDOS,comparable::DDOS,importance::DOS,previous_server_f1::DOS,similarity::DOS,client_validation_f1::DOS,gain::DOS,peer_count::DOS,comparable::DOS,importance::MIRAI,previous_server_f1::MIRAI,similarity::MIRAI,client_validation_f1::MIRAI,gain::MIRAI,peer_count::MIRAI,comparable::MIRAI,importance::RECON,previous_server_f1::RECON,similarity::RECON,client_validation_f1::RECON,gain::RECON,peer_count::RECON,comparable::RECON,importance::SPOOFING,previous_server_f1::SPOOFING,similarity::SPOOFING,client_validation_f1::SPOOFING,gain::SPOOFING,peer_count::SPOOFING,comparable::SPOOFING,importance::WEB,previous_server_f1::WEB,similarity::WEB,client_validation_f1::WEB,gain::WEB,peer_count::WEB,comparable::WEB
1,1,515452,0.2,0.1639822063114116,0,0,0.44311852899878607,0.14458800970986402,0.14285714285714285,0.05,0.9807282015042239,0.4497737556561086,0.3997737556561086,3,1,0.14285714285714285,0.05,0.7349987134484683,0.6246108471243651,0.574610847124365,4,1,0.14285714285714285,0.05,0.7120949356467927,0.13802363050483352,0.08802363050483351,2,1,0.14285714285714285,0.05,0.9422586334268794,0.0,0.0,1,1,0.14285714285714285,0.05,0.7702512456453631,0.0,0.0,2,1,0.14285714285714285,0.05,0.8131360307096669,0.5199786893979755,0.46997868939797555,1,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,2,515452,0.2,0.2184859140792747,0,0,0.5574646863154533,0.2284398678142688,0.14285714285714285,0.05,0.7294567455081684,0.49001592551757933,0.44001592551757934,3,1,0.14285714285714285,0.05,0.4777040393274439,0.5993006993006993,0.5493006993006992,4,1,0.14285714285714285,0.05,0.6350523855643717,0.5531549577908141,0.5031549577908141,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,3,515452,0.2,0.19836680497191211,0,0,0.5210651189446505,0.19748739226448017,0.14285714285714285,0.05,0.9579039264487716,0.0,0.0,3,1,0.14285714285714285,0.05,0.8025770022308194,0.7100058742901899,0.6600058742901899,4,1,0.14285714285714285,0.05,0.60329072190686,0.3540445486518171,0.3040445486518171,2,1,0.14285714285714285,0.05,0.9422586334268794,0.9384725879818051,0.8884725879818051,1,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.8131360307096669,0.4769687964338782,0.4269687964338782,1,1,0.14285714285714285,0.05,0.0,0.07856650585802895,0.028566505858028945,0,0
1,4,515452,0.2,0.18134433768438152,0,0,0.4854990467759106,0.17129898105289468,0.14285714285714285,0.05,0.9136930910799173,0.0,0.0,3,1,0.14285714285714285,0.05,0.8018125792309551,0.4912594104887074,0.4412594104887074,4,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.918187355441454,0.4892966360856269,0.4392966360856269,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,5,515452,0.2,0.23782073695302003,0,0,0.5880662534913662,0.25818574915849235,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.7851480260128549,0.4910759816420194,0.4410759816420194,4,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.9134457890371573,0.48971596474045054,0.43971596474045055,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
2,1,515452,0.2,0.1636050230231893,0,1,0.3947766653708395,0.14265373643692902,0.0622171245077639,0.33874361286444243,0.9669670389760665,0.46244725738396625,0.12370364451952381,3,1,0.024814319702268463,0.8493343275443536,0.9817298456358159,0.6792907557238768,0.0,4,1,0.2107565353779679,0.0,0.6247416121219783,0.10697787503039144,0.10697787503039144,2,1,0.2107565353779679,0.0,0.9827245539088882,0.0,0.0,1,1,0.069942414278096,0.3013286537979443,0.5090114468178042,0.001998001998001998,0.0,2,1,0.2107565353779679,0.04283528811830699,0.8882819832878466,0.5377828922132719,0.4949476040949649,1,1,0.2107565353779679,0.0,0.0,0.0,0.0,0,0
2,2,515452,0.2,0.21660423314316163,0,1,0.5016999428522957,0.21879022198804782,0.0622171245077639,0.33874361286444243,0.9844715933038386,0.49031625398381956,0.15157264111937713,3,1,0.024814319702268463,0.8493343275443536,0.17308119576092812,0.6009783368273934,0.0,4,1,0.2107565353779679,0.0,0.37010156219420187,0.5540617848970252,0.5540617848970252,2,1,0.2107565353779679,0.0,0.0,0.0,0.0,0,0,0.069942414278096,0.3013286537979443,0.0,0.0,0.0,0,0,0.2107565353779679,0.04283528811830699,0.0,0.0,0.0,0,0,0.2107565353779679,0.0,0.0,0.0,0.0,0,0
2,3,515452,0.2,0.20370021876187921,0,1,0.5085168917023504,0.22483823221302954,0.0622171245077639,0.33874361286444243,0.8850064050033964,0.0,0.0,3,1,0.024814319702268463,0.8493343275443536,0.8864857230714563,0.6916574788680632,0.0,4,1,0.2107565353779679,0.0,0.7787215550603486,0.1624548736462094,0.1624548736462094,2,1,0.2107565353779679,0.0,0.9827245539088885,0.9399665151877541,0.9399665151877541,1,1,0.069942414278096,0.3013286537979443,0.0,0.0,0.0,0,0,0.2107565353779679,0.04283528811830699,0.8882819832878466,0.4611190445281059,0.4182837564097989,1,1,0.2107565353779679,0.0,0.0,0.08974358974358974,0.08974358974358974,0,0
2,4,515452,0.2,0.18147748809539926,0,1,0.44151876743738855,0.17198180367349844,0.0622171245077639,0.33874361286444243,0.8581845759991379,0.0,0.0,3,1,0.024814319702268463,0.8493343275443536,0.9767680647056998,0.5002502502502503,0.0,4,1,0.2107565353779679,0.0,0.0,0.0,0.0,0,0,0.2107565353779679,0.0,0.0,0.0,0.0,0,0,0.069942414278096,0.3013286537979443,0.9344386670235575,0.49875311720698257,0.19742446340903824,2,1,0.2107565353779679,0.04283528811830699,0.0,0.0,0.0,0,0,0.2107565353779679,0.0,0.0,0.0,0.0,0,0
2,5,515452,0.2,0.2346130369763706,0,1,0.5266331590629161,0.24173600568849518,0.0622171245077639,0.33874361286444243,0.0,0.0,0.0,0,0,0.024814319702268463,0.8493343275443536,0.9807453146119048,0.5001256597134959,0.0,4,1,0.2107565353779679,0.0,0.0,0.0,0.0,0,0,0.2107565353779679,0.0,0.0,0.0,0.0,0,0,0.069942414278096,0.3013286537979443,0.7766082886563561,0.4966476285075739,0.19531897470962956,2,1,0.2107565353779679,0.04283528811830699,0.0,0.0,0.0,0,0,0.2107565353779679,0.0,0.0,0.0,0.0,0,0
