,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,3007,0,0,0,39,6,1
true_DDOS,208,78721,1729,347,44,4,1
true_DOS,172,16582,2749,1873,7,0,0
true_MIRAI,58,196,4,15890,0,3,0
true_RECON,5131,0,0,0,1100,6,7
true_SPOOFING,845,0,0,0,68,51,0
true_WEB,13,0,0,0,1,0,0
