round,client_id,num_examples,size_weight,shap_weight,performance_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,478837,0.18579326780371536,0.18576572760568458,0.19937943791502463,0.18782706229070717,0.6579506397247314,0.805630273160137,0.2423706970258287,0.24175455953825184,0.2423706970258287,0.22121429743713342,1,1
1,2,477793,0.185388185966708,0.20692541719131194,0.2060643451832606,0.1917201945328815,0.9886895418167114,0.6049527413373071,0.28682929026376924,0.2551841390519421,0.28682929026376924,0.2300180883936226,1,1
1,3,597080,0.23167266593901967,0.19837200666338808,0.20512644908387817,0.22269563451940375,0.7061810493469238,0.677057164486069,0.28107373275485054,0.26522681503920176,0.28107373275485054,0.2509866972564764,1,1
1,4,655763,0.2544422228749403,0.20577502897077357,0.22860896904372727,0.24326715571463334,0.7928341031074524,0.6761578860687686,0.277123458078365,0.2445199203795904,0.277123458078365,0.22270913216583726,1,1
1,5,367784,0.1427036574156167,0.20316181956884188,0.16082079877410937,0.1544899529423744,1.152970790863037,0.5186466116349636,0.2427363048920806,0.2124916431296035,0.2427363048920806,0.18810240864603817,1,1
2,1,478837,0.18579326780371536,0.18576572760568458,0.19196493965925915,0.1867148875523423,0.5820924043655396,0.7564113273744884,0.2700816954348172,0.24540192794056992,0.2700816954348172,0.21714635976278715,1,0
2,2,477793,0.185388185966708,0.20692541719131194,0.19778667330529115,0.19047854375118606,0.9137136340141296,0.6250366265100586,0.29598986972374774,0.2637038942874437,0.29598986972374774,0.24327939357620276,1,0
2,3,597080,0.23167266593901967,0.19837200666338808,0.19548872917566998,0.2212499765331725,0.6491139531135559,0.7528923903504364,0.2892628287863172,0.2849310578585113,0.2892628287863172,0.2644427512830246,1,0
2,4,655763,0.2544422228749403,0.20577502897077357,0.21868149928539932,0.24177803525088412,0.7217994928359985,0.6971471443995095,0.2913138998390016,0.2656169079196762,0.2913138998390016,0.23763709444425016,1,0
2,5,367784,0.1427036574156167,0.20316181956884188,0.19607815857438038,0.15977855691241502,1.055653691291809,0.5242802919072944,0.26981048802731966,0.2685673360873662,0.26981048802731966,0.2257565070896572,1,0
3,1,478837,0.18579326780371536,0.18576572760568458,0.19957062448897908,0.1878557402768003,0.5335784554481506,0.8099239829588172,0.2893158226310721,0.2647944652223948,0.2893158226310721,0.24397741184223873,1,0
3,2,477793,0.185388185966708,0.20692541719131194,0.19358249100313613,0.1898479164058628,0.8657022714614868,0.6290801932205377,0.30922135205618106,0.27151775357518565,0.30922135205618106,0.25512345221512045,1,0
3,3,597080,0.23167266593901967,0.19837200666338808,0.1876227399550309,0.22007007815007662,0.6255269646644592,0.7563156942741724,0.2933913748236569,0.28467508794127266,0.2933913748236569,0.2670116584073941,1,0
3,4,655763,0.2544422228749403,0.20577502897077357,0.22490023607979368,0.24271084577004326,0.6670923829078674,0.6974399326587004,0.3077678009955132,0.2687940475751362,0.3077678009955132,0.2549104290611685,1,0
3,5,367784,0.1427036574156167,0.20316181956884188,0.1943239084730602,0.159515419397217,1.0298190116882324,0.5435740154654312,0.2948607614010756,0.27302373155826704,0.2948607614010756,0.2416239543746985,1,0
4,1,478837,0.18579326780371536,0.18576572760568458,0.19752128635049704,0.18754833955602798,0.50128573179245,0.812212847715312,0.29149532604499784,0.2663873439167198,0.29149532604499784,0.2487719326752942,1,0
4,2,477793,0.185388185966708,0.20692541719131194,0.20193304927635558,0.1911005001468457,0.8260162472724915,0.6417048280019088,0.3269235373397374,0.27684632708680934,0.3269235373397374,0.270442552766398,1,0
4,3,597080,0.23167266593901967,0.19837200666338808,0.18417041980486998,0.21955223012755248,0.6051987409591675,0.7554380958123145,0.30125925909973034,0.26727302821454785,0.30125925909973034,0.26634452368827516,1,0
4,4,655763,0.2544422228749403,0.20577502897077357,0.22110764339220176,0.24214195686690448,0.635998010635376,0.7155135079083329,0.3081203522786721,0.2767888467570752,0.3081203522786721,0.26207574600150957,1,0
4,5,367784,0.1427036574156167,0.20316181956884188,0.1952676011760756,0.1596569733026693,0.9948580265045166,0.5389409116121244,0.2990376475134037,0.2558050280059373,0.2990376475134037,0.23900178317550602,1,0
5,1,478837,0.18579326780371536,0.19930223045917508,0.19597833690785926,0.1893473725676559,0.4952411651611328,0.8125386350346672,0.2951183976259242,0.27168720825569476,0.2951183976259242,0.255519538619177,5,1
5,2,477793,0.185388185966708,0.20020965333454727,0.19992892971285708,0.18979251763380625,0.7983418703079224,0.6448442431497962,0.3307190573291704,0.28486572056162174,0.3307190573291704,0.27195824757547993,5,1
5,3,597080,0.23167266593901967,0.19964029497699903,0.18695693975673747,0.22016045136737425,0.5888336300849915,0.7039210563337822,0.30879838069254684,0.27667418600479465,0.30879838069254684,0.2709736857669377,5,1
5,4,655763,0.2544422228749403,0.2001562737965512,0.21695495658459193,0.24067624056962966,0.61970454454422,0.7051500234840583,0.31119909677044344,0.2907575749070909,0.31119909677044344,0.2534282980549328,5,1
