round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.0002,0.029411764705882353,5.955003989852673e-06,0.029411764705882353,1.1907597046915931e-05,3.5422677993774414,0.0002812875582819297,0.029411764705882353,8.372577322865863e-06,0.029411764705882353,1.6740389198830335e-05
1,0.4898,0.24570310324152597,0.16269882693662485,0.24570310324152597,0.1823692982599004,1.8049167394638062,0.491011583933082,0.24895920171598943,0.17463962030526906,0.24895920171598943,0.18514907843568448
2,0.6466,0.3360975694467658,0.27212196308343306,0.3360975694467658,0.2878644181871561,0.9809351563453674,0.6478507073387639,0.33429930280364245,0.27669161468999315,0.33429930280364245,0.28659639671917886
3,0.6808,0.3868959428831969,0.3268835234076006,0.3868959428831969,0.332533122984225,0.787956953048706,0.6795253911743898,0.37541858086259655,0.31946890815511564,0.37541858086259655,0.3254610121146456
4,0.688,0.38968182170753507,0.33349184060547943,0.38968182170753507,0.3367286144965541,0.697066605091095,0.6904217324472302,0.3914405792082002,0.3389453105758972,0.3914405792082002,0.3402358530576535
5,0.6988,0.4000743769813105,0.32679014665583334,0.4000743769813105,0.34079754121099576,0.6523541212081909,0.6988433114648831,0.3988541112740902,0.3377352436677133,0.3988541112740902,0.34273900919869493
6,0.7038,0.4030874843716702,0.3305112819404373,0.4030874843716702,0.34364330803014925,0.6314773559570312,0.7036337238210784,0.4069089633528118,0.407177114259713,0.4069089633528118,0.35222571860455687
7,0.7054,0.398985165197744,0.33035215507847676,0.398985165197744,0.34703396253188057,0.6193161606788635,0.7065801399618699,0.41034978450631865,0.4289464559189981,0.41034978450631865,0.3625470151977877
8,0.705,0.40229072401557947,0.3346877644266158,0.40229072401557947,0.3468587663525567,0.6101942658424377,0.7074865109830005,0.4173321415608335,0.44055923677206826,0.4173321415608335,0.36621117524343366
9,0.7074,0.40582025513477676,0.3436591872669142,0.40582025513477676,0.35814390983706124,0.5976809859275818,0.7104641812969346,0.4199741635543137,0.44268751759065555,0.4199741635543137,0.3763525438071263
10,0.7072,0.40719207911550476,0.3467598366380388,0.40719207911550476,0.355659648825515,0.5892647504806519,0.7110210738365634,0.4244149925978439,0.4215645288011616,0.4244149925978439,0.3766166454583388
11,0.7066,0.4067471601873933,0.3421703220598011,0.4067471601873933,0.35663341335858467,0.5860422253608704,0.7113222504141178,0.4253760621677346,0.41994803691650934,0.4253760621677346,0.3792569854567672
12,0.7076,0.4097443420546383,0.34799709372607524,0.4097443420546383,0.3559582477312984,0.5842830538749695,0.710449974854597,0.42599541737800334,0.4229556282057549,0.42599541737800334,0.3760967979878893
13,0.7104,0.4135392043580457,0.34520393853218406,0.4135392043580457,0.361536650171201,0.584077775478363,0.7119984770693815,0.4263437759870076,0.4188572652411116,0.4263437759870076,0.3806185231773838
14,0.708,0.4105367568818676,0.34816272451906566,0.4105367568818676,0.3583584378077626,0.5805002450942993,0.7112881549525079,0.42830304823627363,0.4212540507837672,0.42830304823627363,0.37961864834719977
15,0.7114,0.4157348348447966,0.3513272157938312,0.4157348348447966,0.36929043704177184,0.5777324438095093,0.713461740630141,0.4269052724362957,0.4262497951981093,0.4269052724362957,0.38343732676756404
16,0.712,0.4162780300072555,0.3504990128130024,0.4162780300072555,0.36986896930729635,0.5734902620315552,0.7151295769605601,0.43008121801125127,0.42692241505373074,0.43008121801125127,0.3875669722407876
17,0.7014,0.4132036948026616,0.3461732865629564,0.4132036948026616,0.36066316413228167,0.5745344758033752,0.7099271777765781,0.43167102676405567,0.4295864653783978,0.43167102676405567,0.38290372807434025
18,0.7034,0.41583976289910674,0.3507236799297991,0.41583976289910674,0.3638914245612542,0.5709775686264038,0.709955590661253,0.4328264076516481,0.43002583444815773,0.4328264076516481,0.3837688954629257
19,0.7034,0.4148650616655738,0.34780412551413337,0.4148650616655738,0.3641602555796112,0.5689303278923035,0.7116120618378022,0.43409337902187406,0.42898150222912446,0.43409337902187406,0.38749012963681917
20,0.704,0.4156739270227816,0.35067627688931996,0.4156739270227816,0.3636968385132001,0.5717476606369019,0.7105323722201544,0.4344627606666329,0.43120729531631763,0.4344627606666329,0.3853865091755002
