round,client_id,num_examples,size_weight,consensus_alignment,shap_stability,shap_quality,validation_f1,utility_score,utility_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,478837,0.18579326780371536,0.9939870104706093,1.0,0.9957909073294264,0.18938783950556856,0.1885906885384099,0.18252754863503198,0.18514012396997867,0.9083678722381592,0.7608219864672959,0.26208397754675955,0.23051330780886617,0.26208397754675955,0.21937092161406727,1,1
1,2,477793,0.185388185966708,0.9961625708159959,1.0,0.9973137995711971,0.20440472767326198,0.20385565560613675,0.1973017511179886,0.18777089899696414,1.4019036293029785,0.5385980627715594,0.30848838677164786,0.2550324522831215,0.30848838677164786,0.25839088939539206,1,1
1,3,597080,0.23167266593901967,0.9783505985234913,1.0,0.9848454189664437,0.23788580245478588,0.23428074278475228,0.22674867992852094,0.23068786873691993,1.2535251379013062,0.5787929336575758,0.3198673947332684,0.29617558729969984,0.3198673947332684,0.29805520261609114,1,1
1,4,655763,0.2544422228749403,0.9849508660796992,1.0,0.9894656062557894,0.2636543611730928,0.26087692232011717,0.25248979944651156,0.2540517381892546,0.7910417318344116,0.8028864042551893,0.3187615480160107,0.2978652721914737,0.3187615480160107,0.2759303176166668,1,1
1,5,367784,0.1427036574156167,0.9902361047466963,1.0,0.9931652733226874,0.14661573940343098,0.14561366089801644,0.140932220871947,0.14234937010688276,1.7741596698760986,0.4457676705058349,0.24530612240597158,0.18054689484594244,0.24530612240597158,0.17639131440818975,1,1
2,1,478837,0.18579326780371536,0.9939870104706093,1.0,0.9957909073294264,0.2685546041400218,0.26742423292408724,0.20041516520878122,0.18871764728472853,0.5711016058921814,0.7949210592264639,0.33551828815852963,0.298853923407083,0.33551828815852963,0.2956073521033049,1,0
2,2,477793,0.185388185966708,0.9961625708159959,1.0,0.9973137995711971,0.2526392660379375,0.25196062633317395,0.18882630792477723,0.18607581035832185,0.9143102765083313,0.5971669917705464,0.3631197619596275,0.31219249969781704,0.3631197619596275,0.30987871260097505,1,0
2,3,597080,0.23167266593901967,0.9783505985234913,1.0,0.9848454189664437,0.2668370882835568,0.2627932840064054,0.19694460316486168,0.22472705338418808,0.8831223845481873,0.7255863496593444,0.3581955334951407,0.3332562017410453,0.3581955334951407,0.33779593264142477,1,0
2,4,655763,0.2544422228749403,0.9849508660796992,1.0,0.9894656062557894,0.3278932399076853,0.3244390834124328,0.24314368145068582,0.25218251459008945,0.6293728947639465,0.7682336938288775,0.3820260360749566,0.3336790276514731,0.3820260360749566,0.3197376380235691,1,0
2,5,367784,0.1427036574156167,0.9902361047466963,1.0,0.9931652733226874,0.22930126829393113,0.227734056798381,0.17067024225089406,0.14829697438267217,1.08180570602417,0.5691430933037511,0.32185714545776356,0.3194526990932218,0.32185714545776356,0.279761838858133,1,0
3,1,478837,0.18579326780371536,0.9939870104706093,1.0,0.9957909073294264,0.3078330990481055,0.3065374010071422,0.2007224225263332,0.18877909874823892,0.4538036286830902,0.849168824659594,0.38292996111814037,0.33090873312986957,0.38292996111814037,0.3425200740201277,1,0
3,2,477793,0.185388185966708,0.9961625708159959,1.0,0.9973137995711971,0.2871395223693835,0.2863682080612686,0.18751552100242275,0.18581365297385097,0.8122848868370056,0.5670118628033721,0.4129811808378473,0.3312916066963088,0.4129811808378473,0.33372935828701505,1,0
