round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.03255,0.06257146572009206,0.020647221185104085,0.06257146572009206,0.00995582993772988,4.325889587402344,0.03334191440821653,0.047202628954110724,0.021766380473433378,0.047202628954110724,0.010645811760325379
1,0.62415,0.2563126504717328,0.2323566347466194,0.2563126504717328,0.2010402098924912,0.9888865947723389,0.6232760176710963,0.2543834684719684,0.23837509825838787,0.2543834684719684,0.19931764100249075
2,0.6396,0.26385778009593386,0.2413365876626988,0.26385778009593386,0.20678501617925685,0.8904248476028442,0.6400031957106461,0.2647384936882248,0.2558805014977509,0.2647384936882248,0.2077630678411324
3,0.64975,0.2845484741547111,0.22742702314133692,0.2845484741547111,0.2164775774927075,0.8254978060722351,0.6488712927537261,0.28558844249477183,0.2520690154215911,0.28558844249477183,0.21683261855774502
4,0.6519,0.2842904165613366,0.23971814879964354,0.2842904165613366,0.21466267418656862,0.7884748578071594,0.6511112491973736,0.2852591479290876,0.24890595886276146,0.2852591479290876,0.21381852032536586
5,0.65325,0.28574671550264913,0.220823069950611,0.28574671550264913,0.21695245108474434,0.7645166516304016,0.6524842211786847,0.2859702163046474,0.2509666985508389,0.2859702163046474,0.21609618282935938
6,0.65395,0.2901423067713195,0.24176793921457113,0.2901423067713195,0.22654328629019937,0.7489537596702576,0.6525877858755508,0.28952794488741346,0.2621423724465412,0.28952794488741346,0.22535384509390025
7,0.65525,0.28707402239987867,0.2233559474641629,0.28707402239987867,0.22026348218106762,0.7337371706962585,0.6542832879128163,0.2875701270201217,0.2667800298825375,0.2875701270201217,0.21969742489210484
8,0.65615,0.28964318879338297,0.22222040859819914,0.28964318879338297,0.2208583132307808,0.7196956276893616,0.6555497362059222,0.2904288973192209,0.2637345995874617,0.2904288973192209,0.22202635711563107
9,0.65875,0.29227986261757244,0.25159709784988094,0.29227986261757244,0.22859071806266046,0.7020976543426514,0.6588135036528748,0.2926105514953403,0.26617383865660643,0.2926105514953403,0.2268855358300541
10,0.6694,0.30693145968714297,0.2546957660459285,0.30693145968714297,0.24341229651716217,0.6794639229774475,0.6700961376286052,0.3078824880112219,0.2825095714206643,0.3078824880112219,0.24317139149845546
