round,client_id,num_examples,size_weight,shap_weight,performance_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,478837,0.18579326780371536,0.18576572763564433,0.2,0.1857891367785047,0.6579506397247314,0.805630273160137,0.2423706970258287,0.24175455953825184,0.2423706970258287,0.22121429743713342,1,1
1,2,477793,0.185388185966708,0.20692541722469843,0.2,0.18861877065540655,0.9886895418167114,0.6049527413373071,0.28682929026376924,0.2551841390519421,0.28682929026376924,0.2300180883936226,1,1
1,3,597080,0.23167266593901967,0.19837200653405354,0.2,0.22667756702827474,0.7061810493469238,0.677057164486069,0.28107373275485054,0.26522681503920176,0.28107373275485054,0.2509866972564764,1,1
1,4,655763,0.2544422228749403,0.20577502900395908,0.2,0.2471421437942931,0.7928341031074524,0.6761578860687686,0.277123458078365,0.2445199203795904,0.277123458078365,0.22270913216583726,1,1
1,5,367784,0.1427036574156167,0.20316181960164456,0.2,0.15177238174352087,1.152970790863037,0.5186466116349636,0.2427363048920806,0.2124916431296035,0.2427363048920806,0.18810240864603817,1,1
2,1,478837,0.18579326780371536,0.18576572763564433,0.2,0.1857891367785047,0.5817962288856506,0.755433965416423,0.2639604506191825,0.23724035796788145,0.2639604506191825,0.21440023318325144,1,0
2,2,477793,0.185388185966708,0.20692541722469843,0.2,0.18861877065540655,0.9137484431266785,0.6247687297507722,0.29609873700563827,0.263647672189189,0.29609873700563827,0.24344452774783654,1,0
2,3,597080,0.23167266593901967,0.19837200653405354,0.2,0.22667756702827474,0.6494518518447876,0.7528856911255368,0.2893376420616256,0.27978058777746384,0.2893376420616256,0.2642001782159456,1,0
2,4,655763,0.2544422228749403,0.20577502900395908,0.2,0.2471421437942931,0.7212135195732117,0.6971532441549094,0.2913246818251455,0.2648604370682639,0.2913246818251455,0.23751430740973917,1,0
2,5,367784,0.1427036574156167,0.20316181960164456,0.2,0.15177238174352087,1.0564625263214111,0.5241932852621619,0.26959043595686283,0.266225103339491,0.26959043595686283,0.2255521921413274,1,0
3,1,478837,0.18579326780371536,0.18576572763564433,0.2,0.1857891367785047,0.5318742990493774,0.8095814885974438,0.28898504331060426,0.2647326224229675,0.28898504331060426,0.2441134049297013,1,0
3,2,477793,0.185388185966708,0.20692541722469843,0.2,0.18861877065540655,0.8662922382354736,0.6306373431338897,0.3079612855881996,0.2706330765355859,0.3079612855881996,0.25391749765179233,1,0
3,3,597080,0.23167266593901967,0.19837200653405354,0.2,0.22667756702827474,0.6250836849212646,0.7563022958243731,0.2935457115814442,0.2848342864073721,0.2935457115814442,0.2671831308028831,1,0
3,4,655763,0.2544422228749403,0.20577502900395908,0.2,0.2471421437942931,0.6657456755638123,0.6982390006160752,0.3075155647594595,0.26838349502168757,0.3075155647594595,0.25488249040616634,1,0
3,5,367784,0.1427036574156167,0.20316181960164456,0.2,0.15177238174352087,1.0289934873580933,0.5446398468683046,0.2946257488730004,0.2724717303213507,0.2946257488730004,0.24202779785949066,1,0
4,1,478837,0.18579326780371536,0.18576572763564433,0.2,0.1857891367785047,0.5014599561691284,0.8100826998579902,0.2908329445653172,0.2652170405460909,0.2908329445653172,0.24778533237626474,1,0
4,2,477793,0.185388185966708,0.20692541722469843,0.2,0.18861877065540655,0.8260512948036194,0.641026714329965,0.32686961757788585,0.2778260500102893,0.32686961757788585,0.270863762367099,1,0
4,3,597080,0.23167266593901967,0.19837200653405354,0.2,0.22667756702827474,0.6049661040306091,0.7553376074388193,0.30113543816892746,0.26650735470312886,0.30113543816892746,0.2660734236742119,1,0
4,4,655763,0.2544422228749403,0.20577502900395908,0.2,0.2471421437942931,0.6360430121421814,0.7157513983689254,0.3085592096824993,0.27712878870723334,0.3085592096824993,0.26240425758435276,1,0
4,5,367784,0.1427036574156167,0.20316181960164456,0.2,0.15177238174352087,0.9940642714500427,0.5392128073781635,0.29932036238622983,0.25609001182495184,0.29932036238622983,0.2392496501294033,1,0
5,1,478837,0.18579326780371536,0.19928375484101668,0.2,0.18781684085931055,0.49472683668136597,0.8125720491187035,0.2950486740907842,0.2732492122283846,0.2950486740907842,0.2553674900682393,5,1
