Round,client_1,client_2,client_3,client_4,client_5
1,0.10332183255312095,0.12675074825153515,0.12532874560079316,0.11700932810281066,0.15277946768627712
2,0.2063612986193579,0.21351799478256706,0.22698170787962899,0.22236130261797604,0.21923701103851423
3,0.18256532621014812,0.19815244920877997,0.20750052329368704,0.20448075620872208,0.20835707167143833
4,0.20291150396450355,0.21625912201315076,0.2181372410244644,0.22554879990419235,0.2308206432956763
5,0.26988562307397973,0.24892313609483713,0.26152729710335365,0.2485551544819843,0.25801412433180215
6,0.2222248193884939,0.22860712458632532,0.23546073182958097,0.23701478680028676,0.24424572713704604
7,0.2565794250982099,0.26008052553748773,0.2774548749625492,0.24588420480137407,0.24344852505562878
8,0.24317917756020402,0.2481587852758672,0.2635683852218769,0.2379476843844118,0.24074720638420655
9,0.2614086583848617,0.2468117519681076,0.2586230253680865,0.2408859229230035,0.2506629785079999
10,0.26995055744443097,0.2576051860037449,0.2768850023890652,0.2534654624284954,0.26619346510727826
