Round,client_1,client_2,client_3,client_4,client_5
1,0.1374629623843637,0.12983036900404216,0.1472801330091265,0.1626385151374565,0.16348466377737242
2,0.230921595274657,0.22754636701201172,0.24784109856406933,0.2565932077793485,0.22743820650192717
3,0.22574451254868808,0.22075131311418564,0.21251272912934013,0.2545442254445899,0.21766892492282006
4,0.2537906115911115,0.2514845299965834,0.22620352065043897,0.2899797396490953,0.2407936719916231
5,0.30349268285723136,0.30344978505265385,0.29990234548212336,0.2939119691914292,0.27505434717104815
6,0.26961046622061435,0.29057402717139713,0.26713195423491726,0.28550155814381334,0.26096719394385864
7,0.2990542497781466,0.35276906695942567,0.27007583571915594,0.3624505918893041,0.27893768701039495
8,0.29302916890688974,0.2731696966750972,0.2713251028593998,0.29039386131516204,0.24726251359995763
9,0.3326323774205367,0.32562848155231866,0.2990731926763778,0.3191624831937873,0.27224638604206036
10,0.30355998936627826,0.3517357093982784,0.3105851946670221,0.33059919212657,0.3110139470107027
