round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.12005,0.035675693241681426,0.03151137548642219,0.035675693241681426,0.02478219062444879,3.3787176609039307,0.11993383695365924,0.035282935540652524,0.023627819239878042,0.035282935540652524,0.02389578796333039
1,0.6181,0.24915340403456576,0.20655669095907866,0.24915340403456576,0.1968545699745781,0.9867737889289856,0.617304773148929,0.2511914461922441,0.22879112836676493,0.2511914461922441,0.19829970820530501
2,0.6363,0.26778529752032715,0.22097791328304464,0.26778529752032715,0.2078294015856356,0.8641781210899353,0.6356741913816418,0.2689216489144149,0.23284978186031177,0.2689216489144149,0.20994926037161263
3,0.652,0.28880121889666654,0.23601760510865297,0.28880121889666654,0.23361896756797193,0.8078945875167847,0.6520462904605078,0.2884832361479723,0.24325491178514447,0.2884832361479723,0.23331615120685223
4,0.656,0.295804624131794,0.24062117699708357,0.295804624131794,0.23916348602234613,0.7711931467056274,0.6554935153704805,0.2936695240698724,0.24653311879222664,0.2936695240698724,0.23572986722309938
5,0.6498,0.29230700037536744,0.23531670134177063,0.29230700037536744,0.22328038613968285,0.7457519769668579,0.6492973875065468,0.2906241595804571,0.22866288011874475,0.2906241595804571,0.22142963211883343
6,0.652,0.29273387740830925,0.2149618594581945,0.29273387740830925,0.22413147624260993,0.7266606688499451,0.6517326373785703,0.2916934561275281,0.2226205551013541,0.2916934561275281,0.22222625745339786
7,0.65525,0.29660533388537696,0.23008639418058743,0.29660533388537696,0.22851140330225084,0.7111859321594238,0.6543572626962921,0.29389822807040544,0.22747538641132542,0.29389822807040544,0.22611366215090564
8,0.6567,0.3023447405926761,0.2361907317143339,0.3023447405926761,0.23423951406987553,0.701900839805603,0.6561001085949821,0.2989110396480414,0.2402856172475804,0.2989110396480414,0.23082543689395835
9,0.66035,0.30563103103267997,0.2451152378338295,0.30563103103267997,0.23896877113868994,0.6837979555130005,0.659843232638858,0.30476108106327315,0.24733034900320128,0.30476108106327315,0.23852336757642695
10,0.66805,0.3161557958804013,0.2957818916181094,0.3161557958804013,0.2481750135148376,0.6639154553413391,0.6679567868904848,0.31841759022801175,0.2845704193997052,0.31841759022801175,0.25002536024755867
