,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,4116,0,0,0,32,50,0
true_DDOS,137,122175,6718,269,54,14,2
true_DOS,137,20944,9496,169,16,4,0
true_MIRAI,7,113,5,9870,0,13,0
true_RECON,2152,0,0,0,372,101,0
true_SPOOFING,1518,0,0,0,24,323,1
true_WEB,131,0,0,0,1,13,0
