,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,1406,0,0,0,10,18,0
true_DDOS,131,114469,6317,303,50,21,1
true_DOS,5,1394,617,8,1,1,0
true_MIRAI,2,18,1,1095,0,2,0
true_RECON,2452,0,0,0,396,99,2
true_SPOOFING,16,0,0,0,0,4,0
true_WEB,23,0,0,0,0,1,0
