round,client_id,class_name,available,feature_name,server_normalized_mean_abs_shap,client_normalized_mean_abs_shap,client_minus_server,absolute_difference,server_rank,client_rank
10,1,BENIGN,1,Header_Length,0.0018447597466784323,0.000771094037743672,-0.0010736657089347604,0.0010736657089347604,18,18
10,1,BENIGN,1,Protocol Type,7.850810974537686e-05,5.393317766782545e-05,-2.457493207755141e-05,2.457493207755141e-05,24,24
10,1,BENIGN,1,Time_To_Live,0.17404132357731986,0.16821524029519527,-0.005826083282124583,0.005826083282124583,6,4
10,1,BENIGN,1,Rate,0.00042488453312404783,0.0002851669266703452,-0.0001397176064537026,0.0001397176064537026,19,19
10,1,BENIGN,1,fin_flag_number,9.502794272864169e-05,7.454862041461582e-05,-2.047932231402587e-05,2.047932231402587e-05,23,23
10,1,BENIGN,1,syn_flag_number,0.006536112818454587,0.0030570341052750206,-0.0034790787131795666,0.0034790787131795666,16,16
10,1,BENIGN,1,rst_flag_number,4.243144213779979e-05,1.538983229350934e-05,-2.7041609844290448e-05,2.7041609844290448e-05,26,27
10,1,BENIGN,1,psh_flag_number,5.3383151356459586e-05,4.503098626834923e-05,-8.352165088110355e-06,8.352165088110355e-06,25,25
10,1,BENIGN,1,ack_flag_number,0.02641698376799088,0.031057352358723395,0.004640368590732514,0.004640368590732514,10,10
10,1,BENIGN,1,ece_flag_number,0.0,0.0,0.0,0.0,34,34
10,1,BENIGN,1,cwr_flag_number,0.0,0.0,0.0,0.0,35,35
10,1,BENIGN,1,ack_count,0.002602819135511162,0.001815620258017152,-0.00078719887749401,0.00078719887749401,17,17
10,1,BENIGN,1,syn_count,0.018406380902074207,0.007891115496383756,-0.010515265405690451,0.010515265405690451,12,12
10,1,BENIGN,1,fin_count,0.009633418827792332,0.006204827788252417,-0.0034285910395399155,0.0034285910395399155,14,13
10,1,BENIGN,1,rst_count,0.0072317895242967395,0.003676209960156361,-0.0035555795641403786,0.0035555795641403786,15,15
10,1,BENIGN,1,HTTP,2.7867751155677402e-05,2.221732253349005e-05,-5.650428622187353e-06,5.650428622187353e-06,27,26
10,1,BENIGN,1,HTTPS,0.0001723868091636048,0.00012677908661667782,-4.560772254692699e-05,4.560772254692699e-05,22,22
10,1,BENIGN,1,DNS,6.238215763396946e-06,2.503915106054361e-06,-3.734300657342585e-06,3.734300657342585e-06,29,30
10,1,BENIGN,1,Telnet,0.0,0.0,0.0,0.0,36,36
10,1,BENIGN,1,SMTP,0.0,0.0,0.0,0.0,37,37
10,1,BENIGN,1,SSH,2.7305090707944745e-08,1.0606034161984998e-06,1.033298325490555e-06,1.033298325490555e-06,33,32
10,1,BENIGN,1,IRC,0.0,0.0,0.0,0.0,38,38
10,1,BENIGN,1,TCP,0.00030842596266750786,0.00013925476769026369,-0.00016917119497724417,0.00016917119497724417,20,21
10,1,BENIGN,1,UDP,0.013679079763269217,0.005049911848136414,-0.008629167915132803,0.008629167915132803,13,14
10,1,BENIGN,1,DHCP,3.1107854596856727e-08,6.881027999329902e-09,-2.4226826597526826e-08,2.4226826597526826e-08,32,33
10,1,BENIGN,1,ARP,2.7755283114199283e-06,4.413167097185864e-06,1.637638785765936e-06,1.637638785765936e-06,30,29
10,1,BENIGN,1,ICMP,0.00020464833844166042,0.0001625226394010586,-4.212569904060183e-05,4.212569904060183e-05,21,20
10,1,BENIGN,1,IGMP,0.0,0.0,0.0,0.0,39,39
