round,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f1::BENIGN,val_f1::DDOS,val_f1::DOS,val_f1::MIRAI,val_f1::RECON,val_f1::SPOOFING,val_f1::WEB,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_f1::BENIGN,test_f1::DDOS,test_f1::DOS,test_f1::MIRAI,test_f1::RECON,test_f1::SPOOFING,test_f1::WEB
1,1.147329568862915,0.7321260951188986,0.21488156934363137,0.2339694534177647,0.21488156934363137,0.21365576631015787,0.3419393575502852,0.849206010345677,0.0,0.0,0.30444499627514277,0.0,0.0,,,,,,,,,,,,,
2,0.9567873477935791,0.7336458519578044,0.22563454725474535,0.22253198322444034,0.22563454725474535,0.21852945945934274,0.3482682792743266,0.852238387899359,0.0,0.0,0.32919954904171367,0.0,0.0,,,,,,,,,,,,,
3,0.8600211143493652,0.7332491507241194,0.2333843279465442,0.2745178418815248,0.2333843279465442,0.21255056837446537,0.20350354081252328,0.851976738825482,6.500048750365628e-05,0.0,0.4323086984957489,0.0,0.0,,,,,,,,,,,,,
4,0.7485808730125427,0.7366350795637404,0.22933021554514604,0.37518574263244825,0.22933021554514604,0.20406146535019437,0.49612078003774374,0.8544301080240289,6.499626271489389e-05,0.0003996003996003996,0.07741477272727272,0.0,0.0,,,,,,,,,,,,,
5,0.753801167011261,0.734612462006079,0.22055494987397625,0.33619955162351367,0.22055494987397625,0.20784973302563364,0.44279995147397794,0.8530150670930731,6.499626271489389e-05,0.0003996003996003996,0.15866851595006934,0.0,0.0,,,,,,,,,,,,,
6,0.7288010120391846,0.7377246111210441,0.23670077689644825,0.38225792035966305,0.23670077689644825,0.2104935022950045,0.516320474777448,0.8552916052337536,6.499415052645263e-05,0.0005993407252022775,0.10117810117810118,0.0,0.0,,,,,,,,,,,,,
7,0.7264412045478821,0.7366965403182549,0.24056623688004336,0.3350306198164854,0.24056623688004336,0.21952667053014974,0.4559495860620289,0.8587712019119063,6.499415052645263e-05,0.0005993407252022775,0.22130157086138444,0.0,0.0,,,,,,,,,,,,,
8,0.7175884246826172,0.7373558465939567,0.250842085761759,0.34421360264287265,0.250842085761759,0.22710940143270789,0.44007440871644965,0.8592960150920335,6.499415052645263e-05,0.0005993407252022775,0.28973105134474325,0.0,0.0,,,,,,,,,,,,,
9,0.6853840947151184,0.7464688002860719,0.2888405472070155,0.4024392480004166,0.2888405472070155,0.22844740677386396,0.6724487314582152,0.8622275544891022,6.499203847528678e-05,0.0005993407252022775,0.06379122870605292,0.0,0.0,,,,,,,,,,,,,
10,0.7218984961509705,0.7365959681745038,0.24214349824415837,0.3474286558856976,0.24214349824415837,0.22632462404216974,0.44430068572907233,0.8563418694787291,6.499415052645263e-05,0.0005993407252022775,0.2829654782116582,0.0,0.0,0.7225199341773987,0.7360666454348883,0.23793906996753508,0.36787088688662595,0.23793906996753508,0.22251152690722847,0.43243943515999483,0.8561510792557222,6.498148027812073e-05,0.0003996003996003996,0.2685255920550038,0.0,0.0
