client_id,available_classes,mean_cosine_similarity,minimum_cosine_similarity,mean_pearson_correlation,mean_spearman_rank_correlation,mean_absolute_difference,mean_top5_jaccard,top1_match_rate
1,6,0.880624267073573,0.7613686162104167,0.8524863403242761,0.9790148448043184,0.03037499256936178,0.7242063492063492,0.3333333333333333
2,3,0.6879867799016853,0.5957801615073302,0.6207986628844377,0.9257085020242916,0.04985618714499159,0.6388888888888888,0.0
3,6,0.8631658778736343,0.6665080975697889,0.8429017825712305,0.9749325236167342,0.030189911327380966,0.7380952380952381,0.5
4,3,0.8036013561315931,0.695437893635632,0.7594762905706856,0.929284750337382,0.04181597839467379,0.4484126984126984,0.0
5,3,0.8896653367734685,0.7910118100624338,0.8778814590554345,0.9785425101214575,0.030383655355331784,1.0,0.3333333333333333
