round,source,class_id,class_name,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,server,0,BENIGN,0,Header_Length,0.0018447597466784323,18
10,server,0,BENIGN,1,Protocol Type,7.850810974537686e-05,24
10,server,0,BENIGN,2,Time_To_Live,0.17404132357731986,6
10,server,0,BENIGN,3,Rate,0.00042488453312404783,19
10,server,0,BENIGN,4,fin_flag_number,9.502794272864169e-05,23
10,server,0,BENIGN,5,syn_flag_number,0.006536112818454587,16
10,server,0,BENIGN,6,rst_flag_number,4.243144213779979e-05,26
10,server,0,BENIGN,7,psh_flag_number,5.3383151356459586e-05,25
10,server,0,BENIGN,8,ack_flag_number,0.02641698376799088,10
10,server,0,BENIGN,9,ece_flag_number,0.0,34
10,server,0,BENIGN,10,cwr_flag_number,0.0,35
10,server,0,BENIGN,11,ack_count,0.002602819135511162,17
10,server,0,BENIGN,12,syn_count,0.018406380902074207,12
10,server,0,BENIGN,13,fin_count,0.009633418827792332,14
10,server,0,BENIGN,14,rst_count,0.0072317895242967395,15
10,server,0,BENIGN,15,HTTP,2.7867751155677402e-05,27
10,server,0,BENIGN,16,HTTPS,0.0001723868091636048,22
10,server,0,BENIGN,17,DNS,6.238215763396946e-06,29
10,server,0,BENIGN,18,Telnet,0.0,36
10,server,0,BENIGN,19,SMTP,0.0,37
10,server,0,BENIGN,20,SSH,2.7305090707944745e-08,33
10,server,0,BENIGN,21,IRC,0.0,38
10,server,0,BENIGN,22,TCP,0.00030842596266750786,20
10,server,0,BENIGN,23,UDP,0.013679079763269217,13
10,server,0,BENIGN,24,DHCP,3.1107854596856727e-08,32
10,server,0,BENIGN,25,ARP,2.7755283114199283e-06,30
10,server,0,BENIGN,26,ICMP,0.00020464833844166042,21
10,server,0,BENIGN,27,IGMP,0.0,39
10,server,0,BENIGN,28,IPv,1.4405264113168212e-05,28
10,server,0,BENIGN,29,LLC,1.820685191571564e-06,31
10,server,0,BENIGN,30,Tot sum,0.713311985531309,1
10,server,0,BENIGN,31,Min,0.02333645604667705,11
10,server,0,BENIGN,32,Max,0.07542437020315207,8
10,server,0,BENIGN,33,AVG,0.3381213919355209,3
