round,feature_name,server_mean_across_classes,client_1_mean_available_classes,client_2_mean_available_classes,client_3_mean_available_classes,client_4_mean_available_classes,client_5_mean_available_classes,mean_across_clients,client_mean_minus_server,absolute_client_server_difference
10,Tot sum,0.5711621243387178,0.530024081210614,0.4546525192332272,0.7127295664296147,0.6131505814275532,0.5044245102843122,0.5629962517170644,-0.00816587262165347,0.00816587262165347
10,Tot size,0.4225188799369605,0.27533263122142676,0.12798491230314987,0.2402453852191246,0.0913989007653796,0.27622188638122475,0.20223674317806112,-0.2202821367588994,0.2202821367588994
10,AVG,0.39682152185281383,0.2638328769007803,0.13872964852027733,0.3041038384311229,0.1103323659702601,0.26553138812889493,0.2165060235902671,-0.18031549826254673,0.18031549826254673
10,Variance,0.3885778435573462,0.4751412478860881,0.7254070989813145,0.3201873750668082,0.5483141176210288,0.6035861712980836,0.5345272021706646,0.14594935861331843,0.14594935861331843
10,Std,0.17771643016092323,0.12000738576624825,0.14875457979722048,0.07935783671168635,0.15184025763921352,0.18592257241170143,0.137176526465214,-0.04053990369570923,0.04053990369570923
10,IAT,0.1105492256915702,0.13093280107604863,0.019402526750376244,0.1419030672577993,0.03746735272259657,0.06635935360613142,0.07921302028259043,-0.03133620540897977,0.03133620540897977
10,syn_flag_number,0.0602708543895133,0.137053181032272,0.12546575166088653,0.03761598102505634,0.13431873996582955,0.026382096546588962,0.09216715004612668,0.03189629565661337,0.03189629565661337
10,Time_To_Live,0.05668688737616247,0.058150403267097174,0.024968209205302586,0.07864564241459333,0.2247862761660787,0.02553328703481496,0.08241676361757735,0.025729876241414887,0.025729876241414887
10,Max,0.050865697646376516,0.038769107757906665,0.047715004611391755,0.02776857640222631,0.059496550375115705,0.04105307429482925,0.04296046268829394,-0.007905234958082576,0.007905234958082576
10,syn_count,0.045313582478369106,0.10915079382834819,0.13141064487362566,0.02391448672780258,0.07438761937392216,0.01966855256724821,0.07170641947418936,0.026392836995820255,0.026392836995820255
10,UDP,0.03947583413328187,0.053893887663607636,0.08074191607765834,0.040576194313452905,0.05946507915789908,0.016232245621637432,0.05018186456685107,0.0107060304335692,0.0107060304335692
10,Number,0.031422171304011745,0.026812940778989797,0.008537702000062116,0.018683258776201916,0.0771249852159754,0.03386133880619582,0.033004045115485006,0.0015818738114732611,0.0015818738114732611
10,Min,0.03134584966612962,0.010572843640683852,0.0022289438300214996,0.010381544585136668,0.0018835957033872623,0.0013617041717722885,0.005285726386200314,-0.026060123279929306,0.026060123279929306
10,fin_count,0.030645786953967847,0.11873670050953128,0.13561625199012195,0.05575490008933535,0.0775813073209185,0.016945373584550134,0.08092690669889144,0.050281119744923594,0.050281119744923594
10,ack_flag_number,0.028446714135187318,0.050095421054499295,0.05772629031011381,0.021182235481568962,0.05777803173134233,0.026032397254621486,0.042562875166429176,0.014116161031241858,0.014116161031241858
10,rst_count,0.017147974147604782,0.034286256971534194,0.06159630712479263,0.02083810490545002,0.04798083364764657,0.007579994140536801,0.03445629935799204,0.01730832521038726,0.01730832521038726
10,ack_count,0.010384521194555804,0.015041743206968577,0.02271645572560647,0.010835552642686113,0.03096261519424087,0.007332714287814867,0.017377816211463382,0.006993295016907578,0.006993295016907578
10,Header_Length,0.009605786792988286,0.03021353270597708,0.05744126724872622,0.009960298360974123,0.029649398315986744,0.002332472831047531,0.02591939389254234,0.016313607099554053,0.016313607099554053
10,ICMP,0.005080567535632693,0.017180401747349222,0.032567941927447365,0.006760278063130985,0.01604232023928594,0.0012533381776951545,0.014760856030981734,0.009680288495349042,0.009680288495349042
10,TCP,0.004946103404210126,0.01486465123644814,0.02963802438676798,0.004916119947691803,0.013218531835005,0.0010320266787828814,0.01273387081693916,0.007787767412729034,0.007787767412729034
10,Protocol Type,0.0032605050702628896,0.007351723965132613,0.01669450902964091,0.0027415553987379156,0.006908591527879597,0.0004466450920318225,0.006828605002684572,0.0035680999324216823,0.0035680999324216823
10,Rate,0.0022274358409276325,0.0059045861697845535,0.011577039119109478,0.002022411361307619,0.008024928097267483,0.0008364464812718118,0.005673082245748189,0.003445646404820556,0.003445646404820556
10,psh_flag_number,0.0021907096513142095,0.004325367899672757,0.005185681540526156,0.0022082808300395423,0.005967985494298482,0.0004531953612561494,0.0036281022251586172,0.0014373925738444078,0.0014373925738444078
10,HTTP,0.00021883219323715633,0.00016731811762288592,0.0016317647002007422,0.00011535409609669319,0.0014444494276753138,2.169561176823271e-05,0.0006761163906727735,0.00045728419743561714,0.00045728419743561714
10,HTTPS,0.0002093485046273426,0.0006576069991281003,0.0038633929793049564,0.0004373495165565153,0.0011506022055902453,6.341113743941698e-05,0.0012344725676038466,0.001025124062976504,0.001025124062976504
10,fin_flag_number,0.00015692744640967014,0.0005538067794341306,0.0005340523818864836,0.0002772775436655636,0.0003746420840589067,9.525021887063315e-05,0.0003670058015831435,0.00021007835517347336,0.00021007835517347336
10,rst_flag_number,0.0001483543677433064,0.00020229850214151463,0.0003564897830710359,0.00017204719832279722,0.0004364173296794928,6.693183403705023e-05,0.00024683692945037816,9.848256170707175e-05,9.848256170707175e-05
10,DNS,1.0674196016375303e-05,2.4558301988117646e-05,1.647733428566887e-05,3.353177637748273e-06,1.924947190905089e-05,5.560445535592174e-06,1.3839746271235572e-05,3.1655502548602695e-06,3.1655502548602695e-06
10,ARP,1.0486434383187602e-05,6.621882522622813e-06,4.305644910032913e-05,4.8793006760771405e-06,2.0434093654848255e-05,3.0290300993671733e-06,1.5604151210648903e-05,5.117716827461301e-06,5.117716827461301e-06
10,LLC,1.0273138368164416e-05,1.5643752935061717e-05,2.763657039373928e-05,5.076584351063298e-06,2.1789088292698003e-05,1.9291738477999275e-06,1.4415033964072443e-05,4.141895595908027e-06,4.141895595908027e-06
