round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,128863,0.3603355586528778,0.8810519699215446,0.2333142194087994,0.23980172974937725,0.19998361663611378,0.19189639301123163
1,2,128863,2.8187456130981445,0.15049315940184538,0.4185394182679653,0.16262493368967504,0.17937403640055655,0.09500340653725321
1,3,128863,2.335232734680176,0.6854100866812041,0.21160036532631735,0.11253668044836261,0.18137174170827203,0.13707370747183525
1,4,128863,0.03963222727179527,0.9965001590836781,0.7501372405878719,0.23441452010306335,0.3214873888233737,0.19589627100684762
1,5,128863,0.17319411039352417,0.9470988569255722,0.41121559543351677,0.27786653534233313,0.1762352551857929,0.19456042291161582
2,1,128863,0.3325600028038025,0.8847458153232503,0.2563163127933824,0.24011413813764212,0.21969969668004205,0.198042594934944
2,2,128863,2.156392812728882,0.15113725429331926,0.4350679455119768,0.16374188718288246,0.18645769093370435,0.10373190554513166
2,3,128863,2.074683427810669,0.6855963309871724,0.21998663318740772,0.11211364130309558,0.1885599713034923,0.13734458696001708
2,4,128863,0.06214306876063347,0.9968416069779533,0.7661254328277417,0.24889868420003444,0.3283394712118893,0.20478413738230902
2,5,128863,0.15728041529655457,0.9508004625066931,0.4287327676505342,0.2811332896017764,0.1837426147073718,0.20503199776503317
3,1,128863,0.32983705401420593,0.8671612487680715,0.27897482821853087,0.24058120708413924,0.2391212813301693,0.16726355250889072
3,2,128863,2.1007659435272217,0.1490963271070827,0.3777237272324232,0.3068988361044071,0.16188159738532423,0.07047779082011799
3,3,128863,1.6968486309051514,0.6856040911665878,0.1917602696578468,0.2581034937408332,0.16436594542101154,0.13546982467253352
3,4,128863,0.05837111547589302,0.9978426701225332,0.8180507015254657,0.28472075092354415,0.35059315779662814,0.2348220114193912
3,5,128863,0.11733056604862213,0.9654206405252089,0.49852496928213136,0.2822423994921782,0.21365355826377058,0.23578439796599313
