round,client_id,num_examples,fedavg_weight,final_weight,warmup,server_f1_source_round,client_score,raw_shap_weight,importance::BENIGN,previous_server_f1::BENIGN,similarity::BENIGN,client_validation_f1::BENIGN,gain::BENIGN,peer_count::BENIGN,comparable::BENIGN,importance::DDOS,previous_server_f1::DDOS,similarity::DDOS,client_validation_f1::DDOS,gain::DDOS,peer_count::DDOS,comparable::DDOS,importance::DOS,previous_server_f1::DOS,similarity::DOS,client_validation_f1::DOS,gain::DOS,peer_count::DOS,comparable::DOS,importance::MIRAI,previous_server_f1::MIRAI,similarity::MIRAI,client_validation_f1::MIRAI,gain::MIRAI,peer_count::MIRAI,comparable::MIRAI,importance::RECON,previous_server_f1::RECON,similarity::RECON,client_validation_f1::RECON,gain::RECON,peer_count::RECON,comparable::RECON,importance::SPOOFING,previous_server_f1::SPOOFING,similarity::SPOOFING,client_validation_f1::SPOOFING,gain::SPOOFING,peer_count::SPOOFING,comparable::SPOOFING,importance::WEB,previous_server_f1::WEB,similarity::WEB,client_validation_f1::WEB,gain::WEB,peer_count::WEB,comparable::WEB
1,1,515452,0.2,0.14458800970983515,0,0,0.443118528998766,0.14458800970983515,0.14285714285714285,0.05,0.9807282015042239,0.4497737556561086,0.3997737556561086,3,1,0.14285714285714285,0.05,0.7349987134484683,0.6246108471243651,0.574610847124365,4,1,0.14285714285714285,0.05,0.7120949356467927,0.13802363050483352,0.08802363050483351,2,1,0.14285714285714285,0.05,0.9422586334268794,0.0,0.0,1,1,0.14285714285714285,0.05,0.7702512456449607,0.0,0.0,2,1,0.14285714285714285,0.05,0.8131360307096669,0.5199786893979755,0.46997868939797555,1,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,2,515452,0.2,0.22843986781424153,0,0,0.5574646863154533,0.22843986781424153,0.14285714285714285,0.05,0.7294567455081684,0.49001592551757933,0.44001592551757934,3,1,0.14285714285714285,0.05,0.4777040393274439,0.5993006993006993,0.5493006993006992,4,1,0.14285714285714285,0.05,0.6350523855643717,0.5531549577908141,0.5031549577908141,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,3,515452,0.2,0.19748739226445658,0,0,0.5210651189446505,0.19748739226445658,0.14285714285714285,0.05,0.9579039264487716,0.0,0.0,3,1,0.14285714285714285,0.05,0.8025770022308194,0.7100058742901899,0.6600058742901899,4,1,0.14285714285714285,0.05,0.60329072190686,0.3540445486518171,0.3040445486518171,2,1,0.14285714285714285,0.05,0.9422586334268794,0.9384725879818051,0.8884725879818051,1,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.8131360307096669,0.4769687964338782,0.4269687964338782,1,1,0.14285714285714285,0.05,0.0,0.07856650585802895,0.028566505858028945,0,0
1,4,515452,0.2,0.17129898105292582,0,0,0.485499046775986,0.17129898105292582,0.14285714285714285,0.05,0.9136930910799173,0.0,0.0,3,1,0.14285714285714285,0.05,0.8018125792309551,0.4912594104887074,0.4412594104887074,4,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.918187355442208,0.4892966360856269,0.4392966360856269,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
1,5,515452,0.2,0.2581857491585409,0,0,0.5880662534914431,0.2581857491585409,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.7851480260128549,0.4910759816420194,0.4410759816420194,4,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.9134457890376696,0.48971596474045054,0.43971596474045055,2,1,0.14285714285714285,0.05,0.0,0.0,0.0,0,0,0.14285714285714285,0.05,0.0,0.0,0.0,0,0
2,1,515452,0.2,0.14418747573372467,0,1,0.396586912913958,0.14325289645613354,0.06171548638467193,0.3419393575502852,0.9665202568808143,0.45704540609678107,0.11510604854649586,3,1,0.02485021715365385,0.849206010345677,0.9808642506674355,0.6796417499138822,0.0,4,1,0.21102953765278093,0.0,0.6252673928771055,0.10689990281827016,0.10689990281827016,2,1,0.21102953765278093,0.0,0.9820696536718803,0.0,0.0,1,1,0.06931614585055049,0.30444499627514277,0.5086920744298207,0.001998001998001998,0.0,2,1,0.21102953765278093,0.0,0.8877501740118762,0.5369561086832605,0.5369561086832605,1,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0
2,2,515452,0.2,0.22526713304061663,0,1,0.5014018707023788,0.2178640852354918,0.06171548638467193,0.3419393575502852,0.9848552174634342,0.49031625398381956,0.14837689643353436,3,1,0.02485021715365385,0.849206010345677,0.17336678839813838,0.6009783368273934,0.0,4,1,0.21102953765278093,0.0,0.3698221327070641,0.5540617848970252,0.5540617848970252,2,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.06931614585055049,0.30444499627514277,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0
2,3,515452,0.2,0.20611307729802913,0,1,0.5108327564982145,0.22623967570969844,0.06171548638467193,0.3419393575502852,0.8864798448487154,0.0,0.0,3,1,0.02485021715365385,0.849206010345677,0.889553120983018,0.6917845984194082,0.0,4,1,0.21102953765278093,0.0,0.7802447915407975,0.16328371673432568,0.16328371673432568,2,1,0.21102953765278093,0.0,0.9820696536718803,0.9399665151877541,0.9399665151877541,1,1,0.06931614585055049,0.30444499627514277,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.8877501740118762,0.46137868362975465,0.46137868362975465,1,1,0.21102953765278093,0.0,0.0,0.08955223880597014,0.08955223880597014,0,0
2,4,515452,0.2,0.17138981157124283,0,1,0.44172811464816325,0.1716017494473158,0.06171548638467193,0.3419393575502852,0.8629703768400421,0.0,0.0,3,1,0.02485021715365385,0.849206010345677,0.9767575688784327,0.5003128519584532,0.0,4,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.06931614585055049,0.30444499627514277,0.9331654072186025,0.4986909362922329,0.1942459400170901,2,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0
2,5,515452,0.2,0.25304250235638676,0,1,0.5266763952415203,0.24104159315136037,0.06171548638467193,0.3419393575502852,0.0,0.0,0.0,0,0,0.02485021715365385,0.849206010345677,0.9810791821549454,0.5001256597134959,0.0,4,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.06931614585055049,0.30444499627514277,0.7785428496369057,0.4966476285075739,0.19220263223243111,2,1,0.21102953765278093,0.0,0.0,0.0,0.0,0,0,0.21102953765278093,0.0,0.0,0.0,0.0,0,0
