client_id,feature,server_shap,client_shap,absolute_difference
1,Header_Length,0.0025339302597855917,0.0019971410855089376,0.0005367891742766541
1,Protocol Type,0.0004140690850314207,0.0002431685704348842,0.00017090051459653648
1,Time_To_Live,0.004017515598995659,0.0003476330321293536,0.003669882566866305
1,Rate,0.00042984682268285945,0.00020640061197234354,0.0002234462107105159
1,fin_flag_number,3.732239787928436e-05,1.6917838233475633e-05,2.040455964580873e-05
1,syn_flag_number,0.0027688220671748492,0.0026484230118999645,0.0001203990552748847
1,rst_flag_number,9.993523445028596e-06,5.617273052112202e-06,4.376250392916394e-06
1,psh_flag_number,4.568996536085869e-05,2.0285504341901195e-05,2.5404461018957496e-05
1,ack_flag_number,0.0033325713229242025,0.0008883146826355688,0.0024442566402886334
1,ece_flag_number,0.0,0.0,0.0
1,cwr_flag_number,0.0,0.0,0.0
1,ack_count,0.002753813187643421,0.001054240183079591,0.0016995730045638302
1,syn_count,0.003532897648252129,0.0032231484024767133,0.00030974924577541587
1,fin_count,0.008727028648506744,0.005102373465200167,0.0036246551833065774
1,rst_count,0.003657927893782864,0.0018894977241044953,0.0017684301696783689
1,HTTP,9.481722371419071e-06,2.922576839355818e-05,1.974404602213911e-05
1,HTTPS,4.59679150602627e-05,5.3137398106726795e-06,4.065417524959002e-05
1,DNS,3.0216161125918263e-07,1.3712842215069693e-06,1.0691226102477867e-06
1,Telnet,0.0,0.0,0.0
1,SMTP,0.0,0.0,0.0
1,SSH,0.0,0.0,0.0
1,IRC,0.0,0.0,0.0
1,TCP,0.0010546416006030443,0.0007846505699003741,0.00026999103070267025
1,UDP,0.012518795196686115,0.003355443977518852,0.009163351219167263
1,DHCP,3.665390766127103e-08,0.0,3.665390766127103e-08
1,ARP,2.5996739031442776e-07,1.1969139443276943e-06,9.369465540132665e-07
1,ICMP,0.00019563029063259026,0.00020599277829359727,1.0362487661007015e-05
1,IGMP,0.0,0.0,0.0
1,IPv,2.0584879478957547e-07,3.693599893250953e-07,1.6351119453551983e-07
1,LLC,1.3757498820255366e-07,1.2285379796865092e-06,1.0909629914839556e-06
1,Tot sum,0.08724777502302743,0.032757059690417006,0.05449071533261042
1,Min,0.0045828962354407705,0.00046781389228705195,0.004115082343153719
1,Max,0.0038276176866520297,0.001980255816756414,0.0018473618698956157
1,AVG,0.07276687320679073,0.00910982201994594,0.0636570511868448
1,Std,0.009695298190825987,0.007395733047220675,0.0022995651436053116
1,Tot size,0.049036838416097905,0.0075260357151473835,0.04151080270095052
1,IAT,0.0019850878360022505,0.004614904156711783,0.0026298163207095324
1,Number,0.0009928602309526358,0.0001778978798540367,0.0008149623510985991
1,Variance,0.05041357441366912,0.03407102641961921,0.01634254799404991
2,Header_Length,0.0025339302597855917,0.0021844355003856407,0.000349494759399951
2,Protocol Type,0.0004140690850314207,0.00025841426739674716,0.00015565481763467353
2,Time_To_Live,0.004017515598995659,0.0008999999514165593,0.0031175156475790992
2,Rate,0.00042984682268285945,0.0007707988697248048,0.00034095204704194537
2,fin_flag_number,3.732239787928436e-05,1.0978571030166488e-05,2.6343826849117876e-05
2,syn_flag_number,0.0027688220671748492,0.003663524565210607,0.0008947024980357579
2,rst_flag_number,9.993523445028596e-06,6.329784267074214e-06,3.663739177954382e-06
2,psh_flag_number,4.568996536085869e-05,3.0287310644208974e-06,4.266123429643779e-05
2,ack_flag_number,0.0033325713229242025,0.0006039346777993382,0.002728636645124864
2,ece_flag_number,0.0,0.0,0.0
2,cwr_flag_number,0.0,0.0,0.0
2,ack_count,0.002753813187643421,0.0001687474372378077,0.0025850657504056136
2,syn_count,0.003532897648252129,0.004650847564572439,0.0011179499163203096
2,fin_count,0.008727028648506744,0.0027066126674028463,0.006020415981103898
2,rst_count,0.003657927893782864,0.0019494764667725966,0.0017084514270102676
2,HTTP,9.481722371419071e-06,0.0001294035876756268,0.00011992186530420773
2,HTTPS,4.59679150602627e-05,9.203921220943244e-07,4.504752293816837e-05
2,DNS,3.0216161125918263e-07,8.473272503305672e-08,2.1742888622612592e-07
2,Telnet,0.0,0.0,0.0
2,SMTP,0.0,0.0,0.0
2,SSH,0.0,0.0,0.0
2,IRC,0.0,0.0,0.0
2,TCP,0.0010546416006030443,0.0010430321341150148,1.160946648802951e-05
2,UDP,0.012518795196686115,0.006434673577544259,0.0060841216191418555
2,DHCP,3.665390766127103e-08,0.0,3.665390766127103e-08
2,ARP,2.5996739031442776e-07,3.8707753614917045e-06,3.610807971177277e-06
2,ICMP,0.00019563029063259026,0.00010575347975154527,8.987681088104499e-05
2,IGMP,0.0,0.0,0.0
2,IPv,2.0584879478957547e-07,1.609670092892903e-06,1.4038212981033274e-06
2,LLC,1.3757498820255366e-07,5.678921113525242e-07,4.303171231499705e-07
2,Tot sum,0.08724777502302743,0.11386326673546349,0.02661549171243606
2,Min,0.0045828962354407705,0.007181269483309114,0.002598373247868343
2,Max,0.0038276176866520297,0.003977932957870147,0.00015031527121811723
2,AVG,0.07276687320679073,0.09794067362625562,0.02517380041946489
2,Std,0.009695298190825987,0.010948097173273648,0.0012527989824476608
2,Tot size,0.049036838416097905,0.05756804082762504,0.008531202411527133
2,IAT,0.0019850878360022505,0.004131762845247721,0.002146675009245471
2,Number,0.0009928602309526358,0.0003198357378440297,0.0006730244931086062
2,Variance,0.05041357441366912,0.054069430056015014,0.0036558556423458913
