round,class,client_id,class_examples,class_weight,class_shap_weight
1,BENIGN,1,21631,0.2630812201395157,0.20642805501969322
1,BENIGN,2,30,0.10687221993885403,0.20183718436943454
1,BENIGN,3,10438,0.211750805676571,0.20139591768674708
1,BENIGN,4,1789,0.1389103369742004,0.18586972494847204
1,BENIGN,5,26561,0.2793854172708589,0.2044691179756531
1,DDOS,1,341991,0.20341293313521128,0.19435865127729046
1,DDOS,2,57981,0.13822060668981906,0.18895745400855976
1,DDOS,3,187864,0.1832532647980396,0.2090334324336206
1,DDOS,4,215204,0.18517021938415937,0.20179781272501496
1,DDOS,5,1059867,0.28994297599277075,0.20585264955551424
1,DOS,1,3279,0.13182813832893742,0.21171105873410237
1,DOS,2,27657,0.17527620858892196,0.1996912723454871
1,DOS,3,2609,0.12003039486642052,0.19372549777971174
1,DOS,4,53332,0.21075162384545254,0.21201059333898717
1,DOS,5,356149,0.36211363437026756,0.1828615778017117
1,MIRAI,1,55138,0.25294058468794794,0.20167997984924804
1,MIRAI,2,3315,0.13739833373267912,0.20020725782801513
1,MIRAI,3,7168,0.1551149264479322,0.20054809515782182
1,MIRAI,4,45697,0.24061768524909025,0.20429947686859917
1,MIRAI,5,32791,0.21392846988235054,0.1932651902963159
1,RECON,1,12816,0.23942846771562842,0.20044601311344748
1,RECON,2,1487,0.1484719861430372,0.20210965895596
1,RECON,3,11433,0.23216697314116846,0.20137368571118947
1,RECON,4,2528,0.160059130475434,0.19646699858105243
1,RECON,5,9535,0.21987344252473193,0.19960364363835056
1,SPOOFING,1,6746,0.2220630050834237,0.1939694992438977
1,SPOOFING,2,6043,0.2157114842715623,0.1946593659239654
1,SPOOFING,3,73,0.11012160288859583,0.19422064254175403
1,SPOOFING,4,3052,0.1838590378280336,0.19945806691678522
1,SPOOFING,5,10956,0.2682448699283846,0.21769242537359762
1,WEB,1,347,0.20740724386597856,0.215911415885942
1,WEB,2,11,0.12252175766330337,0.2096296692300121
1,WEB,3,398,0.21589590017894955,0.2187728261388683
1,WEB,4,613,0.2032277842106212,0.14208872212074716
1,WEB,5,729,0.2509473140811473,0.21359736662443038
2,BENIGN,1,21631,0.2583485843440989,0.19696278342885967
2,BENIGN,2,30,0.10074253122670036,0.18957780694512721
2,BENIGN,3,10438,0.21216170322297556,0.20221771277955616
2,BENIGN,4,1789,0.14818957272758404,0.20442819645523932
2,BENIGN,5,26561,0.2805576084786412,0.20681350039121768
2,DDOS,1,341991,0.17926331635053588,0.1460594177079397
2,DDOS,2,57981,0.1609087791539426,0.2343337989368069
2,DDOS,3,187864,0.19811309740022862,0.23875309763799865
2,DDOS,4,215204,0.16305240567820406,0.1575621853131043
2,DDOS,5,1059867,0.29866240141708883,0.2232915004041504
2,DOS,1,3279,0.1307885245966115,0.20963183126945054
2,DOS,2,27657,0.1786293951825542,0.20639764553275153
2,DOS,3,2609,0.11942450950064633,0.19251372704816336
2,DOS,4,53332,0.21260007079554838,0.21570748723917885
2,DOS,5,356149,0.35855749992463964,0.17574930891045584
2,MIRAI,1,55138,0.25211982461860144,0.200038459710555
2,MIRAI,2,3315,0.13672446431129587,0.19885951898524856
2,MIRAI,3,7168,0.15605459662366533,0.20242743550928807
2,MIRAI,4,45697,0.2384231847618375,0.19991047589409366
2,MIRAI,5,32791,0.21667792968459992,0.19876410990081467
2,RECON,1,12816,0.23954978450061626,0.2006886466834232
2,RECON,2,1487,0.14810367963678117,0.20137304594344796
2,RECON,3,11433,0.2318883727567879,0.20081648494242832
2,RECON,4,2528,0.16252323526641874,0.20139520816302192
2,RECON,5,9535,0.2179349278393959,0.1957266142676785
2,SPOOFING,1,6746,0.18593461663241106,0.12171272234187244
2,SPOOFING,2,6043,0.23405009213520245,0.23133658165124568
2,SPOOFING,3,73,0.12052267729728543,0.21502279135913321
2,SPOOFING,4,3052,0.1989081221131368,0.22955623548699167
2,SPOOFING,5,10956,0.2605844918219643,0.20237166916075694
2,WEB,1,347,0.21140195327450012,0.22390083470298516
2,WEB,2,11,0.08546026226798008,0.13550667843936554
2,WEB,3,398,0.21659249296562866,0.22016601171222647
2,WEB,4,613,0.2288417042940687,0.19331656228764207
2,WEB,5,729,0.2577035871978225,0.2271099128577808
3,BENIGN,1,21631,0.2684694296525259,0.2172044740457136
3,BENIGN,2,30,0.10077988102003568,0.18965250653179785
3,BENIGN,3,10438,0.2145394728968391,0.20697325212728332
3,BENIGN,4,1789,0.1360366102136312,0.18012227142733364
3,BENIGN,5,26561,0.28017460621696816,0.20604749586787158
3,DDOS,1,341991,0.1746605828618833,0.13685395073063453
3,DDOS,2,57981,0.16591210682128205,0.24434045427148576
3,DDOS,3,187864,0.19858286945591133,0.23969264174936408
3,DDOS,4,215204,0.15274021370829413,0.13693780137328448
3,DDOS,5,1059867,0.3081042271526292,0.24217515187523114
3,DOS,1,3279,0.13177518507862224,0.21160515223347207
3,DOS,2,27657,0.18203581233051958,0.21321047982868235
3,DOS,3,2609,0.12381355865108185,0.20129182534903445
3,DOS,4,53332,0.21012109088737585,0.21074952742283384
3,DOS,5,356149,0.3522543530524004,0.16314301516597737
3,MIRAI,1,55138,0.25239226860638225,0.2005833476861167
3,MIRAI,2,3315,0.13838207318919288,0.20217473674104267
3,MIRAI,3,7168,0.1559358174133419,0.20218987708864125
3,MIRAI,4,45697,0.23509734931288706,0.1932588049961929
3,MIRAI,5,32791,0.21819249147819575,0.20179323348800648
3,RECON,1,12816,0.24269371027943742,0.2069764982410655
3,RECON,2,1487,0.15118671927307586,0.2075391252160374
3,RECON,3,11433,0.23510383119082212,0.20724740181049675
3,RECON,4,2528,0.16542952596743843,0.2072077895650613
3,RECON,5,9535,0.20558621328922616,0.17102918516733906
3,SPOOFING,1,6746,0.2173927270102521,0.1846289430975545
3,SPOOFING,2,6043,0.22305717682968756,0.20935075104021592
3,SPOOFING,3,73,0.1090663741606011,0.19211018508576455
3,SPOOFING,4,3052,0.18826236850072087,0.2082647282621598
3,SPOOFING,5,10956,0.26222135349873843,0.2056453925143052
3,WEB,1,347,0.20368869672548828,0.20847432160496143
3,WEB,2,11,0.10529534227923934,0.17517683846188406
3,WEB,3,398,0.2118775425443986,0.2107361108697664
3,WEB,4,613,0.23031474673153213,0.19626264716256894
3,WEB,5,729,0.24882367171934172,0.20935008190081927
4,BENIGN,1,21631,0.25286990929554465,0.18600543333175115
4,BENIGN,2,30,0.10913923800831339,0.20637122050835327
4,BENIGN,3,10438,0.21370919844034875,0.20531270321430256
4,BENIGN,4,1789,0.14492044121855596,0.19788993343718317
4,BENIGN,5,26561,0.2793612130372373,0.20442070950840988
4,DDOS,1,341991,0.21547824913289665,0.21848928327266123
4,DDOS,2,57981,0.14372383100411132,0.1999639026371443
4,DDOS,3,187864,0.17664626314235576,0.19581942912225295
4,DDOS,4,215204,0.18367650647244982,0.19881038690159583
4,DDOS,5,1059867,0.2804751502481864,0.18691699806634557
4,DOS,1,3279,0.1298950440439923,0.20784487016421213
4,DOS,2,27657,0.17767612550642836,0.20449110618049987
4,DOS,3,2609,0.12922406810054737,0.21211284424796542
4,DOS,4,53332,0.2013525876656654,0.19321252097941288
4,DOS,5,356149,0.3618521746833666,0.1823386584279097
4,MIRAI,1,55138,0.2521428251959963,0.20008446086534473
4,MIRAI,2,3315,0.13750236733566343,0.2004153250339837
4,MIRAI,3,7168,0.15537101845099702,0.20106027916395142
4,MIRAI,4,45697,0.23774896329699693,0.19856203296441255
4,MIRAI,5,32791,0.21723482572034636,0.1998779019723076
4,RECON,1,12816,0.23960679799383322,0.20080267366985713
4,RECON,2,1487,0.1486418335319639,0.20244935373381343
4,RECON,3,11433,0.2298683199783514,0.19677637938555528
4,RECON,4,2528,0.16293768233239656,0.2022241022949776
4,RECON,5,9535,0.21894536616345495,0.1977474909157966
4,SPOOFING,1,6746,0.22637181848697513,0.20258712605100054
4,SPOOFING,2,6043,0.20327574384150027,0.16978788506384135
4,SPOOFING,3,73,0.1135885844662966,0.20115460569715557
4,SPOOFING,4,3052,0.19041347118294477,0.2125669336266076
4,SPOOFING,5,10956,0.2663503820222832,0.2139034495613948
4,WEB,1,347,0.19713682377847527,0.1953705757109354
4,WEB,2,11,0.11809327184162179,0.20077269758664892
4,WEB,3,398,0.2064729151703999,0.19992685612176891
4,WEB,4,613,0.23045139115679142,0.1965359360130875
4,WEB,5,729,0.2478455980527117,0.20739393456755914
5,BENIGN,1,21631,0.2707298257974084,0.22172526633547862
5,BENIGN,2,30,0.1146716761012906,0.2174360966943077
5,BENIGN,3,10438,0.21397159999740628,0.2058375063284176
5,BENIGN,4,1789,0.12994783658668646,0.16794472417344414
5,BENIGN,5,26561,0.27067906151720833,0.18705640646835192
5,DDOS,1,341991,0.1920915838288984,0.1717159526646647
5,DDOS,2,57981,0.162095603092364,0.23670744681364966
5,DDOS,3,187864,0.18713939310074115,0.21680568903902372
5,DDOS,4,215204,0.15845022938623587,0.14835783272916794
5,DDOS,5,1059867,0.30022319059176056,0.22641307875349384
5,DOS,1,3279,0.13526299661101374,0.218580775298255
