,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,149,0,0,0,147,150,1
true_DDOS,4,48679,4820,222,28,48,0
true_DOS,1,7377,4698,1205,7,45,0
true_MIRAI,0,111,7,11291,0,16,0
true_RECON,60,0,0,0,457,115,0
true_SPOOFING,79,0,0,0,178,506,0
true_WEB,10,0,1,0,113,29,0
