round,client_id,num_examples,size_weight,shap_consensus_alignment,shap_weight,final_weight,local_accuracy,local_precision,local_recall,local_f1
1,1,1225117,0.33828624021722503,0.9969993605874418,0.20012965308945438,0.2692079466533397,0.9380860650385269,0.38079845364960796,0.45017472522374813,0.3794824856649736
1,2,119203,0.10552105942330561,0.9958529877986805,0.19989953941276073,0.15271029941803316,0.7897385993758599,0.4238912435446085,0.4241559093780948,0.3958980662603815
1,3,706868,0.2569595191291867,0.9978733426613641,0.2003050892393406,0.22863230418426364,0.9154472096786971,0.418283533952689,0.39916303445372536,0.34496690197860036
1,4,412772,0.19635893363995005,0.9967073371386694,0.20007103464514328,0.19821498414254668,0.874768637407576,0.3562128504621378,0.3936926783719036,0.31727943689969246
1,5,113298,0.10287424759033272,0.994334267147139,0.19959468361330093,0.15123446560181683,0.7537864077669902,0.4927758723707593,0.4243856048359523,0.4120391614312998
2,1,1225117,0.33828624021722503,0.9875338481092623,0.2007513090715327,0.2695187746443789,0.9401821862348179,0.3858643215466004,0.45686597280128066,0.3835985550468917
2,2,119203,0.10552105942330561,0.9879090139261785,0.2008275748410646,0.1531743171321851,0.7960135565920606,0.4503883134897748,0.43484119034271135,0.4044587333357499
2,3,706868,0.2569595191291867,0.9788383624337901,0.19898364294474022,0.22797158103696347,0.9081191502846343,0.4183006255635469,0.3973643128216293,0.33352088659893164
2,4,412772,0.19635893363995005,0.9721649753779359,0.19762704014072624,0.19699298689033815,0.8264126442685066,0.3743649508591709,0.41188476288188514,0.2915599348608596
2,5,113298,0.10287424759033272,0.9927438800410753,0.20181043300193618,0.15234234029613444,0.8334333627537511,0.4917035345682071,0.423543930747206,0.42799737737664506
3,1,1225117,0.33828624021722503,0.9922083975036682,0.2007067628340784,0.2694965015256517,0.9597916938748857,0.3889495787017543,0.4677821719672777,0.4028509002422158
3,2,119203,0.10552105942330561,0.9855617460840087,0.1993622591053429,0.1524416592643242,0.8009127210496292,0.4207068724825578,0.44230230949506083,0.40715169888475844
3,3,706868,0.2569595191291867,0.979973147209866,0.19823178128271066,0.22759565020594863,0.9331194332212904,0.3891253821639135,0.3997873437658393,0.3621775169820801
3,4,412772,0.19635893363995005,0.9909778070883942,0.20045783547240148,0.1984083845561757,0.878383223668272,0.3714731742520611,0.4162543927088216,0.31126020825841144
3,5,113298,0.10287424759033272,0.9948512237099906,0.20124136130546666,0.15205780444789965,0.8406354810238306,0.47111034728584306,0.4311729820550092,0.43838143638324767
4,1,1225117,0.33828624021722503,0.9923176291078878,0.2006133223009528,0.2694497812590889,0.9703669844586653,0.42686663596050956,0.4352347253699499,0.377860908441723
4,2,119203,0.10552105942330561,0.9964575410449791,0.20145027355866643,0.15348566649098602,0.8024562934129728,0.456865177466374,0.46897025013948984,0.4444720916421923
4,3,706868,0.2569595191291867,0.992609860381814,0.2006724016572223,0.2288159603932045,0.9413076200500232,0.3921808120739182,0.4015515849214296,0.3736706548818771
4,4,412772,0.19635893363995005,0.9957900853235729,0.20131533641169622,0.19883713502582312,0.9027744129931293,0.4025053487200069,0.4120443598461564,0.36132756844954816
4,5,113298,0.10287424759033272,0.9692442830451197,0.19594866607146214,0.14941145683089743,0.8288437775816416,0.468503713684161,0.4526343683916451,0.4480517962780659
5,1,1225117,0.33828624021722503,0.9928322118798778,0.20049674310474389,0.2693914916609845,0.9721235470811023,0.4024973417423309,0.43783000353272905,0.3859982562908742
5,2,119203,0.10552105942330561,0.9982794824507617,0.20159678800176087,0.15355892371253324,0.8009798328915138,0.4613163976254833,0.4889754525008657,0.4556261798829873
5,3,706868,0.2569595191291867,0.9936313702753459,0.200658128536843,0.22880882383301485,0.9481716633280142,0.4020689920825466,0.3959655594207926,0.36586790541602887
5,4,412772,0.19635893363995005,0.9758891687403006,0.19707519319215966,0.19671706341605485,0.8459876154390317,0.3967133702628205,0.4298178747004469,0.3154130826766548
5,5,113298,0.10287424759033272,0.9912298094261522,0.2001731471644926,0.15152369737741267,0.8070962047661077,0.5005914997773357,0.4536228374352206,0.43719205383472415
6,1,1225117,0.33828624021722503,0.9997099734684822,0.20172053261530154,0.2700033864162633,0.9769785816899569,0.42028513019955327,0.4814289415251873,0.44036233842443384
6,2,119203,0.10552105942330561,0.9973997174287736,0.20125437133735524,0.1533877153803304,0.805576994060602,0.464456880012524,0.47884804915454404,0.4582588304095568
6,3,706868,0.2569595191291867,0.9909193003143351,0.1999467589031625,0.2284531390161746,0.951442411073009,0.42733836056158686,0.40240451240547637,0.3833039243697477
6,4,412772,0.19635893363995005,0.9924019370123999,0.20024592393336718,0.1983024287866586,0.8571414727743161,0.4092921644118981,0.4292966987491593,0.3413570950116166
6,5,113298,0.10287424759033272,0.9754848653110951,0.1968324132108136,0.14985333040057316,0.8408120035304502,0.46941062043940884,0.4549611209164467,0.44724737100750106
7,1,1225117,0.33828624021722503,0.9847350282141263,0.1987426708984153,0.26851445555782016,0.9790387880370902,0.4231499886329845,0.48397485042569427,0.44783216357600425
7,2,119203,0.10552105942330561,0.996474390523048,0.20111195009847638,0.15331650476089098,0.8137646387705111,0.48199830888961503,0.5035367356276084,0.4719289499158334
7,3,706868,0.2569595191291867,0.9911406550092554,0.20003547692396229,0.22849749802657449,0.9521327765139941,0.4154479456219261,0.4000463507715808,0.3793196536945934
7,4,412772,0.19635893363995005,0.9921641160738347,0.20024203541909769,0.19830048452952387,0.8518407256306145,0.3863231587557834,0.43832905518728016,0.3458015952561615
7,5,113298,0.10287424759033272,0.9903101755897217,0.19986786666004833,0.15137105712519053,0.8129214474845543,0.4602152863207374,0.49046253500896486,0.45726383999148157
8,1,1225117,0.33828624021722503,0.9944461098905434,0.20004398816783803,0.26916511419253153,0.9786535196552174,0.4235846236391569,0.4837446341191704,0.44502167784896757
8,2,119203,0.10552105942330561,0.9982171086352225,0.20080256685878844,0.15316181314104704,0.8218516157175934,0.5038037626347629,0.44765874921302107,0.4512274466933137
8,3,706868,0.2569595191291867,0.9904894245475898,0.1992480565350854,0.22810378783213603,0.9535078486628413,0.41995328051975134,0.39835979897615836,0.37804790252896153
8,4,412772,0.19635893363995005,0.9963764767657671,0.20043230311472773,0.19839561837733888,0.9242681189615575,0.45267934838358764,0.378407993998367,0.3745847492642524
8,5,113298,0.10287424759033272,0.9916080735275561,0.1994730853235604,0.15117366645694655,0.8410238305383937,0.4551182836378624,0.4669947658109088,0.458856342374433
9,1,1225117,0.33828624021722503,0.9669956761063304,0.19565240986691262,0.26696932504206883,0.9795089460624266,0.4235729822087902,0.48260809823162515,0.44760695654907673
9,2,119203,0.10552105942330561,0.9957794294190649,0.20147623187543212,0.15349864564936888,0.8185966913861951,0.5105531771436833,0.4662886962299948,0.4583649195279984
9,3,706868,0.2569595191291867,0.9947863509965206,0.20127530213876568,0.22911741063397617,0.9480301949999435,0.4544803553917882,0.4234816085684028,0.41979584964472905
9,4,412772,0.19635893363995005,0.9957487069327916,0.20147001578923338,0.19891447471459173,0.8567926119019701,0.3828322710757424,0.43393928653936875,0.34321902636007623
9,5,113298,0.10287424759033272,0.9891062206016077,0.2001260403296562,0.15150014395999445,0.8192056487202118,0.4407466284848693,0.4709778613588318,0.44266871118088125
10,1,1225117,0.33828624021722503,0.994217681430849,0.20134649427982504,0.26981636724852504,0.9809259501110096,0.42975890570829917,0.4856437776202242,0.45286458396485907
10,2,119203,0.10552105942330561,0.9968659200094092,0.20188280897606167,0.15370193419968364,0.8257105466259521,0.5057156781984127,0.48835951917901155,0.4747925053120724
10,3,706868,0.2569595191291867,0.9573344959258538,0.19387700320356946,0.2254182611663781,0.9469267420409918,0.40056558654344965,0.40723438307514015,0.3827449291328183
10,4,412772,0.19635893363995005,0.997154074611337,0.20194116532999945,0.19915004948497475,0.9272818892754353,0.4448048781509607,0.4379891533557877,0.400109139214851
10,5,113298,0.10287424759033272,0.992272338238441,0.20095252821054455,0.15191338790043862,0.8218181818181818,0.44884916030387795,0.47997470131812137,0.45224744833918223
